,_id,metadata.location,answers.sex,answers.dob,answers.musical_background,answers.nationality,answers.visual_impairments,answers.musical_expertise,answers.hearing_impairments,answers.age,critical_reaction,control_chillsshiversthrills,control_activity,control_tension,control_familiarity,control_engagement,control_positivity,control_like_dislike,song_chillsshiversthrills,song_activity,song_tension,song_familiarity,song_engagement,song_positivity,song_like_dislike,control_inspired,control_wonder,control_spirituality,control_thrills,control_chills,control_tenderness,control_nostalgia,control_goosebumps,control_overwhelmed,control_shivers,song_inspired,song_wonder,song_spirituality,song_thrills,song_chills,song_tenderness,song_nostalgia,song_goosebumps,song_overwhelmed,song_shivers,control_transcendence,control_sadness,control_joyfulactivation,control_peacefulness,control_power,song_transcendence,song_sadness,song_joyfulactivation,song_peacefulness,song_power,metadata.language,answers.personality.trusting,answers.personality.artistic,answers.personality.imagination,answers.personality.reserved,answers.personality.outgoing,answers.personality.lazy,answers.personality.stress,answers.personality.nervous,answers.personality.fault,answers.personality.thorough,answers.concentration,song,answers.musicpref.world,answers.musicpref.pop,answers.musicpref.dance,answers.musicpref.none,answers.musicpref.folk,answers.musicpref.traditional_irish,answers.musicpref.hip_hop,answers.musicpref.jazz,answers.musicpref.rock,answers.musicpref.classical,answers.musicpref.hiphop
5410f69308ad6ee3090e387a,5410f69308ad6ee3090e387a,dublin,female,1970-01-01,,other,,,False,41.0,False,,,,,,,,3.0,4.0,4.0,4.0,2.0,4.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hallelujah,0,0,0,0,0,0,0,1,0,0,0
5410f69508ad6ee3090e3892,5410f69508ad6ee3090e3892,dublin,male,1970-01-01,,irish,,,False,41.0,False,,,,,,,,1.0,4.0,1.0,4.0,4.0,4.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hallelujah,0,1,1,0,0,0,0,0,1,0,0
5410f6d008ad6ee3090e3994,5410f6d008ad6ee3090e3994,dublin,male,1986-01-01,,other,,,False,25.0,False,,,,,,,,,4.0,5.0,5.0,1.0,2.0,1.0,,,,,,,,,,,5.0,2.0,3.0,1.0,2.0,2.0,4.0,3.0,1.0,4.0,,,,,,,,,,,,,,,,,,,,,,,hallelujah,1,1,0,0,0,0,0,0,1,0,0
5410f6d008ad6ee3090e3998,5410f6d008ad6ee3090e3998,dublin,female,1990-01-01,,irish,,,False,21.0,True,,,,,,,,,2.0,4.0,4.0,2.0,1.0,2.0,,,,,,,,,,,4.0,2.0,4.0,4.0,3.0,4.0,3.0,3.0,2.0,3.0,,,,,,,,,,,,,,,,,,,,,,,hallelujah,0,1,1,0,0,0,0,0,1,0,0
5410f6d008ad6ee3090e399c,5410f6d008ad6ee3090e399c,dublin,male,1991-01-01,,irish,,,False,20.0,False,,,,,,,,,5.0,3.0,2.0,4.0,4.0,3.0,,,,,,,,,,,3.0,4.0,1.0,1.0,4.0,4.0,1.0,3.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,hallelujah,0,1,1,0,0,1,0,1,1,0,0
5410f6d108ad6ee3090e39ad,5410f6d108ad6ee3090e39ad,dublin,male,1979-01-01,,british,,,False,32.0,True,,,,,,,,,3.0,4.0,5.0,1.0,4.0,1.0,,,,,,,,,,,4.0,5.0,4.0,1.0,4.0,5.0,5.0,4.0,4.0,3.0,,,,,,,,,,,,,,,,,,,,,,,hallelujah,0,0,0,1,0,0,0,0,0,0,0
5410f6fd08ad6ee3090e3a51,5410f6fd08ad6ee3090e3a51,dublin,female,1992-01-01,True,irish,,3,False,19.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hallelujah,0,1,0,0,0,0,0,0,0,1,0
5410f76508ad6ee3090e3c03,5410f76508ad6ee3090e3c03,dublin,male,1995-01-01,,british,,,False,16.0,False,,,,,,,,,4.0,5.0,5.0,2.0,2.0,2.0,,,,,,,,,,,1.0,1.0,4.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,hallelujah,0,0,0,0,0,0,0,0,1,0,0
5410f76608ad6ee3090e3c09,5410f76608ad6ee3090e3c09,dublin,male,1985-01-01,,irish,,,False,26.0,False,,,,,,,,,2.0,2.0,4.0,2.0,4.0,4.0,,,,,,,,,,,1.0,3.0,4.0,1.0,4.0,5.0,2.0,2.0,4.0,2.0,,,,,,,,,,,,,,,,,,,,,,,hallelujah,0,1,1,0,0,0,0,0,1,1,0
5410f76608ad6ee3090e3c0d,5410f76608ad6ee3090e3c0d,dublin,male,1979-01-01,,other,,,True,32.0,False,,,,,,,,,3.0,4.0,4.0,4.0,2.0,2.0,,,,,,,,,,,3.0,2.0,3.0,1.0,1.0,3.0,4.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,hallelujah,1,1,1,0,0,0,1,1,1,0,0
5410f76608ad6ee3090e3c16,5410f76608ad6ee3090e3c16,dublin,male,1984-01-01,,irish,,,False,27.0,True,,,,,,,,,3.0,4.0,5.0,1.0,1.0,1.0,,,,,,,,,,,5.0,5.0,5.0,3.0,4.0,4.0,5.0,1.0,3.0,4.0,,,,,,,,,,,,,,,,,,,,,,,hallelujah,0,0,1,0,0,0,0,0,0,0,0
5410f76708ad6ee3090e3c1a,5410f76708ad6ee3090e3c1a,dublin,male,1978-01-01,,irish,,,True,33.0,False,,,,,,,,,4.0,3.0,3.0,4.0,4.0,4.0,,,,,,,,,,,2.0,2.0,4.0,1.0,2.0,4.0,2.0,1.0,3.0,2.0,,,,,,,,,,,,,,,,,,,,,,,hallelujah,0,0,1,0,0,0,0,0,0,0,0
5410f76708ad6ee3090e3c1f,5410f76708ad6ee3090e3c1f,dublin,male,1952-01-01,,irish,,,False,59.0,False,,,,,,,,,3.0,3.0,3.0,5.0,3.0,3.0,,,,,,,,,,,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,hallelujah,0,0,0,0,0,1,0,0,1,1,0
5410f7b408ad6ee3090e3d16,5410f7b408ad6ee3090e3d16,dublin,male,1980-01-01,,irish,,,False,31.0,False,,,,,,,,4.0,1.0,3.0,4.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hallelujah,0,0,1,0,0,0,0,0,1,0,0
5410f7b408ad6ee3090e3d1c,5410f7b408ad6ee3090e3d1c,dublin,male,1990-01-01,,irish,,,False,21.0,True,,,,,,,,2.0,4.0,4.0,4.0,1.0,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hallelujah,0,1,0,0,0,0,1,0,1,0,0
5410f7b508ad6ee3090e3d2a,5410f7b508ad6ee3090e3d2a,dublin,male,1970-01-01,,irish,,,False,41.0,True,,,,,,,,3.0,4.0,5.0,5.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hallelujah,0,0,0,0,0,0,0,0,1,0,0
5410f7b508ad6ee3090e3d30,5410f7b508ad6ee3090e3d30,dublin,female,1990-01-01,,other,,,True,21.0,False,,,,,,,,2.0,4.0,5.0,5.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hallelujah,0,1,1,0,0,0,0,0,0,1,0
5410f7fc08ad6ee3090e3e4e,5410f7fc08ad6ee3090e3e4e,dublin,male,1986-01-01,,british,,,False,25.0,False,,,,,,,,,5.0,4.0,4.0,1.0,3.0,2.0,,,,,,,,,,,2.0,4.0,4.0,4.0,4.0,5.0,5.0,3.0,4.0,1.0,,,,,,,,,,,,,,,,,,,,,,,hallelujah,0,1,0,0,0,0,0,0,1,0,0
5410f7fc08ad6ee3090e3e51,5410f7fc08ad6ee3090e3e51,dublin,male,1982-01-01,,other,,,False,29.0,False,,,,,,,,,5.0,3.0,2.0,5.0,4.0,5.0,,,,,,,,,,,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,hallelujah,1,1,1,0,0,0,0,0,0,0,0
5410f7fc08ad6ee3090e3e55,5410f7fc08ad6ee3090e3e55,dublin,female,1969-01-01,,irish,,,False,42.0,False,,,,,,,,,4.0,4.0,5.0,2.0,3.0,3.0,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,2.0,4.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,hallelujah,1,0,0,0,0,0,0,0,0,0,0
5410f82f08ad6ee3090e3f2f,5410f82f08ad6ee3090e3f2f,dublin,male,1980-01-01,,other,,,False,31.0,False,,,,,,,,1.0,4.0,4.0,3.0,3.0,4.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hallelujah,0,0,0,0,0,0,0,0,1,0,0
5410f88108ad6ee3090e406f,5410f88108ad6ee3090e406f,dublin,female,1990-01-01,,british,,,False,21.0,True,,,,,,,,,3.0,5.0,4.0,1.0,3.0,2.0,,,,,,,,,,,2.0,4.0,2.0,1.0,2.0,1.0,4.0,2.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,hallelujah,1,1,1,0,0,0,0,1,1,0,0
5410f88208ad6ee3090e4076,5410f88208ad6ee3090e4076,dublin,female,1986-01-01,,irish,,,False,25.0,True,,,,,,,,,4.0,4.0,5.0,1.0,4.0,1.0,,,,,,,,,,,4.0,4.0,3.0,3.0,3.0,4.0,5.0,3.0,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,hallelujah,0,1,1,0,0,0,1,0,1,0,0
5410f88208ad6ee3090e407b,5410f88208ad6ee3090e407b,dublin,female,1984-01-01,,irish,,,True,27.0,False,,,,,,,,,4.0,4.0,5.0,1.0,3.0,1.0,,,,,,,,,,,2.0,4.0,4.0,2.0,1.0,2.0,4.0,3.0,4.0,2.0,,,,,,,,,,,,,,,,,,,,,,,hallelujah,0,1,0,0,0,1,0,0,1,0,0
5410f88308ad6ee3090e408d,5410f88308ad6ee3090e408d,dublin,male,1988-01-01,,irish,,,False,23.0,False,,,,,,,,,4.0,5.0,4.0,2.0,3.0,2.0,,,,,,,,,,,4.0,3.0,3.0,1.0,2.0,3.0,4.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,hallelujah,0,1,0,0,0,0,0,1,1,1,0
5410f8da08ad6ee3090e4127,5410f8da08ad6ee3090e4127,dublin,female,1976-01-01,True,other,,3,False,35.0,False,,,,,,,,,,2.0,,,,,,,,,,,,,,,,4.0,,,,4.0,4.0,,,,,,,,,3.0,3.0,4.0,5.0,3.0,,,,,,,,,,,,,hallelujah,1,1,0,0,0,1,0,1,1,1,0
5410f8da08ad6ee3090e4132,5410f8da08ad6ee3090e4132,dublin,female,1971-01-01,False,irish,,1,False,40.0,False,,,,,,,,,,1.0,,,,,,,,,,,,,,,,3.0,,,,3.0,4.0,,,,,,,,,3.0,1.0,4.0,3.0,3.0,,,,,,,,,,,,,hallelujah,1,0,0,0,0,0,0,0,0,0,0
5410f91208ad6ee3090e41cf,5410f91208ad6ee3090e41cf,dublin,female,1990-01-01,,irish,,,False,21.0,False,,,,,,,,3.0,3.0,2.0,5.0,2.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hallelujah,0,0,0,0,0,0,0,0,1,0,0
5410f91208ad6ee3090e41d9,5410f91208ad6ee3090e41d9,dublin,male,1970-01-01,,irish,,,False,41.0,False,,,,,,,,4.0,4.0,5.0,5.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hallelujah,0,0,0,0,0,0,0,0,1,0,0
5410f93408ad6ee3090e426d,5410f93408ad6ee3090e426d,dublin,female,1977-01-01,False,other,,1,False,34.0,False,,,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,2.0,5.0,,,,,,,,,2.0,5.0,1.0,2.0,1.0,,,,,,,,,,,,,hallelujah,0,0,0,1,0,0,0,0,0,0,0
5410f95308ad6ee3090e42c1,5410f95308ad6ee3090e42c1,dublin,male,1990-01-01,,irish,,,False,21.0,False,,,,,,,,1.0,4.0,5.0,5.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hallelujah,0,1,0,0,0,1,1,0,0,0,0
5410f9cf08ad6ee3090e4499,5410f9cf08ad6ee3090e4499,dublin,male,1996-01-01,,other,,,False,15.0,False,,,,,,,,,3.0,4.0,3.0,1.0,2.0,2.0,,,,,,,,,,,4.0,3.0,3.0,1.0,1.0,4.0,5.0,2.0,4.0,1.0,,,,,,,,,,,,,,,,,,,,,,,hallelujah,0,1,0,0,0,0,1,0,1,0,0
5410f9d008ad6ee3090e44a5,5410f9d008ad6ee3090e44a5,dublin,female,1992-01-01,,irish,,,False,19.0,False,,,,,,,,,4.0,5.0,1.0,1.0,2.0,1.0,,,,,,,,,,,1.0,3.0,5.0,1.0,4.0,5.0,1.0,3.0,1.0,4.0,,,,,,,,,,,,,,,,,,,,,,,hallelujah,0,1,1,0,0,0,1,0,1,0,0
5410f9d108ad6ee3090e44b6,5410f9d108ad6ee3090e44b6,dublin,female,1989-01-01,,other,,,False,22.0,True,,,,,,,,,3.0,5.0,5.0,1.0,1.0,1.0,,,,,,,,,,,3.0,2.0,1.0,2.0,2.0,4.0,4.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,hallelujah,1,1,0,0,0,1,1,1,1,1,0
5410f9f708ad6ee3090e4533,5410f9f708ad6ee3090e4533,dublin,male,1970-01-01,,irish,,,False,41.0,False,,,,,,,,3.0,3.0,5.0,5.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hallelujah,1,1,1,0,0,1,0,1,1,0,0
5410f9f808ad6ee3090e4547,5410f9f808ad6ee3090e4547,dublin,male,1970-01-01,,irish,,,False,41.0,False,,,,,,,,2.0,4.0,5.0,4.0,3.0,4.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hallelujah,0,0,0,0,0,0,0,0,1,0,0
5410fa6308ad6ee3090e46d2,5410fa6308ad6ee3090e46d2,dublin,female,1994-01-01,,irish,,,False,17.0,True,,,,,,,,,4.0,5.0,4.0,1.0,2.0,1.0,,,,,,,,,,,3.0,2.0,3.0,3.0,4.0,4.0,4.0,4.0,2.0,3.0,,,,,,,,,,,,,,,,,,,,,,,hallelujah,1,0,0,0,0,1,0,1,0,1,0
5410fa6308ad6ee3090e46d5,5410fa6308ad6ee3090e46d5,dublin,female,1994-01-01,,irish,,,False,17.0,False,,,,,,,,,4.0,4.0,5.0,2.0,2.0,2.0,,,,,,,,,,,3.0,4.0,4.0,3.0,1.0,2.0,3.0,3.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,hallelujah,0,1,0,0,0,0,0,0,0,0,0
5410fa6308ad6ee3090e46dd,5410fa6308ad6ee3090e46dd,dublin,male,1989-01-01,,irish,,,False,22.0,False,,,,,,,,,5.0,5.0,4.0,2.0,2.0,2.0,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,hallelujah,0,0,1,0,0,1,1,0,1,0,0
5410fa6408ad6ee3090e46e0,5410fa6408ad6ee3090e46e0,dublin,female,1988-01-01,,irish,,,False,23.0,True,,,,,,,,,2.0,2.0,4.0,5.0,5.0,5.0,,,,,,,,,,,1.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,hallelujah,0,1,0,0,0,0,1,0,1,0,0
5410fa6408ad6ee3090e46e4,5410fa6408ad6ee3090e46e4,dublin,female,1986-01-01,,irish,,,False,25.0,True,,,,,,,,,3.0,4.0,4.0,1.0,2.0,1.0,,,,,,,,,,,3.0,3.0,4.0,1.0,1.0,4.0,5.0,1.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,hallelujah,1,1,1,0,0,1,1,1,1,1,0
5410fa6508ad6ee3090e46f4,5410fa6508ad6ee3090e46f4,dublin,male,1990-01-01,,irish,,,False,21.0,False,,,,,,,,,5.0,4.0,3.0,4.0,3.0,2.0,,,,,,,,,,,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,hallelujah,0,0,1,0,0,0,0,0,1,1,0
5410fa8808ad6ee3090e476b,5410fa8808ad6ee3090e476b,dublin,male,1988-01-01,True,other,,4,False,23.0,False,,,,,,,,,,1.0,,,,,,,,,,,,,,,,4.0,,,,3.0,4.0,,,,,,,,,3.0,4.0,3.0,4.0,3.0,,,,,,,,,,,,,hallelujah,0,1,0,0,0,0,0,0,1,0,0
5410fa8808ad6ee3090e476f,5410fa8808ad6ee3090e476f,dublin,male,1991-01-01,False,other,,4,False,20.0,False,,,,,,,,,,1.0,,,,,,,,,,,,,,,,4.0,,,,3.0,4.0,,,,,,,,,4.0,4.0,1.0,4.0,2.0,,,,,,,,,,,,,hallelujah,0,0,0,0,0,0,0,0,1,1,0
5410fa8808ad6ee3090e4776,5410fa8808ad6ee3090e4776,dublin,female,1989-01-01,False,other,,3,False,22.0,False,,,,,,,,,,1.0,,,,,,,,,,,,,,,,4.0,,,,4.0,4.0,,,,,,,,,3.0,2.0,1.0,4.0,3.0,,,,,,,,,,,,,hallelujah,0,0,0,1,0,0,0,0,0,0,0
5410fab008ad6ee3090e47f0,5410fab008ad6ee3090e47f0,dublin,female,1993-01-01,,irish,,,False,18.0,False,,,,,,,,1.0,4.0,4.0,3.0,3.0,2.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hallelujah,0,1,0,0,0,0,0,0,0,0,0
5410fab108ad6ee3090e47f8,5410fab108ad6ee3090e47f8,dublin,female,1990-01-01,,other,,,True,21.0,False,,,,,,,,2.0,4.0,4.0,1.0,4.0,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hallelujah,1,0,0,0,0,0,0,0,0,0,0
5410fb2e08ad6ee3090e49ce,5410fb2e08ad6ee3090e49ce,dublin,male,1978-01-01,,british,,,False,33.0,False,,,,,,,,,3.0,4.0,4.0,3.0,2.0,2.0,,,,,,,,,,,2.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,hallelujah,1,0,1,0,0,0,0,0,1,0,0
5410fb2f08ad6ee3090e49d7,5410fb2f08ad6ee3090e49d7,dublin,female,1983-01-01,,other,,,False,28.0,True,,,,,,,,,1.0,5.0,5.0,1.0,1.0,1.0,,,,,,,,,,,4.0,1.0,3.0,1.0,3.0,4.0,4.0,3.0,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,hallelujah,1,1,1,0,0,0,0,0,0,0,0
5410fb2f08ad6ee3090e49da,5410fb2f08ad6ee3090e49da,dublin,female,1969-01-01,,other,,,False,42.0,True,,,,,,,,,5.0,4.0,2.0,3.0,3.0,2.0,,,,,,,,,,,4.0,3.0,4.0,1.0,1.0,4.0,4.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,hallelujah,0,1,1,0,0,0,0,0,1,1,0
5410fb3008ad6ee3090e49e7,5410fb3008ad6ee3090e49e7,dublin,female,1983-01-01,,other,,,False,28.0,False,,,,,,,,,4.0,4.0,4.0,1.0,4.0,1.0,,,,,,,,,,,4.0,2.0,3.0,1.0,4.0,5.0,5.0,5.0,1.0,4.0,,,,,,,,,,,,,,,,,,,,,,,hallelujah,1,1,1,0,0,0,1,1,1,1,0
5410fb3f08ad6ee3090e4a1a,5410fb3f08ad6ee3090e4a1a,dublin,female,1980-01-01,False,other,,1,False,31.0,False,,,,,,,,,,2.0,,,,,,,,,,,,,,,,3.0,,,,3.0,4.0,,,,,,,,,4.0,4.0,1.0,3.0,4.0,,,,,,,,,,,,,hallelujah,0,1,0,0,0,0,0,0,1,0,0
5410fb3f08ad6ee3090e4a25,5410fb3f08ad6ee3090e4a25,dublin,female,1978-01-01,False,other,,1,False,33.0,False,,,,,,,,,,1.0,,,,,,,,,,,,,,,,4.0,,,,1.0,2.0,,,,,,,,,4.0,4.0,1.0,3.0,4.0,,,,,,,,,,,,,hallelujah,1,1,1,0,0,0,0,1,0,0,0
5410fba208ad6ee3090e4b9c,5410fba208ad6ee3090e4b9c,dublin,female,1993-01-01,,irish,,,False,18.0,False,,,,,,,,,4.0,2.0,3.0,2.0,4.0,2.0,,,,,,,,,,,1.0,1.0,2.0,1.0,1.0,3.0,4.0,1.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,hallelujah,0,1,0,0,0,0,0,0,0,0,0
5410fba308ad6ee3090e4ba2,5410fba308ad6ee3090e4ba2,dublin,male,1982-01-01,,irish,,,False,29.0,True,,,,,,,,,2.0,2.0,4.0,2.0,2.0,2.0,,,,,,,,,,,2.0,2.0,1.0,2.0,1.0,2.0,3.0,2.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,hallelujah,1,1,1,0,0,0,0,1,1,1,0
5410fba308ad6ee3090e4ba3,5410fba308ad6ee3090e4ba3,dublin,male,1987-01-01,,irish,,,False,24.0,False,,,,,,,,,3.0,4.0,4.0,2.0,2.0,2.0,,,,,,,,,,,4.0,3.0,3.0,2.0,1.0,3.0,2.0,4.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,hallelujah,1,1,0,0,0,1,0,0,1,0,0
