,_id,metadata.location,metadata.language,answers.nationality,answers.age,answers.sex,answers.hearing_impairments,answers.personality.trusting,answers.personality.artistic,answers.personality.imagination,answers.personality.reserved,answers.personality.outgoing,answers.personality.lazy,answers.personality.stress,answers.personality.nervous,answers.personality.fault,answers.personality.thorough,answers.musical_expertise,answers.concentration,critical_reaction,control_power,control_like_dislike,control_tension,control_engagement,control_activity,control_positivity,control_familiarity,song_power,song_like_dislike,song_tension,song_engagement,song_activity,song_positivity,song_familiarity,answers.dob,answers.musical_background,answers.visual_impairments,control_inspired,control_wonder,control_spirituality,control_thrills,control_chills,control_tenderness,control_nostalgia,control_goosebumps,control_overwhelmed,control_shivers,song_inspired,song_wonder,song_spirituality,song_thrills,song_chills,song_tenderness,song_nostalgia,song_goosebumps,song_overwhelmed,song_shivers,control_chillsshiversthrills,song_chillsshiversthrills,control_transcendence,control_sadness,control_joyfulactivation,control_peacefulness,song_transcendence,song_sadness,song_joyfulactivation,song_peacefulness,song,answers.musicpref.hip_hop,answers.musicpref.traditional_irish,answers.musicpref.classical,answers.musicpref.hiphop,answers.musicpref.folk,answers.musicpref.jazz,answers.musicpref.dance,answers.musicpref.world,answers.musicpref.rock,answers.musicpref.none,answers.musicpref.pop
570eb78d83a73509d0e03fa9,570eb78d83a73509d0e03fa9,taipei_city,en,taiwanese,18.0,female,False,5.0,2.0,4.0,1.0,5.0,5.0,2.0,2.0,3.0,2.0,2,4.0,False,1,2,5,2,2,2,-1,3.0,5.0,5.0,2.0,3.0,5.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hallelujah,0,0,1,0,0,0,0,0,0,0,1
570eb75b83a73509d0e02f7a,570eb75b83a73509d0e02f7a,taipei_city,en,taiwanese,13.0,female,False,4.0,1.0,5.0,2.0,4.0,4.0,2.0,4.0,4.0,2.0,3,4.0,False,4,3,3,4,3,4,-1,3.0,4.0,4.0,5.0,3.0,4.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hallelujah,0,0,1,0,0,0,0,1,0,0,1
570eb77a83a73509d0e039fc,570eb77a83a73509d0e039fc,taipei_city,zh_TW,taiwanese,16.0,female,False,2.0,1.0,5.0,2.0,4.0,4.0,3.0,2.0,4.0,4.0,2,4.0,False,4,4,4,4,2,4,-1,3.0,5.0,5.0,5.0,3.0,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hallelujah,0,0,1,1,0,1,0,0,1,0,1
570eb76783a73509d0e0336d,570eb76783a73509d0e0336d,taipei_city,en,taiwanese,38.0,female,False,4.0,2.0,4.0,2.0,4.0,4.0,2.0,3.0,4.0,3.0,1,5.0,False,2,4,4,4,2,5,-1,1.0,4.0,1.0,5.0,4.0,2.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hallelujah,0,0,1,0,0,1,0,0,0,0,1
570eb75383a73509d0e02cbf,570eb75383a73509d0e02cbf,taipei_city,zh_TW,taiwanese,12.0,male,False,3.0,3.0,3.0,3.0,3.0,1.0,3.0,1.0,1.0,3.0,2,5.0,False,4,4,5,3,3,4,-1,5.0,5.0,5.0,5.0,4.0,5.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hallelujah,0,0,0,0,0,0,0,0,1,0,0
570eb75c83a73509d0e02ff2,570eb75c83a73509d0e02ff2,taipei_city,en,taiwanese,12.0,male,False,4.0,3.0,5.0,4.0,3.0,4.0,3.0,4.0,4.0,2.0,3,4.0,False,4,2,3,2,3,3,-1,2.0,5.0,5.0,4.0,4.0,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hallelujah,0,0,1,0,0,0,0,0,0,0,1
570eb79b83a73509d0e04409,570eb79b83a73509d0e04409,taipei_city,en,taiwanese,17.0,female,False,4.0,2.0,4.0,4.0,1.0,5.0,4.0,4.0,2.0,2.0,4,4.0,False,3,4,4,3,3,4,-1,2.0,4.0,5.0,5.0,4.0,4.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hallelujah,0,0,0,0,0,1,0,0,0,0,1
570eb77883a73509d0e0394c,570eb77883a73509d0e0394c,taipei_city,en,taiwanese,18.0,male,False,4.0,2.0,4.0,4.0,2.0,4.0,4.0,4.0,4.0,4.0,2,4.0,False,2,4,4,4,3,4,-1,2.0,4.0,5.0,4.0,2.0,4.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hallelujah,0,0,0,0,0,0,0,0,1,0,1
570eb73183a73509d0e021ba,570eb73183a73509d0e021ba,taichung_city,en,taiwanese,20.0,female,False,4.0,2.0,4.0,2.0,5.0,4.0,2.0,5.0,2.0,4.0,3,4.0,False,5,1,3,1,3,1,-1,5.0,4.0,5.0,4.0,4.0,5.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hallelujah,0,0,0,0,0,0,0,0,0,0,1
570eb73c83a73509d0e02565,570eb73c83a73509d0e02565,taichung_city,en,taiwanese,20.0,female,False,4.0,2.0,5.0,3.0,4.0,5.0,2.0,3.0,3.0,3.0,1,4.0,False,3,5,5,5,1,3,-1,5.0,3.0,3.0,3.0,1.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hallelujah,0,0,0,1,0,0,0,0,0,0,0
570eb77583a73509d0e0383f,570eb77583a73509d0e0383f,taichung_city,en,taiwanese,17.0,female,False,2.0,1.0,3.0,1.0,1.0,5.0,2.0,3.0,4.0,2.0,2,5.0,False,4,4,3,3,2,3,-1,4.0,3.0,4.0,4.0,3.0,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hallelujah,0,0,1,0,1,0,0,0,0,0,1
570eb73f83a73509d0e0262f,570eb73f83a73509d0e0262f,taichung_city,en,taiwanese,17.0,male,False,4.0,4.0,2.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4,5.0,False,2,1,1,1,2,2,-1,4.0,4.0,4.0,4.0,4.0,4.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hallelujah,0,0,0,0,0,0,0,0,0,0,1
570eb7bc83a73509d0e04e43,570eb7bc83a73509d0e04e43,taichung_city,en,taiwanese,7.0,female,False,4.0,1.0,2.0,4.0,4.0,1.0,4.0,1.0,1.0,2.0,3,5.0,False,4,5,5,5,5,5,-1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hallelujah,0,0,1,0,0,0,0,0,0,0,0
570eb76683a73509d0e03340,570eb76683a73509d0e03340,taichung_city,en,taiwanese,29.0,male,False,4.0,1.0,5.0,4.0,4.0,4.0,2.0,4.0,4.0,4.0,2,3.0,False,4,3,4,2,2,3,-1,4.0,4.0,4.0,3.0,3.0,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hallelujah,0,0,1,0,0,1,0,0,1,0,1
570eb7ba83a73509d0e04d91,570eb7ba83a73509d0e04d91,taichung_city,en,taiwanese,18.0,female,False,2.0,2.0,2.0,4.0,2.0,4.0,3.0,4.0,4.0,4.0,2,2.0,False,2,5,4,3,2,4,-1,2.0,5.0,5.0,5.0,4.0,5.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hallelujah,0,0,0,0,0,0,0,0,0,0,1
570eb75a83a73509d0e02f25,570eb75a83a73509d0e02f25,taichung_city,en,taiwanese,28.0,female,False,2.0,1.0,5.0,4.0,2.0,5.0,1.0,5.0,3.0,2.0,2,3.0,False,3,3,3,1,2,3,-1,2.0,4.0,4.0,4.0,3.0,4.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hallelujah,0,0,0,1,0,0,0,0,1,0,1
570eb7b883a73509d0e04cd2,570eb7b883a73509d0e04cd2,taichung_city,en,taiwanese,16.0,male,False,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5,5.0,False,5,5,5,5,5,5,-1,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hallelujah,0,0,1,1,1,1,1,1,1,0,1
5410f76608ad6ee3090e3c16,5410f76608ad6ee3090e3c16,dublin,,irish,27.0,male,False,,,,,,,,,,,,,False,,,,,,,,,1.0,4.0,1.0,3.0,1.0,5.0,1984-01-01,,,,,,,,,,,,,5.0,5.0,5.0,3.0,4.0,4.0,5.0,1.0,3.0,4.0,,,,,,,,,,,hallelujah,0,0,0,0,0,0,1,0,0,0,0
5410f7fc08ad6ee3090e3e55,5410f7fc08ad6ee3090e3e55,dublin,,irish,42.0,female,False,,,,,,,,,,,,,False,,,,,,,,,3.0,4.0,2.0,4.0,3.0,5.0,1969-01-01,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,2.0,4.0,1.0,1.0,1.0,,,,,,,,,,,hallelujah,0,0,0,0,0,0,0,1,0,0,0
5410f9d108ad6ee3090e44b6,5410f9d108ad6ee3090e44b6,dublin,,other,22.0,female,False,,,,,,,,,,,,,False,,,,,,,,,1.0,5.0,1.0,3.0,1.0,5.0,1989-01-01,,,,,,,,,,,,,3.0,2.0,1.0,2.0,2.0,4.0,4.0,1.0,1.0,2.0,,,,,,,,,,,hallelujah,1,1,1,0,0,1,0,1,1,0,1
5410fba308ad6ee3090e4ba3,5410fba308ad6ee3090e4ba3,dublin,,irish,24.0,male,False,,,,,,,,,,,,,False,,,,,,,,,2.0,4.0,2.0,3.0,2.0,4.0,1987-01-01,,,,,,,,,,,,,4.0,3.0,3.0,2.0,1.0,3.0,2.0,4.0,3.0,1.0,,,,,,,,,,,hallelujah,0,1,0,0,0,0,0,1,1,0,1
541101e408ad6ee3090e63b2,541101e408ad6ee3090e63b2,dublin,,british,39.0,male,False,,,,,,,,,,,,,False,,,,,,,,,5.0,4.0,4.0,4.0,4.0,4.0,1972-01-01,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,hallelujah,0,0,0,0,0,0,0,0,1,0,0
541102af08ad6ee3090e6655,541102af08ad6ee3090e6655,dublin,,irish,31.0,male,False,,,,,,,,,,,,,False,,,,,,,,,2.0,4.0,2.0,2.0,2.0,4.0,1980-01-01,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,hallelujah,1,0,0,0,0,0,1,0,1,0,1
5411036108ad6ee3090e68e5,5411036108ad6ee3090e68e5,dublin,,irish,41.0,male,False,,,,,,,,,,,,,False,,,,,,,,,2.0,4.0,3.0,3.0,2.0,4.0,1970-01-01,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,hallelujah,0,0,0,0,0,0,1,0,1,0,1
5411041108ad6ee3090e6b69,5411041108ad6ee3090e6b69,dublin,,irish,31.0,male,False,,,,,,,,,,,,,False,,,,,,,,,3.0,4.0,2.0,3.0,2.0,1.0,1980-01-01,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,hallelujah,0,0,0,0,0,0,0,0,1,0,1
5411051608ad6ee3090e6f03,5411051608ad6ee3090e6f03,dublin,,other,31.0,female,False,,,,,,,,,,,,,False,,,,,,,,,2.0,5.0,2.0,4.0,3.0,3.0,1980-01-01,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,hallelujah,1,0,1,0,0,1,1,1,1,0,1
5411051708ad6ee3090e6f1c,5411051708ad6ee3090e6f1c,dublin,,other,21.0,male,False,,,,,,,,,,,,,False,,,,,,,,,2.0,3.0,2.0,2.0,2.0,4.0,1990-01-01,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,hallelujah,1,1,1,0,0,0,0,1,1,0,0
5411059a08ad6ee3090e70f8,5411059a08ad6ee3090e70f8,dublin,,other,21.0,female,False,,,,,,,,,,,,,False,,,,,,,,,4.0,2.0,3.0,3.0,4.0,2.0,1990-01-01,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,hallelujah,0,0,0,0,0,0,0,0,1,0,0
5411059c08ad6ee3090e7112,5411059c08ad6ee3090e7112,dublin,,irish,41.0,male,False,,,,,,,,,,,,,False,,,,,,,,,2.0,4.0,1.0,4.0,2.0,4.0,1970-01-01,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,hallelujah,1,0,1,0,0,1,1,0,1,0,1
5411061e08ad6ee3090e72f7,5411061e08ad6ee3090e72f7,dublin,,irish,81.0,female,False,,,,,,,,,,,,,False,,,,,,,,,2.0,5.0,1.0,1.0,1.0,4.0,1930-01-01,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,hallelujah,0,1,1,0,0,0,0,0,0,0,0
5411061f08ad6ee3090e72fc,5411061f08ad6ee3090e72fc,dublin,,other,31.0,male,False,,,,,,,,,,,,,False,,,,,,,,,3.0,4.0,4.0,4.0,3.0,4.0,1980-01-01,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,hallelujah,0,0,0,0,0,0,0,0,1,0,0
541106b808ad6ee3090e753f,541106b808ad6ee3090e753f,dublin,,other,51.0,male,False,,,,,,,,,,,,,False,,,,,,,,,1.0,4.0,1.0,3.0,1.0,5.0,1960-01-01,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,hallelujah,0,0,0,0,0,0,0,0,1,0,0
5411076f08ad6ee3090e7798,5411076f08ad6ee3090e7798,dublin,,irish,31.0,male,False,,,,,,,,,,,,,False,,,,,,,,,1.0,4.0,2.0,4.0,2.0,4.0,1980-01-01,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,hallelujah,0,0,0,0,0,1,0,0,1,0,0
5411076f08ad6ee3090e779a,5411076f08ad6ee3090e779a,dublin,,other,21.0,male,False,,,,,,,,,,,,,False,,,,,,,,,4.0,4.0,4.0,4.0,3.0,2.0,1990-01-01,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,hallelujah,0,0,0,0,0,0,1,0,0,0,1
5410f69508ad6ee3090e3892,5410f69508ad6ee3090e3892,dublin,,irish,41.0,male,False,,,,,,,,,,,,,False,,,,,,,,,5.0,1.0,4.0,4.0,4.0,4.0,1970-01-01,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,hallelujah,0,0,0,0,0,0,1,0,1,0,1
5410f91208ad6ee3090e41d9,5410f91208ad6ee3090e41d9,dublin,,irish,41.0,male,False,,,,,,,,,,,,,False,,,,,,,,,1.0,5.0,2.0,4.0,1.0,5.0,1970-01-01,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,hallelujah,0,0,0,0,0,0,0,0,1,0,0
5410f95308ad6ee3090e42c1,5410f95308ad6ee3090e42c1,dublin,,irish,21.0,male,False,,,,,,,,,,,,,False,,,,,,,,,2.0,5.0,1.0,4.0,1.0,5.0,1990-01-01,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,hallelujah,1,1,0,0,0,0,0,0,0,0,1
5410fab008ad6ee3090e47f0,5410fab008ad6ee3090e47f0,dublin,,irish,18.0,female,False,,,,,,,,,,,,,False,,,,,,,,,3.0,4.0,3.0,4.0,2.0,3.0,1993-01-01,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,hallelujah,0,0,0,0,0,0,0,0,0,0,1
5410fcb908ad6ee3090e4fcd,5410fcb908ad6ee3090e4fcd,dublin,,other,21.0,male,False,,,,,,,,,,,,,False,,,,,,,,,4.0,4.0,1.0,4.0,3.0,2.0,1990-01-01,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,hallelujah,0,0,0,0,0,0,0,0,1,0,0
5410fda608ad6ee3090e534e,5410fda608ad6ee3090e534e,dublin,,irish,61.0,female,False,,,,,,,,,,,,,False,,,,,,,,,4.0,4.0,1.0,4.0,1.0,3.0,1950-01-01,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,hallelujah,0,0,1,0,0,1,0,0,1,0,1
5410fda708ad6ee3090e5362,5410fda708ad6ee3090e5362,dublin,,irish,31.0,male,False,,,,,,,,,,,,,False,,,,,,,,,3.0,4.0,2.0,3.0,4.0,3.0,1980-01-01,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,hallelujah,1,1,1,0,0,1,1,0,1,0,1
5411015508ad6ee3090e6160,5411015508ad6ee3090e6160,dublin,,other,33.0,male,False,,,,,,,,,,,1,,False,,,,,,,,,2.0,4.0,2.0,3.0,3.0,4.0,1978-01-01,False,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,hallelujah,0,0,1,0,0,0,0,0,1,0,1
5411031108ad6ee3090e67f0,5411031108ad6ee3090e67f0,dublin,,other,23.0,female,False,,,,,,,,,,,4,,False,,,,,,,,,1.0,3.0,2.0,3.0,2.0,5.0,1988-01-01,True,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,hallelujah,1,1,1,0,0,1,0,0,1,0,1
5411047808ad6ee3090e6ce1,5411047808ad6ee3090e6ce1,dublin,,irish,54.0,male,False,,,,,,,,,,,3,,False,,,,,,,,,2.0,3.0,3.0,4.0,3.0,3.0,1957-01-01,False,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,hallelujah,0,1,1,0,0,0,0,0,1,0,0
5411047808ad6ee3090e6ce6,5411047808ad6ee3090e6ce6,dublin,,irish,18.0,female,False,,,,,,,,,,,4,,False,,,,,,,,,3.0,4.0,3.0,4.0,2.0,4.0,1993-01-01,True,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,hallelujah,0,0,0,0,0,0,1,0,0,0,0
541105e008ad6ee3090e7216,541105e008ad6ee3090e7216,dublin,,irish,16.0,male,False,,,,,,,,,,,3,,False,,,,,,,,,4.0,2.0,5.0,4.0,3.0,3.0,1995-01-01,True,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,hallelujah,0,0,0,0,0,0,0,0,1,0,0
541105e108ad6ee3090e7221,541105e108ad6ee3090e7221,dublin,,irish,58.0,female,False,,,,,,,,,,,2,,False,,,,,,,,,3.0,4.0,4.0,2.0,2.0,4.0,1953-01-01,False,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,hallelujah,0,1,0,0,0,0,0,0,0,0,0
5410fa8808ad6ee3090e476f,5410fa8808ad6ee3090e476f,dublin,,other,20.0,male,False,,,,,,,,,,,4,,False,,,,,,,,2.0,,1.0,,,,,1991-01-01,False,,,,,,,,,,,,,4.0,,,,3.0,4.0,,,,,,,,,,4.0,4.0,1.0,4.0,hallelujah,0,0,1,0,0,0,0,0,1,0,0
5410fa8808ad6ee3090e4776,5410fa8808ad6ee3090e4776,dublin,,other,22.0,female,False,,,,,,,,,,,3,,False,,,,,,,,3.0,,1.0,,,,,1989-01-01,False,,,,,,,,,,,,,4.0,,,,4.0,4.0,,,,,,,,,,3.0,2.0,1.0,4.0,hallelujah,0,0,0,0,0,0,0,0,0,1,0
5410fb3f08ad6ee3090e4a1a,5410fb3f08ad6ee3090e4a1a,dublin,,other,31.0,female,False,,,,,,,,,,,1,,False,,,,,,,,4.0,,2.0,,,,,1980-01-01,False,,,,,,,,,,,,,3.0,,,,3.0,4.0,,,,,,,,,,4.0,4.0,1.0,3.0,hallelujah,0,0,0,0,0,0,0,0,1,0,1
5411012808ad6ee3090e60bb,5411012808ad6ee3090e60bb,dublin,,irish,25.0,male,False,,,,,,,,,,,5,,False,,,,,,,,4.0,,1.0,,,,,1986-01-01,True,,,,,,,,,,,,,4.0,,,,5.0,4.0,,,,,,,,,,5.0,4.0,2.0,3.0,hallelujah,0,0,1,0,0,0,1,0,1,0,1
541102d908ad6ee3090e671a,541102d908ad6ee3090e671a,dublin,,other,18.0,male,False,,,,,,,,,,,2,,False,,,,,,,,,,,,,,,1993-01-01,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hallelujah,0,0,0,0,0,0,0,0,1,0,0
541103ad08ad6ee3090e6a09,541103ad08ad6ee3090e6a09,dublin,,other,21.0,female,False,,,,,,,,,,,3,,False,,,,,,,,,,,,,,,1990-01-01,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hallelujah,0,0,0,0,0,1,1,1,1,0,1
5411043a08ad6ee3090e6bfd,5411043a08ad6ee3090e6bfd,dublin,,irish,13.0,female,False,,,,,,,,,,,3,,False,,,,,,,,,,,,,,,1998-01-01,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hallelujah,1,0,0,0,0,1,1,0,0,0,1
5411065608ad6ee3090e73c9,5411065608ad6ee3090e73c9,dublin,,irish,17.0,male,False,,,,,,,,,,,3,,False,,,,,,,,,,,,,,,1994-01-01,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hallelujah,0,1,0,0,0,0,0,0,1,0,0
5411070e08ad6ee3090e761d,5411070e08ad6ee3090e761d,dublin,,irish,39.0,male,False,,,,,,,,,,,2,,False,,,,,,,,,,,,,,,1972-01-01,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hallelujah,0,0,0,0,0,0,0,0,1,0,1
5410f6fd08ad6ee3090e3a51,5410f6fd08ad6ee3090e3a51,dublin,,irish,19.0,female,False,,,,,,,,,,,3,,False,,,,,,,,,,,,,,,1992-01-01,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hallelujah,0,0,1,0,0,0,0,0,0,0,1
