,_id,metadata.location,answers.sex,answers.dob,answers.musical_background,answers.nationality,answers.visual_impairments,answers.musical_expertise,answers.hearing_impairments,answers.age,critical_reaction,control_chillsshiversthrills,control_activity,control_tension,control_familiarity,control_engagement,control_positivity,control_like_dislike,song_chillsshiversthrills,song_activity,song_tension,song_familiarity,song_engagement,song_positivity,song_like_dislike,control_transcendence,control_sadness,control_wonder,control_joyfulactivation,control_tenderness,control_peacefulness,control_nostalgia,control_power,song_transcendence,song_sadness,song_wonder,song_joyfulactivation,song_tenderness,song_peacefulness,song_nostalgia,song_power,song,answers.musicpref.rock,answers.musicpref.world,answers.musicpref.dance,answers.musicpref.traditional_irish,answers.musicpref.classical,answers.musicpref.pop,answers.musicpref.jazz,answers.musicpref.hip_hop
5410fd5d08ad6ee3090e5231,5410fd5d08ad6ee3090e5231,dublin,male,1970-01-01,,other,,,False,41.0,True,,,,,,,,1.0,5.0,5.0,4.0,1.0,2.0,2.0,,,,,,,,,,,,,,,,,dust_dublin,0,0,0,0,0,0,1,0
5410f91208ad6ee3090e41cc,5410f91208ad6ee3090e41cc,dublin,male,1990-01-01,,other,,,False,21.0,True,,,,,,,,4.0,1.0,5.0,4.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,dust_dublin,1,1,1,0,1,1,0,1
541102af08ad6ee3090e665f,541102af08ad6ee3090e665f,dublin,male,1990-01-01,,irish,,,False,21.0,False,,,,,,,,1.0,3.0,3.0,1.0,4.0,3.0,3.0,,,,,,,,,,,,,,,,,dust_dublin,1,0,0,0,0,1,0,0
5411036108ad6ee3090e68e7,5411036108ad6ee3090e68e7,dublin,male,1950-01-01,,irish,,,False,61.0,False,,,,,,,,2.0,3.0,4.0,1.0,3.0,3.0,3.0,,,,,,,,,,,,,,,,,dust_dublin,0,0,0,1,1,0,1,0
5411041008ad6ee3090e6b57,5411041008ad6ee3090e6b57,dublin,male,1980-01-01,,other,,,False,31.0,False,,,,,,,,1.0,4.0,4.0,1.0,3.0,2.0,3.0,,,,,,,,,,,,,,,,,dust_dublin,0,0,0,0,0,0,0,1
5411051808ad6ee3090e6f1f,5411051808ad6ee3090e6f1f,dublin,female,1970-01-01,,irish,,,False,41.0,False,,,,,,,,1.0,2.0,5.0,3.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,dust_dublin,1,0,0,0,0,0,0,0
5411059908ad6ee3090e70f4,5411059908ad6ee3090e70f4,dublin,female,1990-01-01,,irish,,,False,21.0,False,,,,,,,,1.0,5.0,5.0,3.0,3.0,3.0,3.0,,,,,,,,,,,,,,,,,dust_dublin,0,0,0,0,0,0,0,1
541106b808ad6ee3090e7540,541106b808ad6ee3090e7540,dublin,male,1980-01-01,,irish,,,False,31.0,False,,,,,,,,2.0,2.0,3.0,3.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,dust_dublin,1,1,1,1,1,1,0,1
5411076e08ad6ee3090e7782,5411076e08ad6ee3090e7782,dublin,male,1960-01-01,,irish,,,False,51.0,False,,,,,,,,4.0,2.0,4.0,4.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,dust_dublin,1,1,1,0,1,0,0,1
5411076e08ad6ee3090e7785,5411076e08ad6ee3090e7785,dublin,male,1980-01-01,,other,,,False,31.0,False,,,,,,,,1.0,3.0,4.0,2.0,4.0,3.0,3.0,,,,,,,,,,,,,,,,,dust_dublin,1,1,0,0,0,1,1,0
5410f69408ad6ee3090e3881,5410f69408ad6ee3090e3881,dublin,male,1970-01-01,,irish,,,True,41.0,False,,,,,,,,1.0,3.0,4.0,3.0,3.0,3.0,3.0,,,,,,,,,,,,,,,,,dust_dublin,1,0,0,0,0,1,0,0
5410f69608ad6ee3090e38a4,5410f69608ad6ee3090e38a4,dublin,female,1990-01-01,,irish,,,False,21.0,False,,,,,,,,3.0,4.0,4.0,4.0,2.0,2.0,1.0,,,,,,,,,,,,,,,,,dust_dublin,0,0,0,0,1,1,0,0
5410f95308ad6ee3090e42c5,5410f95308ad6ee3090e42c5,dublin,male,1970-01-01,,irish,,,False,41.0,False,,,,,,,,2.0,2.0,4.0,1.0,3.0,3.0,4.0,,,,,,,,,,,,,,,,,dust_dublin,1,1,1,0,1,1,1,1
5410f95408ad6ee3090e42d1,5410f95408ad6ee3090e42d1,dublin,male,1970-01-01,,irish,,,False,41.0,False,,,,,,,,1.0,4.0,3.0,3.0,4.0,3.0,4.0,,,,,,,,,,,,,,,,,dust_dublin,1,0,1,0,0,0,0,0
5410f9f908ad6ee3090e4555,5410f9f908ad6ee3090e4555,dublin,female,1980-01-01,,irish,,,False,31.0,False,,,,,,,,3.0,4.0,4.0,1.0,2.0,4.0,3.0,,,,,,,,,,,,,,,,,dust_dublin,1,1,0,1,1,1,1,0
5410fab008ad6ee3090e47ed,5410fab008ad6ee3090e47ed,dublin,male,1970-01-01,,irish,,,False,41.0,False,,,,,,,,1.0,4.0,3.0,1.0,3.0,3.0,2.0,,,,,,,,,,,,,,,,,dust_dublin,1,0,1,0,0,1,0,1
5410fc0608ad6ee3090e4d07,5410fc0608ad6ee3090e4d07,dublin,male,1960-01-01,,irish,,,False,51.0,False,,,,,,,,1.0,4.0,5.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,dust_dublin,1,1,0,1,0,0,1,0
5410fc0808ad6ee3090e4d27,5410fc0808ad6ee3090e4d27,dublin,male,2000-01-01,,irish,,,False,11.0,False,,,,,,,,1.0,1.0,5.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,dust_dublin,1,1,1,0,1,1,1,0
5410fc0908ad6ee3090e4d38,5410fc0908ad6ee3090e4d38,dublin,female,1990-01-01,,irish,,,False,21.0,False,,,,,,,,3.0,5.0,4.0,3.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,dust_dublin,1,0,0,0,0,0,0,0
5410fc0908ad6ee3090e4d3f,5410fc0908ad6ee3090e4d3f,dublin,female,1980-01-01,,other,,,False,31.0,False,,,,,,,,1.0,4.0,4.0,1.0,1.0,4.0,3.0,,,,,,,,,,,,,,,,,dust_dublin,1,0,0,0,0,0,0,0
5410fcb908ad6ee3090e4fcb,5410fcb908ad6ee3090e4fcb,dublin,male,1980-01-01,,irish,,,False,31.0,False,,,,,,,,1.0,3.0,3.0,3.0,3.0,4.0,3.0,,,,,,,,,,,,,,,,,dust_dublin,1,0,1,1,1,0,0,1
5410fcb908ad6ee3090e4fcf,5410fcb908ad6ee3090e4fcf,dublin,female,1970-01-01,,irish,,,False,41.0,False,,,,,,,,4.0,5.0,3.0,1.0,3.0,4.0,1.0,,,,,,,,,,,,,,,,,dust_dublin,0,0,0,1,0,0,0,0
5410fd5d08ad6ee3090e5238,5410fd5d08ad6ee3090e5238,dublin,male,1970-01-01,,irish,,,True,41.0,False,,,,,,,,2.0,5.0,4.0,4.0,3.0,4.0,2.0,,,,,,,,,,,,,,,,,dust_dublin,1,1,0,0,1,0,0,0
5410fda408ad6ee3090e5333,5410fda408ad6ee3090e5333,dublin,female,1990-01-01,,other,,,False,21.0,False,,,,,,,,4.0,3.0,5.0,4.0,1.0,2.0,4.0,,,,,,,,,,,,,,,,,dust_dublin,0,0,0,0,0,1,0,0
5410fda508ad6ee3090e5341,5410fda508ad6ee3090e5341,dublin,female,1980-01-01,,irish,,,False,31.0,False,,,,,,,,1.0,4.0,5.0,1.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,dust_dublin,1,1,0,0,0,1,0,1
5410fda608ad6ee3090e5350,5410fda608ad6ee3090e5350,dublin,female,1980-01-01,,other,,,False,31.0,False,,,,,,,,3.0,3.0,4.0,1.0,2.0,3.0,1.0,,,,,,,,,,,,,,,,,dust_dublin,1,1,0,0,0,1,0,0
5410fda708ad6ee3090e5360,5410fda708ad6ee3090e5360,dublin,male,1970-01-01,,irish,,,False,41.0,False,,,,,,,,2.0,4.0,5.0,1.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,dust_dublin,1,0,1,0,0,1,0,1
5410fe3b08ad6ee3090e5585,5410fe3b08ad6ee3090e5585,dublin,male,1970-01-01,,irish,,,False,41.0,False,,,,,,,,2.0,4.0,4.0,1.0,4.0,3.0,4.0,,,,,,,,,,,,,,,,,dust_dublin,0,0,1,0,0,0,0,0
5410fec908ad6ee3090e57aa,5410fec908ad6ee3090e57aa,dublin,male,1970-01-01,,other,,,False,41.0,False,,,,,,,,2.0,3.0,4.0,1.0,2.0,3.0,2.0,,,,,,,,,,,,,,,,,dust_dublin,1,1,0,0,0,0,0,0
5410ffd908ad6ee3090e5b98,5410ffd908ad6ee3090e5b98,dublin,male,1954-01-01,False,irish,,1,False,57.0,False,,,,,,,,1.0,3.0,3.0,3.0,5.0,4.0,3.0,,,,,,,,,,,,,,,,,dust_dublin,1,0,0,1,1,1,1,0
5411005f08ad6ee3090e5db1,5411005f08ad6ee3090e5db1,dublin,female,1962-01-01,False,irish,,3,False,49.0,False,,,,,,,,1.0,4.0,4.0,3.0,3.0,3.0,4.0,,,,,,,,,,,,,,,,,dust_dublin,0,0,0,0,0,1,0,0
5411006008ad6ee3090e5dbc,5411006008ad6ee3090e5dbc,dublin,female,1984-01-01,True,other,,3,False,27.0,False,,,,,,,,1.0,4.0,3.0,1.0,2.0,3.0,4.0,,,,,,,,,,,,,,,,,dust_dublin,1,0,0,0,0,0,0,0
5411006008ad6ee3090e5dc0,5411006008ad6ee3090e5dc0,dublin,male,1961-01-01,False,other,,1,False,50.0,False,,,,,,,,1.0,2.0,3.0,2.0,3.0,2.0,3.0,,,,,,,,,,,,,,,,,dust_dublin,1,0,0,0,0,1,0,0
5411015708ad6ee3090e617c,5411015708ad6ee3090e617c,dublin,male,1974-01-01,False,irish,,3,False,37.0,False,,,,,,,,2.0,3.0,4.0,4.0,3.0,4.0,1.0,,,,,,,,,,,,,,,,,dust_dublin,1,1,1,0,0,1,0,0
5411031108ad6ee3090e67f3,5411031108ad6ee3090e67f3,dublin,female,1999-01-01,True,irish,,2,False,12.0,False,,,,,,,,3.0,1.0,4.0,4.0,1.0,2.0,2.0,,,,,,,,,,,,,,,,,dust_dublin,0,0,0,0,0,1,0,0
541103e208ad6ee3090e6ac5,541103e208ad6ee3090e6ac5,dublin,female,2002-01-01,True,irish,,2,False,9.0,False,,,,,,,,1.0,5.0,5.0,1.0,4.0,2.0,4.0,,,,,,,,,,,,,,,,,dust_dublin,0,0,1,0,0,1,0,0
5411047808ad6ee3090e6cdf,5411047808ad6ee3090e6cdf,dublin,male,1988-01-01,True,other,,4,False,23.0,False,,,,,,,,1.0,4.0,5.0,3.0,3.0,3.0,3.0,,,,,,,,,,,,,,,,,dust_dublin,0,1,0,0,1,1,0,0
541104c108ad6ee3090e6de3,541104c108ad6ee3090e6de3,dublin,male,1957-01-01,True,irish,,2,False,54.0,False,,,,,,,,1.0,5.0,2.0,1.0,5.0,5.0,5.0,,,,,,,,,,,,,,,,,dust_dublin,1,0,0,0,0,0,0,0
541104c208ad6ee3090e6ded,541104c208ad6ee3090e6ded,dublin,male,1985-01-01,False,other,,2,False,26.0,False,,,,,,,,1.0,4.0,5.0,1.0,2.0,3.0,4.0,,,,,,,,,,,,,,,,,dust_dublin,1,0,0,0,1,0,0,0
541104c308ad6ee3090e6dfb,541104c308ad6ee3090e6dfb,dublin,male,1987-01-01,True,irish,,3,False,24.0,False,,,,,,,,1.0,4.0,4.0,1.0,3.0,3.0,2.0,,,,,,,,,,,,,,,,,dust_dublin,1,0,0,0,0,1,0,0
5411054e08ad6ee3090e6ff3,5411054e08ad6ee3090e6ff3,dublin,male,1948-01-01,False,irish,,2,False,63.0,False,,,,,,,,1.0,4.0,4.0,3.0,3.0,3.0,2.0,,,,,,,,,,,,,,,,,dust_dublin,0,0,1,1,1,0,0,0
541105e008ad6ee3090e720f,541105e008ad6ee3090e720f,dublin,male,1999-01-01,False,irish,,2,False,12.0,False,,,,,,,,1.0,5.0,3.0,1.0,3.0,3.0,3.0,,,,,,,,,,,,,,,,,dust_dublin,1,0,0,0,0,0,0,0
541105e008ad6ee3090e7218,541105e008ad6ee3090e7218,dublin,male,1990-01-01,False,irish,,2,False,21.0,False,,,,,,,,2.0,2.0,2.0,3.0,2.0,2.0,3.0,,,,,,,,,,,,,,,,,dust_dublin,1,0,0,0,0,0,0,0
5410f71408ad6ee3090e3aca,5410f71408ad6ee3090e3aca,dublin,male,1986-01-01,True,irish,,3,False,25.0,False,,,,,,,,,,1.0,,,,,,,,,,,,,3.0,3.0,4.0,2.0,3.0,4.0,4.0,3.0,dust_dublin,1,1,1,0,0,1,0,0
5410f8d908ad6ee3090e4117,5410f8d908ad6ee3090e4117,dublin,female,1986-01-01,False,irish,,3,False,25.0,False,,,,,,,,,,1.0,,,,,,,,,,,,,4.0,4.0,4.0,1.0,3.0,5.0,3.0,2.0,dust_dublin,1,0,0,0,0,1,0,0
5410f8da08ad6ee3090e4134,5410f8da08ad6ee3090e4134,dublin,female,1970-01-01,False,irish,,1,False,41.0,False,,,,,,,,,,1.0,,,,,,,,,,,,,3.0,1.0,4.0,3.0,4.0,3.0,2.0,1.0,dust_dublin,0,0,0,0,0,1,0,0
5410f93408ad6ee3090e426f,5410f93408ad6ee3090e426f,dublin,female,1968-01-01,False,irish,,3,False,43.0,False,,,,,,,,,,1.0,,,,,,,,,,,,,2.0,3.0,4.0,1.0,4.0,4.0,3.0,2.0,dust_dublin,1,0,1,1,1,1,1,0
5410fa8808ad6ee3090e4771,5410fa8808ad6ee3090e4771,dublin,male,1977-01-01,False,irish,,2,False,34.0,False,,,,,,,,,,3.0,,,,,,,,,,,,,2.0,2.0,3.0,2.0,4.0,2.0,4.0,4.0,dust_dublin,1,0,1,1,0,1,0,0
5410fea008ad6ee3090e571b,5410fea008ad6ee3090e571b,dublin,male,1972-01-01,False,other,,1,False,39.0,False,,,,,,,,,,1.0,,,,,,,,,,,,,3.0,3.0,3.0,1.0,4.0,3.0,4.0,2.0,dust_dublin,1,1,1,0,1,1,0,0
5410ff2d08ad6ee3090e5949,5410ff2d08ad6ee3090e5949,dublin,male,1984-01-01,True,irish,,4,False,27.0,False,,,,,,,,,,1.0,,,,,,,,,,,,,4.0,5.0,5.0,1.0,4.0,4.0,4.0,4.0,dust_dublin,1,0,0,0,0,0,0,0
5411020c08ad6ee3090e6446,5411020c08ad6ee3090e6446,dublin,female,1987-01-01,True,irish,,3,False,24.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dust_dublin,1,0,1,0,0,1,0,0
5411024b08ad6ee3090e652c,5411024b08ad6ee3090e652c,dublin,male,1987-01-01,True,irish,,3,False,24.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dust_dublin,1,0,0,0,1,0,0,1
541103ac08ad6ee3090e69fb,541103ac08ad6ee3090e69fb,dublin,female,1972-01-01,False,other,,3,False,39.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dust_dublin,0,0,0,0,0,0,1,0
541103ad08ad6ee3090e6a03,541103ad08ad6ee3090e6a03,dublin,male,1996-01-01,False,irish,,3,False,15.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dust_dublin,0,0,0,0,0,1,0,0
541105bb08ad6ee3090e7184,541105bb08ad6ee3090e7184,dublin,male,1979-01-01,True,irish,,4,False,32.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dust_dublin,1,1,1,0,0,1,0,1
541105bc08ad6ee3090e7197,541105bc08ad6ee3090e7197,dublin,female,1986-01-01,False,irish,,3,False,25.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dust_dublin,0,0,1,0,0,0,0,0
