,_id,metadata.location,metadata.language,answers.nationality,answers.age,answers.sex,answers.hearing_impairments,answers.personality.trusting,answers.personality.artistic,answers.personality.imagination,answers.personality.reserved,answers.personality.outgoing,answers.personality.lazy,answers.personality.stress,answers.personality.nervous,answers.personality.fault,answers.personality.thorough,answers.musical_expertise,answers.concentration,critical_reaction,control_power,control_like_dislike,control_tension,control_engagement,control_activity,control_positivity,control_familiarity,song_power,song_like_dislike,song_tension,song_engagement,song_activity,song_positivity,song_familiarity,answers.dob,answers.musical_background,answers.visual_impairments,control_chillsshiversthrills,song_chillsshiversthrills,control_transcendence,control_sadness,control_wonder,control_joyfulactivation,control_tenderness,control_peacefulness,control_nostalgia,song_transcendence,song_sadness,song_wonder,song_joyfulactivation,song_tenderness,song_peacefulness,song_nostalgia,song,answers.musicpref.dance,answers.musicpref.rock,answers.musicpref.jazz,answers.musicpref.pop,answers.musicpref.classical,answers.musicpref.hiphop,answers.musicpref.folk,answers.musicpref.traditional_irish,answers.musicpref.hip_hop,answers.musicpref.world
570eb78b83a73509d0e03eef,570eb78b83a73509d0e03eef,taipei_city,en,taiwanese,14.0,female,False,4.0,1.0,5.0,2.0,5.0,5.0,4.0,2.0,4.0,2.0,1,5.0,True,3.0,3,5,3,3,3,-1,2.0,5.0,5.0,5.0,4.0,4.0,1.0,,,,,,,,,,,,,,,,,,,,into_dust,0,0,0,1,0,0,0,0,0,0
570eb73e83a73509d0e025e5,570eb73e83a73509d0e025e5,taipei_city,en,taiwanese,9.0,male,False,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5,1.0,True,5.0,5,5,1,5,5,-1,1.0,3.0,5.0,1.0,1.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,into_dust,0,1,0,0,0,0,0,0,0,0
570eb79d83a73509d0e044a7,570eb79d83a73509d0e044a7,taipei_city,zh_TW,taiwanese,13.0,male,False,4.0,2.0,4.0,3.0,3.0,5.0,1.0,4.0,4.0,1.0,2,5.0,True,4.0,2,3,4,2,3,-1,1.0,5.0,5.0,5.0,5.0,5.0,1.0,,,,,,,,,,,,,,,,,,,,into_dust,1,1,1,1,1,1,1,0,0,1
570eb7be83a73509d0e04ed5,570eb7be83a73509d0e04ed5,taipei_city,zh_TW,taiwanese,9.0,male,False,3.0,2.0,3.0,3.0,2.0,2.0,3.0,2.0,2.0,3.0,1,4.0,True,3.0,3,4,3,4,3,-1,3.0,4.0,5.0,4.0,4.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,into_dust,0,0,0,0,1,0,0,0,0,0
570eb72083a73509d0e01bfe,570eb72083a73509d0e01bfe,taipei_city,en,taiwanese,11.0,female,False,2.0,4.0,3.0,1.0,5.0,5.0,5.0,2.0,3.0,1.0,5,5.0,True,4.0,1,4,4,4,4,-1,5.0,5.0,5.0,5.0,2.0,5.0,1.0,,,,,,,,,,,,,,,,,,,,into_dust,0,0,0,1,0,0,0,0,0,0
570eb75b83a73509d0e02fa8,570eb75b83a73509d0e02fa8,taipei_city,zh_TW,taiwanese,10.0,female,False,5.0,1.0,5.0,2.0,2.0,5.0,2.0,3.0,1.0,2.0,2,2.0,True,4.0,1,2,2,4,1,-1,4.0,1.0,1.0,3.0,3.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,into_dust,0,0,0,1,0,0,0,0,0,0
570eb7a983a73509d0e04838,570eb7a983a73509d0e04838,taipei_city,zh_TW,taiwanese,15.0,female,False,5.0,2.0,4.0,3.0,4.0,3.0,5.0,3.0,2.0,5.0,3,5.0,True,4.0,4,5,3,3,3,-1,4.0,5.0,5.0,4.0,4.0,4.0,4.0,,,,,,,,,,,,,,,,,,,,into_dust,0,1,0,1,0,1,0,0,0,1
570eb72483a73509d0e01d6d,570eb72483a73509d0e01d6d,taipei_city,en,taiwanese,14.0,male,False,5.0,2.0,5.0,2.0,5.0,4.0,5.0,1.0,1.0,5.0,5,5.0,True,3.0,1,1,3,1,1,-1,1.0,5.0,5.0,5.0,4.0,5.0,1.0,,,,,,,,,,,,,,,,,,,,into_dust,0,0,0,1,1,0,0,0,0,0
570eb74783a73509d0e028b2,570eb74783a73509d0e028b2,taipei_city,en,taiwanese,17.0,female,False,4.0,5.0,4.0,4.0,2.0,5.0,2.0,5.0,4.0,1.0,3,2.0,True,4.0,4,4,2,3,4,-1,2.0,5.0,5.0,4.0,2.0,4.0,1.0,,,,,,,,,,,,,,,,,,,,into_dust,0,0,0,1,0,0,0,0,0,0
570eb75783a73509d0e02e26,570eb75783a73509d0e02e26,taipei_city,en,taiwanese,15.0,male,False,4.0,4.0,5.0,4.0,5.0,2.0,4.0,3.0,1.0,5.0,5,5.0,True,4.0,3,3,3,4,3,-1,4.0,5.0,5.0,4.0,4.0,3.0,3.0,,,,,,,,,,,,,,,,,,,,into_dust,0,0,0,1,0,0,0,0,0,0
570eb78883a73509d0e03e35,570eb78883a73509d0e03e35,taipei_city,en,taiwanese,9.0,male,False,5.0,1.0,5.0,1.0,5.0,1.0,5.0,5.0,1.0,4.0,3,4.0,True,5.0,5,4,5,4,5,-1,5.0,5.0,5.0,5.0,5.0,5.0,4.0,,,,,,,,,,,,,,,,,,,,into_dust,0,0,0,0,1,0,0,0,0,0
570eb78583a73509d0e03d1e,570eb78583a73509d0e03d1e,taipei_city,en,taiwanese,15.0,male,False,2.0,4.0,5.0,3.0,3.0,4.0,2.0,4.0,3.0,2.0,4,4.0,True,4.0,5,3,4,3,4,-1,3.0,5.0,4.0,5.0,4.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,into_dust,0,0,0,1,1,0,0,0,0,0
570eb75483a73509d0e02d21,570eb75483a73509d0e02d21,taipei_city,zh_TW,taiwanese,10.0,female,False,4.0,2.0,2.0,1.0,5.0,1.0,3.0,1.0,1.0,5.0,5,3.0,True,2.0,2,1,4,3,3,-1,3.0,3.0,4.0,5.0,4.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,into_dust,0,0,0,1,0,0,0,0,0,0
570eb77c83a73509d0e03a93,570eb77c83a73509d0e03a93,taipei_city,en,taiwanese,10.0,female,False,5.0,1.0,5.0,1.0,4.0,2.0,3.0,3.0,1.0,3.0,3,3.0,True,2.0,3,5,3,3,5,-1,1.0,3.0,3.0,1.0,2.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,into_dust,0,0,0,0,1,0,0,0,0,0
570eb77983a73509d0e039a7,570eb77983a73509d0e039a7,taipei_city,en,taiwanese,30.0,female,False,4.0,2.0,4.0,2.0,3.0,4.0,2.0,5.0,1.0,2.0,2,2.0,True,3.0,2,4,2,2,2,-1,3.0,3.0,3.0,3.0,3.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,into_dust,0,0,0,1,0,0,0,0,0,0
570eb74283a73509d0e0271d,570eb74283a73509d0e0271d,taipei_city,en,taiwanese,9.0,female,False,5.0,1.0,5.0,5.0,3.0,1.0,5.0,5.0,1.0,3.0,2,5.0,True,2.0,5,5,5,5,5,-1,5.0,5.0,5.0,5.0,1.0,5.0,1.0,,,,,,,,,,,,,,,,,,,,into_dust,0,0,0,1,0,0,0,0,0,0
570eb78383a73509d0e03ca4,570eb78383a73509d0e03ca4,taipei_city,en,taiwanese,10.0,male,False,3.0,2.0,4.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,2,4.0,True,3.0,1,1,1,1,1,-1,5.0,4.0,5.0,4.0,4.0,5.0,1.0,,,,,,,,,,,,,,,,,,,,into_dust,0,0,0,1,0,0,0,0,0,0
570eb74683a73509d0e02899,570eb74683a73509d0e02899,taipei_city,en,taiwanese,15.0,male,False,4.0,2.0,4.0,2.0,4.0,4.0,5.0,4.0,3.0,3.0,2,5.0,True,3.0,3,5,4,2,2,-1,4.0,5.0,5.0,5.0,4.0,4.0,1.0,,,,,,,,,,,,,,,,,,,,into_dust,0,0,0,1,0,0,0,0,0,0
570eb77a83a73509d0e039dc,570eb77a83a73509d0e039dc,taipei_city,en,taiwanese,30.0,male,False,4.0,3.0,2.0,4.0,4.0,4.0,3.0,4.0,4.0,2.0,2,3.0,True,4.0,4,4,3,5,4,-1,4.0,5.0,4.0,4.0,5.0,5.0,2.0,,,,,,,,,,,,,,,,,,,,into_dust,0,0,0,1,0,0,0,0,0,0
570eb72383a73509d0e01cff,570eb72383a73509d0e01cff,taichung_city,en,taiwanese,18.0,female,False,4.0,1.0,5.0,4.0,2.0,4.0,5.0,4.0,4.0,4.0,1,4.0,True,2.0,3,4,2,3,3,-1,5.0,5.0,5.0,5.0,4.0,5.0,1.0,,,,,,,,,,,,,,,,,,,,into_dust,0,0,0,1,0,0,0,0,0,0
570eb74a83a73509d0e029f0,570eb74a83a73509d0e029f0,taichung_city,en,taiwanese,27.0,female,False,4.0,2.0,4.0,4.0,3.0,4.0,2.0,5.0,2.0,3.0,3,4.0,True,4.0,2,3,2,2,3,-1,3.0,4.0,4.0,4.0,3.0,4.0,1.0,,,,,,,,,,,,,,,,,,,,into_dust,0,1,1,0,1,0,0,0,0,1
570eb77e83a73509d0e03b4c,570eb77e83a73509d0e03b4c,taichung_city,zh_TW,taiwanese,21.0,male,False,4.0,2.0,4.0,4.0,2.0,4.0,4.0,4.0,3.0,3.0,3,4.0,True,4.0,3,3,4,2,3,-1,4.0,4.0,4.0,5.0,4.0,4.0,1.0,,,,,,,,,,,,,,,,,,,,into_dust,0,0,0,0,0,0,0,0,0,1
570eb78b83a73509d0e03ee5,570eb78b83a73509d0e03ee5,taichung_city,en,taiwanese,19.0,female,False,4.0,2.0,5.0,4.0,4.0,3.0,4.0,5.0,2.0,4.0,2,3.0,True,4.0,4,4,4,3,4,-1,5.0,5.0,5.0,5.0,4.0,5.0,1.0,,,,,,,,,,,,,,,,,,,,into_dust,0,0,0,1,1,0,0,0,0,0
570eb7b883a73509d0e04cf3,570eb7b883a73509d0e04cf3,taichung_city,zh_TW,taiwanese,51.0,male,False,1.0,3.0,3.0,1.0,3.0,1.0,3.0,3.0,4.0,4.0,1,5.0,True,1.0,1,1,5,2,1,-1,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,,,,,,,,,,,,,,,,,,,into_dust,0,0,0,1,0,0,0,0,0,0
541102ae08ad6ee3090e6643,541102ae08ad6ee3090e6643,dublin,,irish,21.0,female,False,,,,,,,,,,,,,True,,,,,,,,,3.0,4.0,2.0,4.0,2.0,3.0,1990-01-01,,,,1.0,,,,,,,,,,,,,,,into_dust,0,0,0,0,1,0,0,0,0,0
541102b008ad6ee3090e666c,541102b008ad6ee3090e666c,dublin,,irish,21.0,male,False,,,,,,,,,,,,,True,,,,,,,,,3.0,2.0,3.0,4.0,4.0,2.0,1990-01-01,,,,5.0,,,,,,,,,,,,,,,into_dust,0,1,0,0,0,0,0,0,0,0
5411036308ad6ee3090e68ff,5411036308ad6ee3090e68ff,dublin,,irish,31.0,male,False,,,,,,,,,,,,,True,,,,,,,,,4.0,4.0,4.0,4.0,4.0,1.0,1980-01-01,,,,1.0,,,,,,,,,,,,,,,into_dust,0,1,1,0,1,0,0,0,0,1
5411041308ad6ee3090e6b77,5411041308ad6ee3090e6b77,dublin,,other,31.0,male,False,,,,,,,,,,,,,True,,,,,,,,,1.0,2.0,1.0,4.0,4.0,4.0,1980-01-01,,,,2.0,,,,,,,,,,,,,,,into_dust,0,1,0,1,1,0,0,0,1,1
5411051908ad6ee3090e6f34,5411051908ad6ee3090e6f34,dublin,,other,21.0,male,False,,,,,,,,,,,,,True,,,,,,,,,2.0,5.0,2.0,5.0,4.0,1.0,1990-01-01,,,,1.0,,,,,,,,,,,,,,,into_dust,0,1,0,0,0,0,0,0,1,0
5411059908ad6ee3090e70e7,5411059908ad6ee3090e70e7,dublin,,irish,41.0,female,False,,,,,,,,,,,,,True,,,,,,,,,2.0,2.0,2.0,4.0,4.0,5.0,1970-01-01,,,,2.0,,,,,,,,,,,,,,,into_dust,1,1,1,1,1,0,0,1,0,0
5411059a08ad6ee3090e70fb,5411059a08ad6ee3090e70fb,dublin,,irish,31.0,female,False,,,,,,,,,,,,,True,,,,,,,,,1.0,5.0,1.0,3.0,4.0,5.0,1980-01-01,,,,5.0,,,,,,,,,,,,,,,into_dust,1,1,0,0,1,0,0,0,0,0
5411059b08ad6ee3090e7107,5411059b08ad6ee3090e7107,dublin,,irish,21.0,male,False,,,,,,,,,,,,,True,,,,,,,,,2.0,4.0,2.0,3.0,3.0,1.0,1990-01-01,,,,2.0,,,,,,,,,,,,,,,into_dust,0,1,0,0,0,0,0,0,0,0
5411061e08ad6ee3090e72f0,5411061e08ad6ee3090e72f0,dublin,,irish,21.0,male,False,,,,,,,,,,,,,True,,,,,,,,,2.0,4.0,3.0,3.0,2.0,3.0,1990-01-01,,,,1.0,,,,,,,,,,,,,,,into_dust,0,1,0,0,0,0,0,0,0,0
5411061f08ad6ee3090e72ff,5411061f08ad6ee3090e72ff,dublin,,irish,21.0,male,False,,,,,,,,,,,,,True,,,,,,,,,2.0,4.0,3.0,2.0,1.0,4.0,1990-01-01,,,,1.0,,,,,,,,,,,,,,,into_dust,1,1,0,1,0,0,0,0,1,0
5411062008ad6ee3090e730c,5411062008ad6ee3090e730c,dublin,,other,31.0,female,False,,,,,,,,,,,,,True,,,,,,,,,1.0,4.0,2.0,3.0,2.0,3.0,1980-01-01,,,,2.0,,,,,,,,,,,,,,,into_dust,1,1,0,1,0,0,0,0,0,1
5411076d08ad6ee3090e7777,5411076d08ad6ee3090e7777,dublin,,other,41.0,female,False,,,,,,,,,,,,,True,,,,,,,,,2.0,3.0,2.0,4.0,1.0,1.0,1970-01-01,,,,4.0,,,,,,,,,,,,,,,into_dust,1,0,0,1,1,0,0,0,0,0
5410f7b408ad6ee3090e3d12,5410f7b408ad6ee3090e3d12,dublin,,irish,21.0,female,False,,,,,,,,,,,,,True,,,,,,,,,1.0,4.0,2.0,3.0,2.0,4.0,1990-01-01,,,,1.0,,,,,,,,,,,,,,,into_dust,0,0,0,1,0,0,0,0,1,0
5410f7b508ad6ee3090e3d2b,5410f7b508ad6ee3090e3d2b,dublin,,irish,81.0,male,True,,,,,,,,,,,,,True,,,,,,,,,3.0,4.0,3.0,3.0,3.0,1.0,1930-01-01,,,,1.0,,,,,,,,,,,,,,,into_dust,0,0,1,0,1,0,0,0,0,0
5410f7b608ad6ee3090e3d34,5410f7b608ad6ee3090e3d34,dublin,,other,31.0,male,False,,,,,,,,,,,,,True,,,,,,,,,3.0,2.0,4.0,3.0,4.0,2.0,1980-01-01,,,,3.0,,,,,,,,,,,,,,,into_dust,0,1,0,0,0,0,0,0,0,0
5410f7b608ad6ee3090e3d37,5410f7b608ad6ee3090e3d37,dublin,,irish,21.0,female,False,,,,,,,,,,,,,True,,,,,,,,,3.0,5.0,4.0,5.0,3.0,1.0,1990-01-01,,,,1.0,,,,,,,,,,,,,,,into_dust,0,1,1,1,1,0,0,0,1,1
5410f91308ad6ee3090e41ea,5410f91308ad6ee3090e41ea,dublin,,irish,51.0,male,False,,,,,,,,,,,,,True,,,,,,,,,1.0,5.0,1.0,5.0,1.0,1.0,1960-01-01,,,,1.0,,,,,,,,,,,,,,,into_dust,0,1,0,0,0,0,0,1,0,0
5410fab208ad6ee3090e4807,5410fab208ad6ee3090e4807,dublin,,irish,31.0,female,False,,,,,,,,,,,,,True,,,,,,,,,3.0,5.0,2.0,4.0,3.0,1.0,1980-01-01,,,,1.0,,,,,,,,,,,,,,,into_dust,1,1,0,1,0,0,0,0,0,0
5410fc0508ad6ee3090e4cf8,5410fc0508ad6ee3090e4cf8,dublin,,irish,11.0,male,True,,,,,,,,,,,,,True,,,,,,,,,1.0,3.0,1.0,1.0,2.0,3.0,2000-01-01,,,,1.0,,,,,,,,,,,,,,,into_dust,0,1,0,1,1,0,0,0,0,1
5410fcb808ad6ee3090e4fb9,5410fcb808ad6ee3090e4fb9,dublin,,irish,11.0,male,False,,,,,,,,,,,,,True,,,,,,,,,4.0,4.0,2.0,4.0,3.0,1.0,2000-01-01,,,,2.0,,,,,,,,,,,,,,,into_dust,0,1,0,1,0,0,0,0,1,0
5410fe3c08ad6ee3090e55a0,5410fe3c08ad6ee3090e55a0,dublin,,other,61.0,male,False,,,,,,,,,,,,,True,,,,,,,,,3.0,4.0,4.0,3.0,3.0,1.0,1950-01-01,,,,1.0,,,,,,,,,,,,,,,into_dust,0,1,0,1,0,0,0,0,0,1
5410fec908ad6ee3090e579f,5410fec908ad6ee3090e579f,dublin,,irish,21.0,male,False,,,,,,,,,,,,,True,,,,,,,,,2.0,5.0,1.0,3.0,4.0,3.0,1990-01-01,,,,2.0,,,,,,,,,,,,,,,into_dust,0,1,1,0,1,0,0,0,0,0
5410ffd808ad6ee3090e5b8c,5410ffd808ad6ee3090e5b8c,dublin,,irish,11.0,male,False,,,,,,,,,,,3,,True,,,,,,,,,4.0,3.0,4.0,4.0,3.0,1.0,2000-01-01,True,,,1.0,,,,,,,,,,,,,,,into_dust,0,1,0,0,0,0,0,0,0,0
5410ffda08ad6ee3090e5bab,5410ffda08ad6ee3090e5bab,dublin,,other,25.0,female,False,,,,,,,,,,,3,,True,,,,,,,,,4.0,4.0,4.0,4.0,3.0,1.0,1986-01-01,False,,,1.0,,,,,,,,,,,,,,,into_dust,0,0,0,1,0,0,0,0,0,0
541100f808ad6ee3090e5ff6,541100f808ad6ee3090e5ff6,dublin,,irish,14.0,male,False,,,,,,,,,,,2,,True,,,,,,,,,1.0,5.0,1.0,4.0,1.0,2.0,1997-01-01,False,,,3.0,,,,,,,,,,,,,,,into_dust,0,1,0,0,0,0,0,0,0,0
