_id,location,language,nationality,age,sex,hearing_impairments,personality_trusting,personality_artistic,personality_imagination,personality_reserved,personality_outgoing,personality_lazy,personality_stress,personality_nervous,personality_fault,personality_thorough,musical_expertise,concentration,critical_reaction,control_power,control_like_dislike,control_tension,control_engagement,control_activity,control_positivity,control_familiarity,song_power,song_like_dislike,song_tension,song_engagement,song_activity,song_positivity,song_familiarity,song,musicpref_folk,musicpref_hiphop,musicpref_jazz,musicpref_rock,musicpref_dance,musicpref_classical,musicpref_pop,musicpref_world
570eb78b83a73509d0e03eef,taipei_city,en,taiwanese,14,female,False,4,1,5,2,5,5,4,2,4,2,1,5,True,3,3,5,3,3,3,-1,2,5,5,5,4,4,1,dust_taiwan,0,0,0,0,0,0,1,0
570eb73e83a73509d0e025e5,taipei_city,en,taiwanese,9,male,False,5,5,5,5,5,5,5,5,5,5,5,1,True,5,5,5,1,5,5,-1,1,3,5,1,1,3,1,dust_taiwan,0,0,0,1,0,0,0,0
570eb79d83a73509d0e044a7,taipei_city,zh_TW,taiwanese,13,male,False,4,2,4,3,3,5,1,4,4,1,2,5,True,4,2,3,4,2,3,-1,1,5,5,5,5,5,1,dust_taiwan,1,1,1,1,1,1,1,1
570eb7be83a73509d0e04ed5,taipei_city,zh_TW,taiwanese,9,male,False,3,2,3,3,2,2,3,2,2,3,1,4,True,3,3,4,3,4,3,-1,3,4,5,4,4,3,1,dust_taiwan,0,0,0,0,0,1,0,0
570eb72083a73509d0e01bfe,taipei_city,en,taiwanese,11,female,False,2,4,3,1,5,5,5,2,3,1,5,5,True,4,1,4,4,4,4,-1,5,5,5,5,2,5,1,dust_taiwan,0,0,0,0,0,0,1,0
570eb75b83a73509d0e02fa8,taipei_city,zh_TW,taiwanese,10,female,False,5,1,5,2,2,5,2,3,1,2,2,2,True,4,1,2,2,4,1,-1,4,1,1,3,3,1,1,dust_taiwan,0,0,0,0,0,0,1,0
570eb7a983a73509d0e04838,taipei_city,zh_TW,taiwanese,15,female,False,5,2,4,3,4,3,5,3,2,5,3,5,True,4,4,5,3,3,3,-1,4,5,5,4,4,4,4,dust_taiwan,0,1,0,1,0,0,1,1
570eb72483a73509d0e01d6d,taipei_city,en,taiwanese,14,male,False,5,2,5,2,5,4,5,1,1,5,5,5,True,3,1,1,3,1,1,-1,1,5,5,5,4,5,1,dust_taiwan,0,0,0,0,0,1,1,0
570eb74783a73509d0e028b2,taipei_city,en,taiwanese,17,female,False,4,5,4,4,2,5,2,5,4,1,3,2,True,4,4,4,2,3,4,-1,2,5,5,4,2,4,1,dust_taiwan,0,0,0,0,0,0,1,0
570eb75783a73509d0e02e26,taipei_city,en,taiwanese,15,male,False,4,4,5,4,5,2,4,3,1,5,5,5,True,4,3,3,3,4,3,-1,4,5,5,4,4,3,3,dust_taiwan,0,0,0,0,0,0,1,0
570eb78883a73509d0e03e35,taipei_city,en,taiwanese,9,male,False,5,1,5,1,5,1,5,5,1,4,3,4,True,5,5,4,5,4,5,-1,5,5,5,5,5,5,4,dust_taiwan,0,0,0,0,0,1,0,0
570eb78583a73509d0e03d1e,taipei_city,en,taiwanese,15,male,False,2,4,5,3,3,4,2,4,3,2,4,4,True,4,5,3,4,3,4,-1,3,5,4,5,4,2,1,dust_taiwan,0,0,0,0,0,1,1,0
570eb7c183a73509d0e04fc1,taipei_city,en,taiwanese,41,male,False,4,2,4,4,2,4,3,4,3,4,3,2,True,3,1,3,1,2,3,-1,1,4,3,4,3,4,1,dust_taiwan,0,0,1,1,1,1,1,0
570eb75483a73509d0e02d21,taipei_city,zh_TW,taiwanese,10,female,False,4,2,2,1,5,1,3,1,1,5,5,3,True,2,2,1,4,3,3,-1,3,3,4,5,4,3,1,dust_taiwan,0,0,0,0,0,0,1,0
570eb77c83a73509d0e03a93,taipei_city,en,taiwanese,10,female,False,5,1,5,1,4,2,3,3,1,3,3,3,True,2,3,5,3,3,5,-1,1,3,3,1,2,3,1,dust_taiwan,0,0,0,0,0,1,0,0
570eb77983a73509d0e039a7,taipei_city,en,taiwanese,30,female,False,4,2,4,2,3,4,2,5,1,2,2,2,True,3,2,4,2,2,2,-1,3,3,3,3,3,2,1,dust_taiwan,0,0,0,0,0,0,1,0
570eb74283a73509d0e0271d,taipei_city,en,taiwanese,9,female,False,5,1,5,5,3,1,5,5,1,3,2,5,True,2,5,5,5,5,5,-1,5,5,5,5,1,5,1,dust_taiwan,0,0,0,0,0,0,1,0
570eb78383a73509d0e03ca4,taipei_city,en,taiwanese,10,male,False,3,2,4,3,3,4,3,3,3,3,2,4,True,3,1,1,1,1,1,-1,5,4,5,4,4,5,1,dust_taiwan,0,0,0,0,0,0,1,0
570eb76f83a73509d0e0364a,taipei_city,zh_TW,american,18,female,False,4,1,5,4,5,4,2,5,4,3,2,4,True,4,3,3,3,3,3,-1,4,5,4,5,4,3,1,dust_taiwan,0,1,0,0,1,0,1,0
570eb74683a73509d0e02899,taipei_city,en,taiwanese,15,male,False,4,2,4,2,4,4,5,4,3,3,2,5,True,3,3,5,4,2,2,-1,4,5,5,5,4,4,1,dust_taiwan,0,0,0,0,0,0,1,0
570eb77a83a73509d0e039dc,taipei_city,en,taiwanese,30,male,False,4,3,2,4,4,4,3,4,4,2,2,3,True,4,4,4,3,5,4,-1,4,5,4,4,5,5,2,dust_taiwan,0,0,0,0,0,0,1,0
570eb72383a73509d0e01cff,taichung_city,en,taiwanese,18,female,False,4,1,5,4,2,4,5,4,4,4,1,4,True,2,3,4,2,3,3,-1,5,5,5,5,4,5,1,dust_taiwan,0,0,0,0,0,0,1,0
570eb74a83a73509d0e029f0,taichung_city,en,taiwanese,27,female,False,4,2,4,4,3,4,2,5,2,3,3,4,True,4,2,3,2,2,3,-1,3,4,4,4,3,4,1,dust_taiwan,0,0,1,1,0,1,0,1
570eb77e83a73509d0e03b4c,taichung_city,zh_TW,taiwanese,21,male,False,4,2,4,4,2,4,4,4,3,3,3,4,True,4,3,3,4,2,3,-1,4,4,4,5,4,4,1,dust_taiwan,0,0,0,0,0,0,0,1
570eb76483a73509d0e0327e,taichung_city,en,taiwanese,29,female,False,4,1,4,4,2,5,3,4,3,2,4,5,True,4,3,4,4,2,3,-1,3,4,4,5,2,3,1,dust_taiwan,0,0,0,1,0,0,1,0
570eb78b83a73509d0e03ee5,taichung_city,en,taiwanese,19,female,False,4,2,5,4,4,3,4,5,2,4,2,3,True,4,4,4,4,3,4,-1,5,5,5,5,4,5,1,dust_taiwan,0,0,0,0,0,1,1,0
570eb76683a73509d0e0332d,taichung_city,zh_TW,taiwanese,36,female,False,4,3,4,3,4,3,2,5,2,3,1,4,True,3,3,3,1,3,3,-1,3,4,4,3,3,3,1,dust_taiwan,0,0,0,0,0,0,1,0
570eb7b883a73509d0e04cf3,taichung_city,zh_TW,taiwanese,51,male,False,1,3,3,1,3,1,3,3,4,4,1,5,True,1,1,1,5,2,1,-1,5,5,5,5,5,5,5,dust_taiwan,0,0,0,0,0,0,1,0
570eb79883a73509d0e04330,taichung_city,en,taiwanese,16,male,False,4,4,4,2,5,5,4,5,4,4,3,4,True,4,4,4,4,4,3,-1,2,4,4,5,4,2,4,dust_taiwan,0,0,0,0,0,0,1,0
570eb76c83a73509d0e03564,taipei_city,en,taiwanese,14,female,False,2,1,2,2,4,2,4,2,2,4,4,5,True,1,1,1,2,1,1,-1,5,5,5,5,3,5,1,dust_taiwan,0,0,0,0,0,1,0,0
570eb74283a73509d0e0275d,taipei_city,zh_TW,taiwanese,10,male,False,4,4,5,3,2,4,3,4,2,3,2,4,True,2,1,2,2,1,1,-1,5,4,5,5,5,5,2,dust_taiwan,0,0,0,1,0,1,1,0
570eb77c83a73509d0e03a6b,taipei_city,en,taiwanese,11,male,False,5,5,5,5,5,5,5,5,5,5,4,5,True,1,2,5,2,3,4,-1,5,5,5,5,4,5,1,dust_taiwan,0,0,0,0,0,0,1,0
570eb78183a73509d0e03c12,taipei_city,en,taiwanese,46,male,False,4,3,4,4,1,4,2,5,4,2,1,4,False,2,2,3,2,3,2,-1,3,4,4,3,2,2,2,dust_taiwan,0,0,0,1,0,1,1,0
570eb73983a73509d0e02409,taipei_city,en,taiwanese,19,male,False,4,3,3,4,2,4,2,4,4,3,3,4,False,3,3,3,4,3,3,-1,3,4,4,5,4,4,3,dust_taiwan,0,0,0,0,0,0,1,0
570eb75e83a73509d0e030c4,taipei_city,en,taiwanese,18,female,False,4,1,4,2,3,4,4,3,3,2,2,4,False,4,1,2,1,2,2,-1,3,5,5,5,4,4,1,dust_taiwan,0,0,0,1,0,0,1,0
570eb78183a73509d0e03c0b,taipei_city,zh_TW,taiwanese,25,female,False,3,3,3,3,3,3,3,3,3,3,3,3,False,3,2,4,3,4,4,-1,4,5,5,5,4,5,3,dust_taiwan,0,0,0,0,0,0,1,0
570eb7b883a73509d0e04d15,taipei_city,en,taiwanese,20,male,True,5,1,5,2,5,4,5,2,1,2,4,5,False,5,2,3,4,3,3,-1,1,5,5,5,4,5,1,dust_taiwan,0,0,0,0,0,0,1,0
570eb74b83a73509d0e02a0f,taipei_city,en,taiwanese,21,female,False,3,3,3,2,2,3,2,4,4,3,2,5,False,2,3,3,4,4,3,-1,1,5,5,5,4,4,1,dust_taiwan,0,0,0,0,0,1,1,0
570eb75083a73509d0e02bb7,taipei_city,zh_TW,taiwanese,31,female,False,2,1,4,5,1,4,2,5,5,4,3,1,False,3,3,4,1,4,2,-1,2,4,4,3,4,3,1,dust_taiwan,0,0,0,1,0,0,1,0
570eb78883a73509d0e03df2,taipei_city,en,taiwanese,17,female,False,4,1,5,3,3,4,4,4,4,4,4,4,False,5,3,3,4,3,3,-1,5,5,4,5,3,3,1,dust_taiwan,0,0,0,0,0,1,1,0
570eb72e83a73509d0e020b7,taipei_city,en,taiwanese,13,male,False,5,4,2,2,2,5,5,2,5,4,1,4,False,2,5,5,4,3,5,-1,5,5,4,5,4,5,1,dust_taiwan,0,0,0,0,0,0,1,0
570eb72683a73509d0e01e07,taipei_city,zh_TW,taiwanese,11,male,False,1,5,5,5,1,1,1,5,3,5,5,1,False,1,1,1,1,5,1,-1,5,5,5,5,1,5,1,dust_taiwan,0,0,0,0,0,0,1,0
570eb7b483a73509d0e04b9b,taipei_city,en,portuguese,24,male,False,3,1,5,5,3,5,4,5,4,2,4,5,False,2,1,2,1,1,2,-1,5,5,5,5,5,5,1,dust_taiwan,1,1,0,1,1,0,1,0
570eb77983a73509d0e03979,taipei_city,en,taiwanese,16,female,False,3,3,3,3,3,3,3,3,3,3,3,4,False,3,3,3,2,3,3,-1,4,4,4,4,4,4,3,dust_taiwan,1,1,0,1,0,0,0,0
570eb7a983a73509d0e04847,taipei_city,en,taiwanese,14,male,False,4,2,4,2,4,3,2,4,3,3,3,5,False,2,5,4,5,2,4,-1,3,4,4,4,4,5,1,dust_taiwan,0,0,0,0,0,0,1,0
570eb73283a73509d0e021e5,taipei_city,en,taiwanese,19,male,False,2,4,2,5,2,5,4,4,5,5,3,5,False,4,4,4,4,3,3,-1,5,5,5,5,5,5,1,dust_taiwan,0,0,0,0,0,0,1,0
570eb79483a73509d0e041b3,taipei_city,zh_TW,taiwanese,19,female,False,4,1,2,5,1,4,2,4,2,2,3,4,False,4,2,3,2,3,2,-1,4,4,4,4,4,4,4,dust_taiwan,0,0,0,0,0,1,1,0
570eb79683a73509d0e0424d,taipei_city,en,taiwanese,52,male,False,4,2,4,2,3,2,2,4,3,3,3,4,False,2,4,4,4,2,4,-1,3,4,4,4,2,3,1,dust_taiwan,0,0,1,0,0,0,1,1
570eb73083a73509d0e02147,taipei_city,zh_TW,taiwanese,36,male,False,4,1,4,4,4,4,3,4,3,4,3,5,False,4,5,5,3,4,4,-1,4,5,5,5,3,4,5,dust_taiwan,0,0,0,0,0,0,1,0
570eb78d83a73509d0e03faf,taipei_city,zh_TW,taiwanese,23,female,False,4,1,3,4,2,5,1,5,3,2,2,2,False,3,3,3,2,2,3,-1,3,4,4,4,3,4,1,dust_taiwan,1,0,0,0,0,0,0,0
570eb77283a73509d0e0377e,taipei_city,en,taiwanese,8,male,False,3,3,4,4,2,4,3,4,4,2,4,5,False,5,4,5,5,4,4,-1,4,5,5,5,2,5,2,dust_taiwan,0,0,1,1,0,1,1,0
570eb78a83a73509d0e03eb9,taipei_city,en,taiwanese,13,female,False,5,1,5,5,3,5,5,5,5,5,2,4,False,1,5,5,5,1,5,-1,1,5,5,5,1,5,1,dust_taiwan,0,0,1,0,0,1,1,1
570eb7ba83a73509d0e04daf,taipei_city,en,taiwanese,17,female,False,4,1,4,3,5,2,4,4,4,4,3,5,False,3,5,4,4,4,4,-1,4,5,5,5,3,3,1,dust_taiwan,0,0,0,0,1,0,1,0
570eb77183a73509d0e03720,taipei_city,en,taiwanese,15,female,False,2,3,2,2,2,5,4,3,2,2,2,3,False,3,2,2,2,2,2,-1,4,5,4,4,4,4,4,dust_taiwan,0,0,0,0,0,0,1,0
570eb76e83a73509d0e035eb,taipei_city,en,taiwanese,20,male,False,4,1,4,2,4,2,2,5,4,5,1,4,False,2,4,4,4,3,4,-1,4,2,4,4,2,3,1,dust_taiwan,0,0,0,1,0,0,1,0
570eb71e83a73509d0e01b6f,taipei_city,zh_TW,taiwanese,29,female,False,4,2,4,2,4,4,2,5,4,4,4,5,False,2,4,4,2,2,4,-1,3,5,4,5,2,5,4,dust_taiwan,0,0,1,1,0,1,1,0
570eb76583a73509d0e032c0,taipei_city,en,taiwanese,13,male,False,5,1,5,2,5,1,5,2,4,4,5,5,False,5,5,5,5,5,5,-1,5,5,5,5,5,5,1,dust_taiwan,0,0,1,0,0,1,1,0
570eb72283a73509d0e01c94,taipei_city,en,taiwanese,11,female,False,4,5,4,3,4,3,4,3,3,3,3,4,False,4,3,3,2,2,3,-1,4,5,4,5,3,4,1,dust_taiwan,0,0,0,0,0,0,1,0
570eb74183a73509d0e026af,taipei_city,zh_TW,taiwanese,14,male,False,3,4,2,2,3,4,3,2,4,2,2,4,False,5,2,3,2,3,3,-1,2,4,4,4,3,4,1,dust_taiwan,0,0,0,0,0,0,1,0
570eb79683a73509d0e04236,taipei_city,en,taiwanese,41,female,False,4,4,2,2,4,4,2,4,4,4,1,3,False,1,3,3,4,3,3,-1,3,3,3,3,3,3,1,dust_taiwan,0,0,0,0,0,0,1,1
570eb72083a73509d0e01c27,taipei_city,en,taiwanese,28,male,False,4,2,4,2,4,4,2,5,2,4,3,4,False,4,4,4,3,4,4,-1,4,5,4,4,2,5,1,dust_taiwan,0,0,1,1,0,1,1,0
570eb79d83a73509d0e044ac,taipei_city,en,taiwanese,26,male,False,2,1,4,4,3,4,4,4,4,2,3,5,False,3,1,3,4,2,2,-1,5,5,5,5,4,4,4,dust_taiwan,0,1,0,1,1,1,1,0
570eb75383a73509d0e02cdd,taipei_city,en,taiwanese,9,female,False,3,3,3,3,3,3,3,3,3,3,2,4,False,3,4,4,3,3,3,-1,3,5,5,5,3,3,2,dust_taiwan,0,0,0,0,0,0,1,0
570eb77e83a73509d0e03b28,taipei_city,zh_TW,taiwanese,18,male,False,5,2,5,3,1,5,1,5,5,2,3,4,False,1,1,2,2,1,2,-1,1,5,5,5,4,4,2,dust_taiwan,0,1,0,1,0,0,1,0
570eb74a83a73509d0e029c4,taichung_city,en,taiwanese,12,male,False,4,3,5,4,3,4,2,5,4,2,2,4,False,2,5,4,4,4,3,-1,2,5,5,4,4,5,1,dust_taiwan,0,0,0,0,0,0,1,0
570eb75783a73509d0e02e2f,taichung_city,en,taiwanese,18,female,False,4,2,3,4,2,3,2,4,4,4,3,4,False,3,4,4,4,3,4,-1,3,4,4,4,2,2,1,dust_taiwan,0,0,0,1,0,0,1,0
570eb73583a73509d0e022d2,taichung_city,en,taiwanese,36,male,False,5,2,5,5,5,1,5,2,4,5,5,5,False,4,1,3,1,2,2,-1,4,5,5,5,3,4,4,dust_taiwan,0,0,0,0,0,1,0,0
570eb75b83a73509d0e02fae,taichung_city,en,taiwanese,20,male,False,4,4,4,2,4,4,4,3,3,3,4,4,False,5,4,4,3,3,3,-1,2,5,5,4,2,3,1,dust_taiwan,0,1,0,1,1,0,1,0
570eb7af83a73509d0e049d4,taichung_city,en,taiwanese,17,male,False,3,3,4,2,3,5,2,3,4,4,1,2,False,4,3,4,2,2,3,-1,2,3,3,3,3,3,2,dust_taiwan,0,0,0,1,0,0,1,0
570eb78883a73509d0e03dec,taichung_city,en,taiwanese,16,male,False,5,1,4,4,2,2,2,5,2,1,2,4,False,2,1,2,2,1,2,-1,5,5,5,4,4,4,1,dust_taiwan,0,0,1,0,0,1,1,0
570eb73683a73509d0e02351,taichung_city,en,american,24,male,False,3,1,5,2,4,2,4,2,2,4,4,4,False,3,2,2,2,3,2,-1,3,4,3,3,2,4,1,dust_taiwan,1,1,1,1,1,1,1,1
570eb7b883a73509d0e04cda,taichung_city,en,taiwanese,28,male,False,4,1,4,4,4,4,1,3,3,2,3,5,False,2,1,2,3,2,2,-1,1,5,5,5,2,4,1,dust_taiwan,0,0,0,0,0,0,1,0
570eb73a83a73509d0e024c0,taichung_city,en,taiwanese,18,male,False,5,1,4,4,4,4,5,4,4,2,3,4,False,2,2,3,3,2,3,-1,2,4,4,5,3,4,1,dust_taiwan,0,1,0,0,0,1,1,0
570eb7be83a73509d0e04eda,taichung_city,en,taiwanese,20,female,False,4,2,5,2,3,5,4,3,3,3,2,3,False,4,3,3,1,2,4,-1,4,4,4,4,3,4,1,dust_taiwan,0,0,0,0,0,0,1,0
570eb72f83a73509d0e02110,taichung_city,en,taiwanese,28,female,False,3,1,3,3,3,4,2,4,4,3,4,4,False,2,3,2,2,2,3,-1,1,4,4,4,3,4,1,dust_taiwan,0,0,0,0,0,0,1,0
570eb73783a73509d0e02393,taichung_city,en,taiwanese,19,male,False,4,2,3,4,3,4,3,5,4,2,3,3,False,3,4,2,3,3,4,-1,3,4,4,4,3,4,2,dust_taiwan,0,0,0,1,0,1,1,0
570eb78383a73509d0e03cac,taichung_city,en,taiwanese,19,male,False,3,4,4,2,3,4,3,3,4,4,3,4,False,3,3,2,2,3,4,-1,4,5,5,4,2,4,4,dust_taiwan,0,0,0,0,0,0,1,0
570eb72d83a73509d0e02040,taichung_city,zh_TW,taiwanese,19,female,False,4,1,2,4,3,5,2,5,5,2,4,1,False,4,1,2,1,3,3,-1,5,1,3,2,2,3,1,dust_taiwan,0,0,0,0,0,1,1,0
