,_id,metadata.location,answers.sex,answers.dob,answers.musical_background,answers.nationality,answers.visual_impairments,answers.musical_expertise,answers.hearing_impairments,answers.age,critical_reaction,control_inspired,control_wonder,control_spirituality,control_thrills,control_tension,control_familiarity,control_chills,control_tenderness,control_nostalgia,control_like_dislike,control_activity,control_positivity,control_engagement,control_goosebumps,control_overwhelmed,control_shivers,song_inspired,song_wonder,song_spirituality,song_thrills,song_tension,song_familiarity,song_chills,song_tenderness,song_nostalgia,song_like_dislike,song_activity,song_positivity,song_engagement,song_goosebumps,song_overwhelmed,song_shivers,control_chillsshiversthrills,song_chillsshiversthrills,control_transcendence,control_sadness,control_joyfulactivation,control_peacefulness,control_power,song_transcendence,song_sadness,song_joyfulactivation,song_peacefulness,song_power,song,answers.musicpref.hip_hop,answers.musicpref.none,answers.musicpref.jazz,answers.musicpref.rock,answers.musicpref.classical,answers.musicpref.world,answers.musicpref.dance,answers.musicpref.pop,answers.musicpref.traditional_irish
5410f6d008ad6ee3090e399c,5410f6d008ad6ee3090e399c,dublin,male,1991-01-01,,irish,,,False,20.0,True,,,,,,,,,,,,,,,,,3.0,4.0,1.0,1.0,3.0,2.0,4.0,4.0,1.0,3.0,5.0,4.0,4.0,3.0,2.0,2.0,,,,,,,,,,,,,hallelujah_dublin,0,0,1,1,0,0,1,1,1
5410f6d108ad6ee3090e39ad,5410f6d108ad6ee3090e39ad,dublin,male,1979-01-01,,british,,,False,32.0,True,,,,,,,,,,,,,,,,,4.0,5.0,4.0,1.0,4.0,5.0,4.0,5.0,5.0,1.0,3.0,4.0,1.0,4.0,4.0,3.0,,,,,,,,,,,,,hallelujah_dublin,0,1,0,0,0,0,0,0,0
5410f76708ad6ee3090e3c1a,5410f76708ad6ee3090e3c1a,dublin,male,1978-01-01,,irish,,,True,33.0,True,,,,,,,,,,,,,,,,,2.0,2.0,4.0,1.0,3.0,3.0,2.0,4.0,2.0,4.0,4.0,4.0,4.0,1.0,3.0,2.0,,,,,,,,,,,,,hallelujah_dublin,0,0,0,0,0,0,1,0,0
5410f7fc08ad6ee3090e3e4e,5410f7fc08ad6ee3090e3e4e,dublin,male,1986-01-01,,british,,,False,25.0,True,,,,,,,,,,,,,,,,,2.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,2.0,5.0,3.0,1.0,3.0,4.0,1.0,,,,,,,,,,,,,hallelujah_dublin,0,0,0,1,0,0,0,1,0
5410f88208ad6ee3090e407b,5410f88208ad6ee3090e407b,dublin,female,1984-01-01,,irish,,,True,27.0,True,,,,,,,,,,,,,,,,,2.0,4.0,4.0,2.0,4.0,5.0,1.0,2.0,4.0,1.0,4.0,3.0,1.0,3.0,4.0,2.0,,,,,,,,,,,,,hallelujah_dublin,0,0,0,1,0,0,0,1,1
5410fa6408ad6ee3090e46e0,5410fa6408ad6ee3090e46e0,dublin,female,1988-01-01,,irish,,,False,23.0,True,,,,,,,,,,,,,,,,,1.0,2.0,2.0,1.0,2.0,4.0,1.0,1.0,2.0,5.0,2.0,5.0,5.0,1.0,1.0,1.0,,,,,,,,,,,,,hallelujah_dublin,1,0,0,1,0,0,0,1,0
5410fa6408ad6ee3090e46e4,5410fa6408ad6ee3090e46e4,dublin,female,1986-01-01,,irish,,,False,25.0,True,,,,,,,,,,,,,,,,,3.0,3.0,4.0,1.0,4.0,4.0,1.0,4.0,5.0,1.0,3.0,2.0,1.0,1.0,3.0,1.0,,,,,,,,,,,,,hallelujah_dublin,1,0,1,1,1,1,1,1,1
5410fa6408ad6ee3090e46ee,5410fa6408ad6ee3090e46ee,dublin,male,2000-01-01,,irish,,,True,11.0,True,,,,,,,,,,,,,,,,,5.0,1.0,5.0,1.0,5.0,4.0,1.0,3.0,5.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,,,,,,,,,,,,,hallelujah_dublin,0,0,0,1,0,0,0,0,0
5410fb2f08ad6ee3090e49d7,5410fb2f08ad6ee3090e49d7,dublin,female,1983-01-01,,other,,,False,28.0,True,,,,,,,,,,,,,,,,,4.0,1.0,3.0,1.0,5.0,5.0,3.0,4.0,4.0,1.0,1.0,1.0,1.0,3.0,1.0,3.0,,,,,,,,,,,,,hallelujah_dublin,0,0,0,0,0,1,1,1,0
5410fba108ad6ee3090e4b8b,5410fba108ad6ee3090e4b8b,dublin,female,1996-01-01,,irish,,,False,15.0,True,,,,,,,,,,,,,,,,,2.0,2.0,2.0,2.0,4.0,2.0,2.0,1.0,2.0,3.0,4.0,3.0,4.0,2.0,2.0,2.0,,,,,,,,,,,,,hallelujah_dublin,0,0,0,1,0,0,0,0,0
5410fba308ad6ee3090e4baa,5410fba308ad6ee3090e4baa,dublin,female,1968-01-01,,irish,,,False,43.0,True,,,,,,,,,,,,,,,,,1.0,5.0,5.0,1.0,5.0,5.0,4.0,5.0,5.0,1.0,5.0,4.0,1.0,3.0,5.0,4.0,,,,,,,,,,,,,hallelujah_dublin,0,0,0,0,0,0,0,1,0
5410fc6508ad6ee3090e4e96,5410fc6508ad6ee3090e4e96,dublin,male,1987-01-01,,irish,,,False,24.0,True,,,,,,,,,,,,,,,,,3.0,2.0,1.0,3.0,2.0,3.0,2.0,4.0,3.0,2.0,3.0,2.0,1.0,4.0,3.0,2.0,,,,,,,,,,,,,hallelujah_dublin,1,0,0,1,0,0,0,0,0
5410fc6508ad6ee3090e4e9a,5410fc6508ad6ee3090e4e9a,dublin,male,1991-01-01,,british,,,False,20.0,True,,,,,,,,,,,,,,,,,3.0,4.0,4.0,4.0,1.0,3.0,4.0,4.0,5.0,2.0,3.0,4.0,1.0,3.0,4.0,4.0,,,,,,,,,,,,,hallelujah_dublin,0,0,0,1,0,0,0,0,0
5410fc6708ad6ee3090e4eb4,5410fc6708ad6ee3090e4eb4,dublin,female,1984-01-01,,british,,,False,27.0,True,,,,,,,,,,,,,,,,,3.0,5.0,3.0,4.0,4.0,3.0,4.0,4.0,5.0,1.0,4.0,2.0,2.0,1.0,4.0,1.0,,,,,,,,,,,,,hallelujah_dublin,1,0,0,1,0,0,1,1,0
5410fe0208ad6ee3090e54c4,5410fe0208ad6ee3090e54c4,dublin,female,1999-01-01,,other,,,False,12.0,True,,,,,,,,,,,,,,,,,2.0,2.0,3.0,1.0,4.0,4.0,1.0,3.0,1.0,2.0,4.0,2.0,3.0,1.0,1.0,1.0,,,,,,,,,,,,,hallelujah_dublin,1,0,0,1,0,0,0,1,0
5410fe8808ad6ee3090e56ad,5410fe8808ad6ee3090e56ad,dublin,male,1990-01-01,,other,,,False,21.0,True,,,,,,,,,,,,,,,,,4.0,2.0,4.0,2.0,3.0,4.0,4.0,4.0,3.0,1.0,2.0,3.0,1.0,2.0,5.0,3.0,,,,,,,,,,,,,hallelujah_dublin,1,0,1,1,1,0,1,1,0
5410fe8808ad6ee3090e56b0,5410fe8808ad6ee3090e56b0,dublin,male,1988-01-01,,british,,,False,23.0,True,,,,,,,,,,,,,,,,,2.0,2.0,2.0,2.0,4.0,4.0,2.0,2.0,2.0,3.0,4.0,4.0,3.0,4.0,2.0,3.0,,,,,,,,,,,,,hallelujah_dublin,0,0,0,0,0,0,0,1,0
541101e408ad6ee3090e63be,541101e408ad6ee3090e63be,dublin,male,1990-01-01,,irish,,,False,21.0,True,,,,,,,,,,,,,,,,,4.0,2.0,2.0,4.0,3.0,4.0,4.0,4.0,4.0,1.0,2.0,4.0,1.0,5.0,3.0,3.0,,,,,,,,,,,,,hallelujah_dublin,0,0,0,1,0,0,1,1,0
541102b008ad6ee3090e6671,541102b008ad6ee3090e6671,dublin,female,1970-01-01,,irish,,,False,41.0,True,,,,,,,,,,,,,,,,,,,,,4.0,4.0,,,,3.0,3.0,3.0,4.0,,,,,2.0,,,,,,,,,,,hallelujah_dublin,0,0,0,1,0,0,0,0,0
541102b108ad6ee3090e6683,541102b108ad6ee3090e6683,dublin,female,1990-01-01,,irish,,,False,21.0,True,,,,,,,,,,,,,,,,,,,,,4.0,2.0,,,,4.0,4.0,3.0,5.0,,,,,2.0,,,,,,,,,,,hallelujah_dublin,0,0,0,0,0,0,0,1,0
5411036108ad6ee3090e68e1,5411036108ad6ee3090e68e1,dublin,male,2000-01-01,,irish,,,False,11.0,True,,,,,,,,,,,,,,,,,,,,,3.0,5.0,,,,2.0,2.0,3.0,2.0,,,,,1.0,,,,,,,,,,,hallelujah_dublin,0,0,0,1,0,0,0,0,0
5411041208ad6ee3090e6b71,5411041208ad6ee3090e6b71,dublin,male,1990-01-01,,other,,,True,21.0,True,,,,,,,,,,,,,,,,,,,,,3.0,2.0,,,,3.0,3.0,3.0,3.0,,,,,2.0,,,,,,,,,,,hallelujah_dublin,1,0,0,0,0,0,0,1,0
5411059808ad6ee3090e70dc,5411059808ad6ee3090e70dc,dublin,female,2000-01-01,,irish,,,False,11.0,True,,,,,,,,,,,,,,,,,,,,,5.0,3.0,,,,3.0,3.0,2.0,5.0,,,,,1.0,,,,,,,,,,,hallelujah_dublin,0,0,0,0,0,0,0,1,0
541106b708ad6ee3090e752c,541106b708ad6ee3090e752c,dublin,male,1990-01-01,,other,,,False,21.0,True,,,,,,,,,,,,,,,,,,,,,4.0,5.0,,,,1.0,2.0,1.0,1.0,,,,,5.0,,,,,,,,,,,hallelujah_dublin,0,0,0,1,0,0,0,1,1
5411076d08ad6ee3090e7774,5411076d08ad6ee3090e7774,dublin,male,1970-01-01,,irish,,,False,41.0,True,,,,,,,,,,,,,,,,,,,,,4.0,4.0,,,,3.0,2.0,1.0,1.0,,,,,2.0,,,,,,,,,,,hallelujah_dublin,0,0,1,1,0,0,1,1,0
5411077108ad6ee3090e77b3,5411077108ad6ee3090e77b3,dublin,female,1990-01-01,,irish,,,False,21.0,True,,,,,,,,,,,,,,,,,,,,,2.0,5.0,,,,1.0,2.0,1.0,2.0,,,,,2.0,,,,,,,,,,,hallelujah_dublin,0,0,1,1,1,1,0,1,0
5410f7b408ad6ee3090e3d16,5410f7b408ad6ee3090e3d16,dublin,male,1980-01-01,,irish,,,False,31.0,True,,,,,,,,,,,,,,,,,,,,,3.0,4.0,,,,1.0,1.0,1.0,1.0,,,,,4.0,,,,,,,,,,,hallelujah_dublin,0,0,0,1,0,0,1,0,0
5410f7b408ad6ee3090e3d1c,5410f7b408ad6ee3090e3d1c,dublin,male,1990-01-01,,irish,,,False,21.0,True,,,,,,,,,,,,,,,,,,,,,4.0,4.0,,,,3.0,4.0,3.0,1.0,,,,,2.0,,,,,,,,,,,hallelujah_dublin,1,0,0,1,0,0,0,1,0
5410f7b508ad6ee3090e3d2a,5410f7b508ad6ee3090e3d2a,dublin,male,1970-01-01,,irish,,,False,41.0,True,,,,,,,,,,,,,,,,,,,,,5.0,5.0,,,,1.0,4.0,2.0,1.0,,,,,3.0,,,,,,,,,,,hallelujah_dublin,0,0,0,1,0,0,0,0,0
5410f9f808ad6ee3090e4547,5410f9f808ad6ee3090e4547,dublin,male,1970-01-01,,irish,,,False,41.0,True,,,,,,,,,,,,,,,,,,,,,5.0,4.0,,,,2.0,4.0,4.0,3.0,,,,,2.0,,,,,,,,,,,hallelujah_dublin,0,0,0,1,0,0,0,0,0
5410fc0708ad6ee3090e4d0f,5410fc0708ad6ee3090e4d0f,dublin,female,1990-01-01,,other,,,False,21.0,True,,,,,,,,,,,,,,,,,,,,,2.0,5.0,,,,1.0,4.0,3.0,1.0,,,,,5.0,,,,,,,,,,,hallelujah_dublin,0,0,0,1,1,0,0,1,0
5410fc0808ad6ee3090e4d23,5410fc0808ad6ee3090e4d23,dublin,female,1990-01-01,,other,,,True,21.0,True,,,,,,,,,,,,,,,,,,,,,5.0,5.0,,,,1.0,3.0,1.0,1.0,,,,,3.0,,,,,,,,,,,hallelujah_dublin,0,0,0,1,0,1,0,1,0
5410fc0908ad6ee3090e4d43,5410fc0908ad6ee3090e4d43,dublin,female,1940-01-01,,other,,,False,71.0,True,,,,,,,,,,,,,,,,,,,,,4.0,4.0,,,,1.0,3.0,1.0,1.0,,,,,5.0,,,,,,,,,,,hallelujah_dublin,0,0,0,1,1,0,0,0,1
5410fcba08ad6ee3090e4fdc,5410fcba08ad6ee3090e4fdc,dublin,female,1980-01-01,,irish,,,False,31.0,True,,,,,,,,,,,,,,,,,,,,,5.0,5.0,,,,1.0,2.0,1.0,1.0,,,,,5.0,,,,,,,,,,,hallelujah_dublin,0,0,0,1,0,0,0,0,0
5410fd5c08ad6ee3090e5223,5410fd5c08ad6ee3090e5223,dublin,male,1979-01-01,,irish,,,False,32.0,True,,,,,,,,,,,,,,,,,,,,,3.0,4.0,,,,1.0,3.0,3.0,1.0,,,,,3.0,,,,,,,,,,,hallelujah_dublin,1,0,1,1,1,1,0,1,1
5410fda608ad6ee3090e5348,5410fda608ad6ee3090e5348,dublin,male,1990-01-01,,irish,,,False,21.0,True,,,,,,,,,,,,,,,,,,,,,3.0,3.0,,,,4.0,3.0,3.0,5.0,,,,,1.0,,,,,,,,,,,hallelujah_dublin,0,0,0,1,0,0,0,0,0
5410ffdb08ad6ee3090e5bb8,5410ffdb08ad6ee3090e5bb8,dublin,male,1990-01-01,False,irish,,1,False,21.0,True,,,,,,,,,,,,,,,,,,,,,4.0,4.0,,,,2.0,3.0,3.0,3.0,,,,,1.0,,,,,,,,,,,hallelujah_dublin,0,0,0,1,0,0,1,0,0
5411015608ad6ee3090e6171,5411015608ad6ee3090e6171,dublin,male,1999-01-01,False,irish,,2,False,12.0,True,,,,,,,,,,,,,,,,,,,,,4.0,3.0,,,,4.0,3.0,3.0,3.0,,,,,1.0,,,,,,,,,,,hallelujah_dublin,0,0,0,0,0,0,0,1,0
541101b808ad6ee3090e62eb,541101b808ad6ee3090e62eb,dublin,male,1972-01-01,False,irish,,2,False,39.0,True,,,,,,,,,,,,,,,,,,,,,3.0,4.0,,,,3.0,4.0,3.0,1.0,,,,,4.0,,,,,,,,,,,hallelujah_dublin,0,0,1,0,0,0,1,1,0
541101b908ad6ee3090e6304,541101b908ad6ee3090e6304,dublin,female,1982-01-01,False,irish,,3,False,29.0,True,,,,,,,,,,,,,,,,,,,,,4.0,4.0,,,,2.0,4.0,3.0,2.0,,,,,1.0,,,,,,,,,,,hallelujah_dublin,0,0,0,1,0,1,0,1,0
5411031008ad6ee3090e67e0,5411031008ad6ee3090e67e0,dublin,female,1977-01-01,True,irish,,4,True,34.0,True,,,,,,,,,,,,,,,,,,,,,5.0,5.0,,,,1.0,2.0,1.0,1.0,,,,,4.0,,,,,,,,,,,hallelujah_dublin,0,0,0,1,0,0,0,1,0
5411031108ad6ee3090e67ed,5411031108ad6ee3090e67ed,dublin,male,1992-01-01,True,irish,,5,False,19.0,True,,,,,,,,,,,,,,,,,,,,,1.0,5.0,,,,1.0,2.0,4.0,1.0,,,,,5.0,,,,,,,,,,,hallelujah_dublin,0,0,0,1,0,0,0,0,0
5411031208ad6ee3090e67fb,5411031208ad6ee3090e67fb,dublin,male,1982-01-01,True,irish,,4,False,29.0,True,,,,,,,,,,,,,,,,,,,,,4.0,5.0,,,,1.0,2.0,4.0,2.0,,,,,4.0,,,,,,,,,,,hallelujah_dublin,0,0,1,1,0,1,1,0,0
5411047608ad6ee3090e6ccd,5411047608ad6ee3090e6ccd,dublin,female,1955-01-01,False,irish,,4,False,56.0,True,,,,,,,,,,,,,,,,,,,,,4.0,5.0,,,,1.0,1.0,1.0,1.0,,,,,5.0,,,,,,,,,,,hallelujah_dublin,0,0,0,1,1,1,0,0,1
541105e008ad6ee3090e720c,541105e008ad6ee3090e720c,dublin,female,1991-01-01,True,irish,,3,False,20.0,True,,,,,,,,,,,,,,,,,,,,,3.0,3.0,,,,3.0,3.0,2.0,2.0,,,,,1.0,,,,,,,,,,,hallelujah_dublin,1,0,1,1,0,1,0,1,0
5410f93408ad6ee3090e426d,5410f93408ad6ee3090e426d,dublin,female,1977-01-01,False,other,,1,False,34.0,True,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,2.0,5.0,,,,,,,,,,,,,,,2.0,5.0,1.0,2.0,1.0,hallelujah_dublin,0,1,0,0,0,0,0,0,0
5410fb3f08ad6ee3090e4a25,5410fb3f08ad6ee3090e4a25,dublin,female,1978-01-01,False,other,,1,False,33.0,True,,,,,,,,,,,,,,,,,,4.0,,,1.0,,,1.0,2.0,,,,,,,,,,,,,,,4.0,4.0,1.0,3.0,4.0,hallelujah_dublin,0,0,1,0,0,1,1,1,0
5410fe9f08ad6ee3090e5709,5410fe9f08ad6ee3090e5709,dublin,female,1993-01-01,True,other,,4,False,18.0,True,,,,,,,,,,,,,,,,,,1.0,,,2.0,,,5.0,5.0,,,,,,,,,,,,,,,3.0,5.0,1.0,4.0,1.0,hallelujah_dublin,0,0,0,0,0,0,0,1,0
5410fea008ad6ee3090e5718,5410fea008ad6ee3090e5718,dublin,female,1994-01-01,False,other,,3,False,17.0,True,,,,,,,,,,,,,,,,,,4.0,,,2.0,,,4.0,4.0,,,,,,,,,,,,,,,3.0,2.0,3.0,4.0,4.0,hallelujah_dublin,0,0,0,0,0,0,0,1,0
541100bb08ad6ee3090e5f1f,541100bb08ad6ee3090e5f1f,dublin,female,1995-01-01,True,irish,,4,False,16.0,True,,,,,,,,,,,,,,,,,,4.0,,,1.0,,,5.0,4.0,,,,,,,,,,,,,,,3.0,2.0,2.0,4.0,3.0,hallelujah_dublin,0,0,0,0,0,0,0,1,0
541103ac08ad6ee3090e69ee,541103ac08ad6ee3090e69ee,dublin,female,1993-01-01,True,irish,,3,False,18.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hallelujah_dublin,0,0,0,1,0,0,0,0,0
5411065508ad6ee3090e73b9,5411065508ad6ee3090e73b9,dublin,male,1995-01-01,False,irish,,1,True,16.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hallelujah_dublin,1,0,0,0,0,0,0,0,0
5411065608ad6ee3090e73c6,5411065608ad6ee3090e73c6,dublin,male,1968-01-01,True,other,,4,False,43.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hallelujah_dublin,0,0,0,0,1,0,0,0,0
5411065708ad6ee3090e73d0,5411065708ad6ee3090e73d0,dublin,female,1962-01-01,True,other,,5,False,49.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hallelujah_dublin,0,0,0,1,1,1,0,1,1
5411065708ad6ee3090e73dc,5411065708ad6ee3090e73dc,dublin,female,1956-01-01,True,irish,,4,False,55.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hallelujah_dublin,0,0,0,0,1,0,1,1,0
5411070e08ad6ee3090e7627,5411070e08ad6ee3090e7627,dublin,female,1984-01-01,False,irish,,3,False,27.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hallelujah_dublin,0,0,0,1,0,0,0,1,0
5411070f08ad6ee3090e7639,5411070f08ad6ee3090e7639,dublin,female,1979-01-01,False,irish,,2,False,32.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hallelujah_dublin,0,0,0,1,0,0,1,1,0
5411051708ad6ee3090e6f1c,5411051708ad6ee3090e6f1c,dublin,male,1990-01-01,,other,,,False,21.0,True,,,,,,,,,,,,,,,,,,,,,3.0,4.0,,,,2.0,2.0,2.0,2.0,,,,,4.0,,,,,,,,,,,hallelujah_dublin,1,0,0,1,1,1,0,0,1
5411018908ad6ee3090e6256,5411018908ad6ee3090e6256,dublin,male,1947-01-01,,irish,,,False,64.0,True,,,,,,,,,,,,,,,,,3.0,3.0,3.0,2.0,3.0,3.0,3.0,2.0,2.0,3.0,3.0,2.0,2.0,3.0,3.0,3.0,,,,,,,,,,,,,hallelujah_dublin,0,0,1,0,0,0,0,0,0
5410f91208ad6ee3090e41d9,5410f91208ad6ee3090e41d9,dublin,male,1970-01-01,,irish,,,False,41.0,True,,,,,,,,,,,,,,,,,,,,,5.0,5.0,,,,1.0,4.0,1.0,2.0,,,,,4.0,,,,,,,,,,,hallelujah_dublin,0,0,0,1,0,0,0,0,0
5410f69308ad6ee3090e387a,5410f69308ad6ee3090e387a,dublin,female,1970-01-01,,other,,,False,41.0,True,,,,,,,,,,,,,,,,,,,,,4.0,4.0,,,,2.0,4.0,4.0,2.0,,,,,3.0,,,,,,,,,,,hallelujah_dublin,0,0,1,0,0,0,0,0,0
5411076e08ad6ee3090e7781,5411076e08ad6ee3090e7781,dublin,female,1970-01-01,,irish,,,False,41.0,True,,,,,,,,,,,,,,,,,,,,,4.0,5.0,,,,1.0,2.0,2.0,2.0,,,,,3.0,,,,,,,,,,,hallelujah_dublin,0,1,0,0,0,0,0,0,0
5411012908ad6ee3090e60c9,5411012908ad6ee3090e60c9,dublin,male,1988-01-01,False,other,,2,False,23.0,True,,,,,,,,,,,,,,,,,,3.0,,,1.0,,,3.0,4.0,,,,,,,,,,,,,,,3.0,2.0,3.0,4.0,3.0,hallelujah_dublin,0,0,0,1,0,0,0,0,0
5410fba308ad6ee3090e4ba2,5410fba308ad6ee3090e4ba2,dublin,male,1982-01-01,,irish,,,False,29.0,True,,,,,,,,,,,,,,,,,2.0,2.0,1.0,2.0,2.0,4.0,1.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,,,,,,,,,,,,,hallelujah_dublin,0,0,1,1,1,1,1,1,0
5410fea008ad6ee3090e5711,5410fea008ad6ee3090e5711,dublin,male,1989-01-01,False,other,,2,False,22.0,True,,,,,,,,,,,,,,,,,,2.0,,,1.0,,,5.0,5.0,,,,,,,,,,,,,,,5.0,4.0,2.0,4.0,5.0,hallelujah_dublin,0,0,0,0,0,0,0,1,0
5411065808ad6ee3090e73e1,5411065808ad6ee3090e73e1,dublin,female,1982-01-01,True,irish,,3,False,29.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hallelujah_dublin,0,0,0,1,0,0,1,1,0
541106b808ad6ee3090e7546,541106b808ad6ee3090e7546,dublin,female,1990-01-01,,irish,,,False,21.0,True,,,,,,,,,,,,,,,,,,,,,4.0,4.0,,,,3.0,4.0,3.0,3.0,,,,,3.0,,,,,,,,,,,hallelujah_dublin,1,0,0,1,0,0,1,1,0
5410f76608ad6ee3090e3c16,5410f76608ad6ee3090e3c16,dublin,male,1984-01-01,,irish,,,False,27.0,False,,,,,,,,,,,,,,,,,5.0,5.0,5.0,3.0,4.0,5.0,4.0,4.0,5.0,1.0,3.0,1.0,1.0,1.0,3.0,4.0,,,,,,,,,,,,,hallelujah_dublin,0,0,0,0,0,0,1,0,0
5410f76708ad6ee3090e3c1f,5410f76708ad6ee3090e3c1f,dublin,male,1952-01-01,,irish,,,False,59.0,False,,,,,,,,,,,,,,,,,1.0,1.0,2.0,1.0,3.0,3.0,1.0,2.0,1.0,3.0,3.0,3.0,5.0,1.0,1.0,1.0,,,,,,,,,,,,,hallelujah_dublin,0,0,0,1,1,0,0,0,1
5410f7fc08ad6ee3090e3e51,5410f7fc08ad6ee3090e3e51,dublin,male,1982-01-01,,other,,,False,29.0,False,,,,,,,,,,,,,,,,,1.0,1.0,2.0,1.0,3.0,2.0,1.0,2.0,1.0,5.0,5.0,4.0,5.0,1.0,1.0,1.0,,,,,,,,,,,,,hallelujah_dublin,0,0,0,0,0,1,1,1,0
5410f7fc08ad6ee3090e3e55,5410f7fc08ad6ee3090e3e55,dublin,female,1969-01-01,,irish,,,False,42.0,False,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,4.0,5.0,1.0,2.0,4.0,3.0,4.0,3.0,2.0,1.0,1.0,1.0,,,,,,,,,,,,,hallelujah_dublin,0,0,0,0,0,1,0,0,0
5410f88108ad6ee3090e406f,5410f88108ad6ee3090e406f,dublin,female,1990-01-01,,british,,,False,21.0,False,,,,,,,,,,,,,,,,,2.0,4.0,2.0,1.0,5.0,4.0,2.0,1.0,4.0,2.0,3.0,3.0,1.0,2.0,3.0,1.0,,,,,,,,,,,,,hallelujah_dublin,0,0,1,1,0,1,1,1,0
5410f88208ad6ee3090e4076,5410f88208ad6ee3090e4076,dublin,female,1986-01-01,,irish,,,False,25.0,False,,,,,,,,,,,,,,,,,4.0,4.0,3.0,3.0,4.0,5.0,3.0,4.0,5.0,1.0,4.0,4.0,1.0,3.0,4.0,4.0,,,,,,,,,,,,,hallelujah_dublin,1,0,0,1,0,0,1,1,0
