_id,location,language,nationality,age,sex,hearing_impairments,personality_trusting,personality_artistic,personality_imagination,personality_reserved,personality_outgoing,personality_lazy,personality_stress,personality_nervous,personality_fault,personality_thorough,musical_expertise,concentration,critical_reaction,control_power,control_like_dislike,control_tension,control_engagement,control_activity,control_positivity,control_familiarity,song_power,song_like_dislike,song_tension,song_engagement,song_activity,song_positivity,song_familiarity,song,musicpref_world,musicpref_folk,musicpref_classical,musicpref_dance,musicpref_rock,musicpref_pop,musicpref_jazz,musicpref_hiphop
570eb7af83a73509d0e04a09,taipei_city,en,taiwanese,22,female,False,4,1,5,2,4,4,4,4,3,3,4,3,True,3,2,2,4,2,2,-1,2,4,4,2,3,3,1,humming,0,0,1,0,1,1,1,0
570eb73483a73509d0e02277,taipei_city,zh_TW,taiwanese,14,male,False,2,2,4,1,3,4,4,2,4,2,4,5,True,5,3,2,4,3,2,-1,2,5,2,5,5,2,1,humming,0,1,1,0,0,1,0,0
570eb73283a73509d0e021d4,taipei_city,en,taiwanese,18,male,False,4,1,4,4,2,3,2,3,4,3,3,3,True,3,1,2,2,3,2,-1,4,3,3,4,3,3,3,humming,1,0,0,1,0,1,0,0
570eb78a83a73509d0e03eb8,taipei_city,en,taiwanese,31,female,False,5,2,3,4,3,4,3,4,3,4,1,4,True,5,3,4,4,5,5,-1,3,2,3,2,3,2,1,humming,0,0,0,0,0,1,0,0
570eb76e83a73509d0e0360d,taipei_city,en,taiwanese,13,female,False,4,3,5,4,3,5,4,4,4,3,3,3,True,3,3,3,4,3,3,-1,4,2,2,4,4,2,2,humming,0,0,0,0,0,1,0,0
570eb74383a73509d0e0276d,taipei_city,zh_TW,taiwanese,14,female,True,1,2,5,4,3,5,2,4,3,2,3,5,True,3,3,3,3,3,3,-1,2,3,1,3,2,2,1,humming,0,0,0,0,1,1,0,0
570eb76983a73509d0e0345e,taipei_city,en,taiwanese,32,male,False,4,2,4,3,2,5,4,5,3,2,4,3,True,4,4,3,4,3,5,-1,4,5,5,5,4,2,1,humming,0,0,1,0,0,1,1,0
570eb73d83a73509d0e025b3,taipei_city,zh_TW,taiwanese,10,female,False,2,2,3,2,5,1,3,3,3,5,3,3,True,2,2,2,2,2,3,-1,2,3,3,3,3,4,1,humming,1,1,0,1,1,1,0,1
570eb7a583a73509d0e04706,taipei_city,en,taiwanese,16,male,False,3,3,3,3,3,3,3,3,3,3,3,3,True,1,1,1,2,1,2,-1,3,2,2,3,2,2,3,humming,1,0,0,0,0,0,0,0
570eb75983a73509d0e02ef4,taipei_city,en,taiwanese,9,male,False,3,2,5,3,3,4,2,4,2,3,2,4,True,5,3,4,4,3,4,-1,4,5,5,5,4,5,1,humming,0,0,0,0,0,1,0,0
570eb79983a73509d0e0438c,taipei_city,en,taiwanese,15,female,False,5,1,4,1,3,5,5,1,3,3,3,5,True,2,4,4,5,3,3,-1,2,2,2,5,2,2,1,humming,0,0,1,0,0,0,0,0
570eb7a883a73509d0e047fc,taipei_city,en,australian,6,female,False,5,3,5,4,4,1,2,4,3,5,3,3,True,3,2,5,4,4,3,-1,3,2,3,3,3,3,1,humming,0,0,1,0,1,1,0,0
570eb78f83a73509d0e04071,taipei_city,en,taiwanese,22,male,False,4,4,4,3,5,4,4,4,4,4,2,4,True,4,3,3,3,4,3,-1,2,4,2,4,4,2,2,humming,0,0,0,0,0,1,0,0
570eb7b283a73509d0e04ad0,taipei_city,en,taiwanese,21,male,False,4,1,4,2,5,4,4,2,2,2,3,4,True,4,2,4,4,2,2,-1,2,5,5,5,4,4,4,humming,0,0,1,1,0,1,1,0
570eb7ac83a73509d0e0491c,taipei_city,en,taiwanese,18,female,False,2,2,4,2,4,4,2,4,4,2,2,4,True,2,2,3,2,2,3,-1,4,2,2,2,2,2,1,humming,0,0,0,0,0,1,1,0
570eb7b883a73509d0e04d0e,taipei_city,zh_TW,taiwanese,28,female,False,4,2,5,4,3,5,4,4,4,4,1,3,True,4,2,3,1,3,3,-1,3,4,4,4,1,4,1,humming,0,0,0,0,0,1,0,0
570eb7b483a73509d0e04b6f,taipei_city,en,taiwanese,18,female,False,2,2,4,4,2,2,2,4,4,2,2,3,True,3,3,4,3,3,3,-1,3,3,3,3,3,3,4,humming,0,0,0,0,0,1,0,0
570eb77a83a73509d0e039ce,taipei_city,en,taiwanese,30,female,False,4,1,4,4,2,4,3,5,5,4,2,3,True,3,2,2,1,2,2,-1,4,5,4,5,5,5,1,humming,0,0,0,0,0,1,0,0
570eb76c83a73509d0e03553,taipei_city,en,taiwanese,29,male,False,4,1,4,4,2,4,4,4,4,3,2,4,True,2,3,4,2,3,3,-1,4,5,5,5,4,2,3,humming,0,0,0,0,1,1,1,0
570eb7b683a73509d0e04c4d,taipei_city,en,taiwanese,47,male,False,4,5,4,2,4,4,2,4,4,4,3,5,True,4,2,2,2,3,2,-1,4,4,4,4,2,2,2,humming,0,0,0,0,0,1,0,0
570eb72c83a73509d0e01ff8,taipei_city,en,taiwanese,16,male,False,4,2,4,3,3,4,2,4,3,4,3,2,True,2,2,4,2,3,2,-1,2,4,3,4,3,2,1,humming,1,0,1,0,0,1,0,0
570eb74283a73509d0e0272b,taipei_city,en,taiwanese,34,male,False,4,1,4,5,2,4,2,5,5,4,3,4,True,2,2,2,3,3,2,-1,2,4,4,4,4,4,1,humming,0,0,1,0,0,1,1,0
570eb7b383a73509d0e04b60,taipei_city,zh_TW,taiwanese,11,male,False,2,4,5,4,4,5,1,4,3,1,3,4,True,5,5,5,4,5,4,-1,5,5,5,5,5,5,5,humming,1,0,0,0,1,1,0,1
570eb76d83a73509d0e0359a,taipei_city,en,taiwanese,12,female,False,2,2,4,2,4,4,2,4,2,2,2,3,True,4,4,4,2,2,3,-1,3,3,2,4,4,4,1,humming,0,0,0,0,0,1,0,0
570eb76683a73509d0e03336,taipei_city,en,taiwanese,7,male,False,3,2,5,3,4,2,3,3,2,4,3,5,True,4,4,4,4,3,4,-1,3,5,2,3,4,3,1,humming,0,0,0,0,0,1,0,0
570eb7ac83a73509d0e04920,taipei_city,en,taiwanese,18,male,False,2,2,5,3,5,1,5,1,5,5,5,1,True,3,3,4,5,2,5,-1,5,2,1,3,3,3,1,humming,0,0,0,0,1,0,0,0
570eb79f83a73509d0e04532,taipei_city,en,taiwanese,12,male,False,2,1,5,3,5,1,2,1,4,5,2,4,True,2,3,5,4,2,5,-1,5,3,3,5,4,4,1,humming,0,0,0,0,0,0,0,1
570eb72383a73509d0e01cfb,taipei_city,en,taiwanese,11,male,False,4,2,2,2,3,2,3,2,3,3,3,5,True,4,4,5,4,4,4,-1,4,3,3,5,3,3,1,humming,0,0,0,0,0,1,0,0
570eb79f83a73509d0e0455b,taipei_city,en,taiwanese,6,male,False,4,1,5,3,4,2,3,3,3,3,2,5,True,5,5,5,5,5,5,-1,5,5,5,5,5,5,5,humming,0,0,0,0,0,1,0,0
570eb78b83a73509d0e03f2a,taipei_city,en,taiwanese,18,male,False,4,4,4,4,2,4,3,5,3,2,3,3,True,2,3,3,2,3,3,-1,3,3,3,3,3,3,3,humming,0,0,0,0,1,1,0,0
570eb73483a73509d0e0228d,taipei_city,zh_TW,taiwanese,7,male,False,2,2,4,4,4,5,2,4,4,2,1,3,True,2,4,5,3,4,3,-1,5,4,3,4,3,4,1,humming,0,0,0,0,0,1,0,0
570eb79c83a73509d0e04457,taipei_city,en,taiwanese,14,female,False,3,1,5,4,2,4,2,5,4,2,3,4,True,3,2,3,3,3,3,-1,2,2,2,4,4,2,1,humming,0,0,0,0,1,0,0,0
570eb7a983a73509d0e0484a,taichung_city,en,taiwanese,27,female,False,5,1,4,5,1,4,1,5,3,2,1,4,True,4,3,3,4,3,3,-1,3,4,4,5,4,2,4,humming,0,0,0,0,1,0,0,0
570eb79d83a73509d0e044b6,taichung_city,en,taiwanese,17,female,False,5,2,2,2,5,4,5,4,4,2,3,5,True,4,2,2,4,2,2,-1,4,4,4,5,2,3,4,humming,0,0,0,0,1,1,0,0
570eb74983a73509d0e02969,taichung_city,en,taiwanese,21,male,False,4,2,5,4,2,3,2,4,2,4,4,5,True,3,3,3,4,4,3,-1,3,5,5,4,3,5,1,humming,0,0,0,0,0,1,0,0
570eb73483a73509d0e022a3,taichung_city,en,taiwanese,25,male,False,4,2,4,2,4,2,4,2,4,4,1,4,True,4,2,3,4,2,3,-1,4,4,4,4,4,2,1,humming,1,1,1,0,0,1,0,0
570eb7af83a73509d0e04a1c,taichung_city,en,taiwanese,12,male,False,2,4,5,4,5,4,4,4,4,3,2,4,True,4,3,4,3,3,3,-1,4,4,4,5,4,4,1,humming,0,0,0,1,0,0,0,0
570eb72983a73509d0e01ed0,taichung_city,en,taiwanese,20,female,False,4,2,5,2,3,5,4,3,3,2,2,3,True,4,3,4,2,2,4,-1,4,5,4,4,4,4,1,humming,0,0,0,0,0,1,0,0
570eb78783a73509d0e03db4,taichung_city,en,taiwanese,27,female,False,5,1,3,3,2,5,2,5,5,3,1,4,True,5,4,3,3,3,4,-1,5,1,2,5,5,3,1,humming,0,0,0,0,0,1,0,0
570eb78e83a73509d0e03fee,taichung_city,en,taiwanese,11,female,False,3,3,3,3,3,3,3,3,3,3,5,3,True,5,5,5,5,5,5,-1,1,1,1,1,1,1,1,humming,0,0,1,0,0,0,0,0
570eb79b83a73509d0e043e7,taichung_city,en,taiwanese,30,female,False,4,2,4,4,1,5,2,5,3,2,1,3,True,5,3,4,3,2,3,-1,5,3,3,3,3,3,1,humming,0,0,0,0,1,0,0,0
570eb74f83a73509d0e02b96,taichung_city,en,taiwanese,20,female,False,4,2,4,4,1,4,3,5,4,3,3,4,True,4,3,2,2,2,3,-1,4,3,4,4,4,4,2,humming,0,0,0,0,0,1,0,0
570eb78b83a73509d0e03efd,taichung_city,en,taiwanese,15,male,False,3,2,4,4,2,3,3,2,3,3,3,5,True,5,3,3,2,2,2,-1,4,5,4,5,4,4,1,humming,0,1,1,0,1,1,0,0
570eb74783a73509d0e028c5,taichung_city,zh_TW,taiwanese,17,female,False,3,1,5,2,4,4,5,5,1,3,1,4,True,4,4,4,4,3,3,-1,3,4,4,5,4,4,1,humming,0,0,0,0,0,1,0,0
570eb7aa83a73509d0e048cf,taipei_city,en,taiwanese,7,female,False,4,4,4,4,4,4,4,4,4,4,1,5,True,2,2,5,5,2,4,-1,3,4,4,5,4,5,1,humming,0,0,1,0,0,0,0,0
570eb7ba83a73509d0e04d8e,taichung_city,en,taiwanese,13,female,False,1,4,5,2,2,3,4,2,4,3,3,3,True,5,1,5,2,5,2,-1,5,1,5,3,3,1,1,humming,0,0,0,0,0,1,0,0
570eb7b983a73509d0e04d68,taichung_city,en,chinese,14,female,False,5,1,4,2,4,5,2,5,4,3,3,4,True,2,1,1,1,3,2,-1,4,4,4,4,3,4,1,humming,0,0,0,0,0,1,0,0
570eb7bb83a73509d0e04db5,taipei_city,zh_TW,taiwanese,10,female,False,4,2,2,3,2,4,2,4,2,2,3,3,False,3,3,3,2,3,3,-1,5,4,3,3,3,3,1,humming,0,0,0,0,0,0,0,0
570eb7ab83a73509d0e048f3,taipei_city,en,taiwanese,48,male,False,2,2,4,3,3,1,4,2,4,2,3,3,False,4,4,4,3,4,4,-1,3,3,3,3,3,3,3,humming,0,0,1,0,0,0,1,0
570eb78983a73509d0e03e46,taipei_city,en,taiwanese,42,female,False,4,1,4,5,1,3,1,5,3,3,2,5,False,2,5,3,5,3,4,-1,3,1,2,2,4,2,1,humming,1,0,1,0,0,0,0,0
570eb75183a73509d0e02c1c,taipei_city,en,taiwanese,6,female,False,4,2,5,3,3,1,3,2,3,4,1,3,False,3,5,5,4,2,3,-1,4,5,5,5,5,3,1,humming,0,1,0,0,0,0,0,0
570eb76283a73509d0e031e5,taipei_city,en,taiwanese,33,male,False,4,1,4,4,3,5,4,5,3,5,2,4,False,5,3,2,2,2,2,-1,5,3,3,3,2,3,1,humming,0,0,0,0,0,1,0,0
570eb7be83a73509d0e04f04,taipei_city,en,taiwanese,18,male,False,4,1,5,2,5,5,5,1,5,2,3,5,False,2,2,4,4,2,3,-1,3,3,4,4,4,2,1,humming,0,0,1,0,0,1,0,0
570eb77783a73509d0e038e1,taipei_city,en,taiwanese,18,female,False,4,2,5,4,1,4,4,2,3,2,3,4,False,4,4,3,3,3,2,-1,3,2,2,4,4,2,1,humming,0,0,0,0,0,1,0,0
570eb74283a73509d0e0273c,taipei_city,en,taiwanese,21,female,False,5,2,4,2,4,5,2,5,4,4,4,5,False,3,3,3,5,3,3,-1,3,1,1,3,3,1,1,humming,0,0,0,0,1,1,0,0
570eb75f83a73509d0e03131,taipei_city,en,taiwanese,25,female,False,5,1,5,2,3,3,4,4,4,5,3,5,False,4,4,4,4,3,5,-1,5,5,5,5,5,5,1,humming,0,0,0,1,0,1,0,1
570eb79a83a73509d0e043cf,taipei_city,en,taiwanese,11,male,False,2,5,1,3,2,5,2,3,2,1,1,3,False,3,3,4,3,3,3,-1,3,4,4,3,3,3,1,humming,0,0,0,0,1,1,0,0
570eb76283a73509d0e0322a,taipei_city,en,taiwanese,26,female,False,4,1,5,1,5,5,2,5,4,2,2,5,False,3,3,3,4,3,4,-1,5,2,2,5,4,2,1,humming,0,0,0,0,1,1,0,0
570eb7b783a73509d0e04c75,taipei_city,en,taiwanese,23,female,False,4,1,5,4,3,4,3,5,3,3,4,5,False,1,2,3,3,1,3,-1,4,4,4,4,4,3,1,humming,0,0,1,0,0,1,1,0
570eb72183a73509d0e01c7e,taipei_city,en,taiwanese,43,male,False,4,2,5,4,1,5,2,5,5,2,1,2,False,2,2,3,2,3,3,-1,4,3,3,4,4,4,1,humming,0,0,1,0,1,0,1,0
570eb76383a73509d0e0323a,taipei_city,en,taiwanese,25,female,False,2,1,4,4,3,5,1,5,4,2,1,4,False,2,4,4,5,2,4,-1,2,4,3,4,4,3,1,humming,1,0,0,0,0,1,0,0
570eb73283a73509d0e021d1,taipei_city,en,taiwanese,14,male,False,5,3,5,3,4,2,5,4,4,5,4,5,False,3,4,4,3,2,4,-1,2,3,4,4,4,3,1,humming,1,0,0,0,0,0,0,0
570eb7a983a73509d0e04865,taipei_city,en,taiwanese,9,female,False,3,3,3,3,3,3,3,3,3,3,3,5,False,5,5,5,5,4,5,-1,4,5,4,5,5,5,1,humming,0,0,0,0,0,1,0,0
570eb7a083a73509d0e04580,taipei_city,en,taiwanese,9,male,False,4,5,2,1,3,3,4,2,2,2,3,5,False,3,4,4,2,3,3,-1,2,2,1,1,2,2,1,humming,0,0,0,0,0,1,0,0
570eb78883a73509d0e03e29,taipei_city,en,taiwanese,13,male,False,4,4,5,4,3,4,3,4,4,3,4,2,False,5,2,3,3,3,3,-1,4,2,3,3,2,3,1,humming,0,0,1,0,0,1,0,0
570eb76283a73509d0e031f1,taipei_city,en,taiwanese,38,male,False,4,2,4,2,4,4,4,4,4,4,2,4,False,5,2,3,4,3,3,-1,4,4,4,4,4,4,4,humming,0,1,1,0,0,1,1,0
570eb7bb83a73509d0e04dcf,taichung_city,en,taiwanese,24,male,False,5,2,5,4,2,4,4,4,4,4,1,3,False,3,3,3,2,3,3,-1,3,4,3,4,2,2,1,humming,0,0,0,0,1,1,0,0
570eb75e83a73509d0e030ae,taichung_city,en,taiwanese,37,male,False,3,3,3,2,3,3,3,4,3,3,1,2,False,3,3,3,1,3,3,-1,3,3,3,3,3,3,3,humming,0,0,0,0,0,1,0,0
570eb72183a73509d0e01c76,taichung_city,en,taiwanese,14,male,False,3,3,3,3,3,3,3,3,3,3,1,3,False,2,2,3,3,2,3,-1,3,4,4,4,3,4,3,humming,0,0,0,0,0,1,0,0
570eb7bd83a73509d0e04ea0,taichung_city,zh_TW,taiwanese,12,female,False,4,4,2,3,2,3,4,4,4,2,2,3,False,2,1,2,3,2,3,-1,4,3,4,4,4,3,1,humming,0,0,0,0,0,1,0,0
570eb79c83a73509d0e04477,taichung_city,zh_TW,taiwanese,20,male,False,3,3,3,4,2,3,2,3,3,3,1,1,False,3,3,3,3,3,3,-1,3,3,3,3,3,2,1,humming,0,0,0,0,0,1,0,0
570eb77683a73509d0e0387a,taichung_city,en,taiwanese,23,male,False,3,3,4,4,2,5,2,4,4,3,2,5,False,4,3,2,5,3,3,-1,4,5,4,5,2,2,1,humming,0,0,0,0,0,1,0,0
570eb79383a73509d0e04190,taichung_city,en,taiwanese,24,male,False,5,4,2,5,2,5,4,5,4,3,2,5,False,2,3,3,4,3,3,-1,4,4,4,4,3,4,1,humming,0,1,1,0,0,1,0,0
570eb74683a73509d0e0286f,taichung_city,en,taiwanese,24,male,False,5,1,4,3,3,4,4,5,4,4,1,5,False,2,2,3,2,2,3,-1,2,3,3,4,3,3,1,humming,0,0,0,0,0,1,0,0
570eb75583a73509d0e02d8a,taichung_city,en,taiwanese,34,female,False,3,1,4,2,5,2,4,2,3,4,5,3,False,1,3,3,2,3,3,-1,4,3,3,4,4,3,1,humming,0,0,0,1,1,1,1,0
570eb7ab83a73509d0e048f0,taichung_city,en,taiwanese,10,female,False,2,4,3,4,3,3,2,4,4,2,3,4,False,2,3,2,4,3,3,-1,3,3,4,4,4,3,1,humming,0,0,0,0,0,1,0,0
