,_id,metadata.location,metadata.language,answers.nationality,answers.age,answers.sex,answers.hearing_impairments,answers.personality.trusting,answers.personality.artistic,answers.personality.imagination,answers.personality.reserved,answers.personality.outgoing,answers.personality.lazy,answers.personality.stress,answers.personality.nervous,answers.personality.fault,answers.personality.thorough,answers.musical_expertise,answers.concentration,critical_reaction,control_power,control_like_dislike,control_tension,control_engagement,control_activity,control_positivity,control_familiarity,song_power,song_like_dislike,song_tension,song_engagement,song_activity,song_positivity,song_familiarity,song,answers.musicpref.world,answers.musicpref.pop,answers.musicpref.dance,answers.musicpref.rock,answers.musicpref.jazz,answers.musicpref.folk,answers.musicpref.hiphop,answers.musicpref.classical
570eb78883a73509d0e03e3a,570eb78883a73509d0e03e3a,taichung_city,zh_TW,taiwanese,52,male,False,3,3,4,2,2,4,4,4,3,3,2,4,False,4,3,3,4,4,4,-1,,,,,,,,slayer_taiwan,0,0,0,0,0,0,0,1
570eb7b483a73509d0e04ba4,570eb7b483a73509d0e04ba4,taichung_city,en,taiwanese,20,male,False,3,4,3,4,2,4,3,4,4,4,1,3,False,3,4,3,4,3,3,-1,,,,,,,,slayer_taiwan,0,1,0,0,0,0,0,1
570eb76583a73509d0e032ba,570eb76583a73509d0e032ba,taichung_city,en,taiwanese,11,female,False,3,4,5,4,3,4,2,4,2,3,3,4,False,3,5,5,4,2,3,-1,,,,,,,,slayer_taiwan,0,1,0,0,0,0,0,0
570eb7b583a73509d0e04bea,570eb7b583a73509d0e04bea,taichung_city,en,taiwanese,19,female,False,4,2,2,2,4,4,2,4,4,3,2,4,False,4,2,4,2,4,2,-1,,,,,,,,slayer_taiwan,0,1,0,0,0,0,0,0
570eb79e83a73509d0e044e7,570eb79e83a73509d0e044e7,taichung_city,en,taiwanese,16,male,False,4,1,5,4,2,4,4,4,4,3,4,4,False,4,5,5,4,2,4,-1,,,,,,,,slayer_taiwan,0,1,0,0,0,0,0,1
570eb79c83a73509d0e04447,570eb79c83a73509d0e04447,taichung_city,en,taiwanese,20,female,False,3,3,3,3,3,3,3,3,3,3,3,5,False,1,2,1,5,5,2,-1,,,,,,,,slayer_taiwan,0,1,0,1,0,0,1,0
570eb75083a73509d0e02bf7,570eb75083a73509d0e02bf7,taipei_city,en,taiwanese,35,female,False,4,2,4,2,4,3,3,3,3,4,2,4,True,1,2,3,1,1,2,-1,4,4,3,5,4,2,1,slayer_taiwan,0,0,0,0,0,0,0,1
570eb79c83a73509d0e04482,570eb79c83a73509d0e04482,taipei_city,zh_TW,taiwanese,32,male,False,4,1,4,2,4,2,4,2,2,4,2,3,True,3,1,3,3,3,2,-1,3,4,3,4,4,3,1,slayer_taiwan,0,1,0,1,0,0,0,0
570eb75883a73509d0e02ea2,570eb75883a73509d0e02ea2,taipei_city,en,canadian,18,male,False,3,4,3,4,1,2,5,1,5,4,1,1,True,5,1,1,1,1,3,-1,3,3,3,3,3,3,3,slayer_taiwan,0,1,0,0,0,0,0,0
570eb77083a73509d0e03696,570eb77083a73509d0e03696,taipei_city,zh_TW,taiwanese,10,male,False,5,4,5,1,4,5,3,5,5,1,1,4,True,1,3,5,2,3,5,-1,4,3,2,4,5,3,4,slayer_taiwan,0,1,0,1,1,0,0,1
570eb78283a73509d0e03c7c,570eb78283a73509d0e03c7c,taipei_city,en,taiwanese,46,male,False,4,2,3,3,3,3,4,4,4,3,1,5,True,1,1,3,2,1,1,-1,3,3,3,4,4,3,1,slayer_taiwan,0,0,0,1,0,0,0,0
570eb7b583a73509d0e04bc2,570eb7b583a73509d0e04bc2,taipei_city,en,taiwanese,15,male,False,5,4,3,4,2,5,5,3,3,2,4,5,True,2,3,4,3,3,3,-1,4,5,4,5,5,4,3,slayer_taiwan,0,1,0,1,1,0,0,0
570eb75483a73509d0e02d3c,570eb75483a73509d0e02d3c,taipei_city,en,taiwanese,9,male,False,5,3,4,5,3,4,4,5,3,4,4,5,True,2,5,5,4,3,5,-1,1,4,1,5,5,5,2,slayer_taiwan,0,0,0,0,0,0,0,1
570eb74783a73509d0e028d5,570eb74783a73509d0e028d5,taipei_city,en,taiwanese,10,female,False,5,1,5,1,5,5,5,2,5,5,4,5,True,4,2,4,1,4,4,-1,5,4,4,5,5,5,1,slayer_taiwan,0,1,0,0,0,0,0,0
570eb77e83a73509d0e03b19,570eb77e83a73509d0e03b19,taipei_city,en,taiwanese,19,female,False,3,1,4,2,3,4,2,4,4,3,4,2,True,2,3,4,3,2,3,-1,3,3,2,4,4,2,1,slayer_taiwan,0,1,1,0,1,0,0,0
570eb72783a73509d0e01e50,570eb72783a73509d0e01e50,taipei_city,en,taiwanese,19,female,False,4,1,4,4,4,5,4,4,4,2,4,5,True,2,4,5,5,4,4,-1,1,4,5,5,5,4,1,slayer_taiwan,0,1,0,0,0,0,0,0
570eb79183a73509d0e040e6,570eb79183a73509d0e040e6,taipei_city,en,taiwanese,9,female,False,4,2,4,4,3,4,3,5,2,5,2,4,True,1,3,3,4,3,4,-1,4,4,4,5,4,5,1,slayer_taiwan,0,1,0,0,0,0,0,0
570eb77683a73509d0e0388d,570eb77683a73509d0e0388d,taipei_city,zh_TW,taiwanese,21,female,False,4,1,4,5,2,4,1,5,4,5,3,4,True,5,2,4,2,3,2,-1,5,1,2,5,5,2,4,slayer_taiwan,0,1,0,0,0,0,0,1
570eb77d83a73509d0e03ac9,570eb77d83a73509d0e03ac9,taipei_city,zh_TW,taiwanese,12,female,False,3,3,3,3,3,3,3,3,3,3,2,5,True,5,5,5,4,4,5,-1,5,2,2,4,5,3,1,slayer_taiwan,1,1,0,0,0,0,0,0
570eb79183a73509d0e040de,570eb79183a73509d0e040de,taipei_city,zh_TW,taiwanese,4,male,False,5,1,4,4,2,2,5,2,2,4,1,4,True,1,3,4,5,4,4,-1,3,5,3,1,3,3,1,slayer_taiwan,0,0,1,0,0,1,0,0
570eb78d83a73509d0e03fc3,570eb78d83a73509d0e03fc3,taipei_city,zh_TW,taiwanese,17,female,False,2,4,4,4,2,5,2,5,3,4,3,3,True,2,2,3,2,3,2,-1,4,3,3,4,4,4,1,slayer_taiwan,0,1,0,0,0,0,0,0
570eb76d83a73509d0e035a7,570eb76d83a73509d0e035a7,taipei_city,en,taiwanese,15,male,False,4,3,2,2,3,5,5,5,4,5,3,5,True,3,4,4,5,4,4,-1,2,3,2,5,4,3,3,slayer_taiwan,0,1,0,0,1,1,0,0
570eb78c83a73509d0e03f35,570eb78c83a73509d0e03f35,taipei_city,en,taiwanese,10,male,False,1,1,1,5,1,5,1,5,5,1,5,5,True,5,1,1,1,1,1,-1,5,1,1,1,1,1,1,slayer_taiwan,0,0,0,0,0,0,1,0
570eb76983a73509d0e0343a,570eb76983a73509d0e0343a,taipei_city,zh_TW,taiwanese,50,female,False,4,2,3,3,3,2,3,4,2,3,3,4,True,3,3,3,3,3,3,-1,4,3,3,4,4,4,1,slayer_taiwan,1,1,0,0,0,0,0,1
570eb73583a73509d0e022da,570eb73583a73509d0e022da,taipei_city,en,taiwanese,16,female,False,4,2,4,2,4,5,3,4,4,1,3,4,True,2,2,4,1,2,3,-1,4,5,4,5,5,4,4,slayer_taiwan,0,1,1,1,0,0,1,0
570eb76883a73509d0e033ff,570eb76883a73509d0e033ff,taipei_city,en,taiwanese,19,female,False,4,1,4,4,4,4,3,4,4,2,2,4,True,4,3,3,5,3,2,-1,4,4,4,4,2,4,1,slayer_taiwan,0,1,0,0,0,0,0,0
570eb78983a73509d0e03e79,570eb78983a73509d0e03e79,taipei_city,en,taiwanese,11,female,False,5,1,4,4,4,5,4,2,2,2,3,4,True,4,5,4,5,3,4,-1,4,4,3,5,5,3,1,slayer_taiwan,0,1,0,0,0,0,0,0
570eb73183a73509d0e021c0,570eb73183a73509d0e021c0,taipei_city,en,taiwanese,15,female,False,4,3,3,4,2,4,3,4,3,3,2,4,True,3,4,3,4,3,4,-1,4,3,2,4,4,2,4,slayer_taiwan,0,1,0,0,0,0,0,0
570eb78383a73509d0e03ca0,570eb78383a73509d0e03ca0,taipei_city,en,taiwanese,14,male,False,3,2,4,4,3,4,5,1,3,4,4,4,True,3,3,3,4,4,3,-1,4,5,5,5,5,5,4,slayer_taiwan,0,0,0,1,0,0,0,0
570eb74383a73509d0e0277b,570eb74383a73509d0e0277b,taipei_city,en,taiwanese,121,male,True,5,5,5,5,5,5,5,5,5,5,5,3,True,5,5,5,5,5,5,-1,1,1,1,5,1,1,1,slayer_taiwan,0,0,0,0,0,1,0,0
570eb74283a73509d0e02703,570eb74283a73509d0e02703,taipei_city,zh_TW,taiwanese,21,female,False,4,2,3,4,1,5,2,4,4,2,4,4,True,3,4,4,3,2,4,-1,3,5,4,5,5,4,5,slayer_taiwan,0,1,0,1,0,0,0,0
570eb76683a73509d0e03329,570eb76683a73509d0e03329,taipei_city,en,taiwanese,18,male,False,3,3,3,3,3,3,3,3,3,3,3,3,True,1,1,1,1,1,1,-1,5,5,5,5,5,5,1,slayer_taiwan,0,0,0,1,0,0,0,0
570eb72d83a73509d0e02023,570eb72d83a73509d0e02023,taipei_city,zh_TW,taiwanese,46,female,False,5,4,2,4,5,4,2,4,4,5,1,5,True,2,1,3,3,4,3,-1,5,5,5,5,5,5,1,slayer_taiwan,0,1,0,0,0,0,0,0
570eb75d83a73509d0e03059,570eb75d83a73509d0e03059,taipei_city,en,taiwanese,8,female,False,3,1,5,1,5,2,4,2,1,2,3,5,True,5,1,3,4,3,2,-1,5,1,1,5,5,1,1,slayer_taiwan,0,0,0,0,0,1,0,1
570eb76883a73509d0e033cd,570eb76883a73509d0e033cd,taipei_city,en,taiwanese,10,female,False,3,3,3,3,4,4,2,4,4,2,3,3,True,5,1,3,2,2,3,-1,5,1,3,2,2,2,1,slayer_taiwan,0,1,0,0,0,0,0,0
570eb7b483a73509d0e04b73,570eb7b483a73509d0e04b73,taipei_city,zh_TW,taiwanese,9,male,False,1,3,3,1,3,1,3,3,3,3,5,5,True,4,5,5,5,1,5,-1,5,5,5,5,5,5,1,slayer_taiwan,0,1,0,1,0,0,0,0
570eb72b83a73509d0e01f8d,570eb72b83a73509d0e01f8d,taipei_city,zh_TW,taiwanese,45,female,False,4,1,3,4,2,2,2,4,3,5,2,5,True,5,4,4,5,4,5,-1,4,1,1,5,4,1,1,slayer_taiwan,0,0,0,0,0,0,0,1
570eb7bf83a73509d0e04f45,570eb7bf83a73509d0e04f45,taichung_city,en,taiwanese,9,female,False,4,2,4,2,4,4,3,3,4,2,3,4,True,3,5,5,5,4,5,-1,4,2,3,2,4,3,2,slayer_taiwan,0,1,0,0,0,0,0,1
570eb76083a73509d0e0316e,570eb76083a73509d0e0316e,taichung_city,en,taiwanese,23,male,False,4,1,5,4,3,3,5,2,3,4,1,5,True,5,5,5,5,4,5,-1,5,2,2,5,5,4,4,slayer_taiwan,0,1,0,0,0,0,0,0
570eb7a083a73509d0e0457c,570eb7a083a73509d0e0457c,taichung_city,en,taiwanese,21,male,False,4,2,4,3,3,4,4,4,4,2,1,2,True,3,1,3,1,1,3,-1,2,5,2,5,4,1,2,slayer_taiwan,0,0,1,1,1,0,0,1
570eb74283a73509d0e0274b,570eb74283a73509d0e0274b,taichung_city,zh_TW,taiwanese,14,male,False,4,5,5,3,3,4,3,1,1,5,2,1,True,5,1,5,2,1,3,-1,5,5,5,3,5,5,5,slayer_taiwan,0,0,0,1,0,0,0,0
570eb7a983a73509d0e04833,570eb7a983a73509d0e04833,taichung_city,zh_TW,taiwanese,18,male,False,4,5,4,4,4,5,4,5,4,2,2,3,True,3,1,2,2,3,1,-1,4,3,2,4,5,3,2,slayer_taiwan,0,1,0,0,0,0,0,0
570eb7a683a73509d0e04751,570eb7a683a73509d0e04751,taichung_city,en,central african,21,female,False,3,3,3,5,3,5,3,3,3,3,1,4,True,4,3,3,4,3,3,-1,4,3,2,4,4,4,1,slayer_taiwan,0,1,0,0,0,0,0,0
570eb7ba83a73509d0e04d6e,570eb7ba83a73509d0e04d6e,taichung_city,en,taiwanese,7,male,False,1,1,3,3,1,1,5,3,3,2,3,5,True,5,1,1,2,5,1,-1,5,5,5,5,5,5,1,slayer_taiwan,0,0,0,1,0,0,0,0
570eb73c83a73509d0e0254e,570eb73c83a73509d0e0254e,taichung_city,en,taiwanese,22,female,False,4,2,4,4,4,4,4,4,2,2,3,4,True,2,2,2,3,3,2,-1,2,4,3,4,4,4,1,slayer_taiwan,0,1,0,0,0,0,0,0
570eb7a883a73509d0e04828,570eb7a883a73509d0e04828,taichung_city,en,taiwanese,29,male,False,4,2,4,3,4,4,4,4,4,2,3,4,True,4,3,5,4,1,4,-1,5,4,5,5,5,5,1,slayer_taiwan,1,0,0,0,0,0,0,0
570eb75f83a73509d0e03102,570eb75f83a73509d0e03102,taichung_city,en,taiwanese,18,female,False,4,3,3,4,2,2,3,3,2,4,2,4,True,2,5,4,5,4,5,-1,1,1,1,1,5,1,1,slayer_taiwan,0,1,0,0,0,0,0,1
570eb7c083a73509d0e04fa3,570eb7c083a73509d0e04fa3,taichung_city,en,taiwanese,17,male,False,4,1,5,2,3,4,3,2,4,2,5,5,True,4,4,4,3,2,4,-1,3,2,3,4,4,3,4,slayer_taiwan,1,1,0,0,0,0,0,1
570eb75e83a73509d0e03084,570eb75e83a73509d0e03084,taichung_city,en,taiwanese,22,female,False,4,2,4,2,4,4,4,4,4,4,4,4,True,4,3,4,4,3,3,-1,4,2,3,4,4,3,1,slayer_taiwan,0,1,0,0,0,0,0,0
570eb75b83a73509d0e02f97,570eb75b83a73509d0e02f97,taichung_city,en,taiwanese,25,male,False,4,3,3,4,3,2,4,4,4,3,3,4,True,1,4,5,4,3,4,-1,4,3,2,3,4,3,3,slayer_taiwan,0,1,1,1,0,0,1,0
570eb75283a73509d0e02c9a,570eb75283a73509d0e02c9a,taichung_city,en,taiwanese,20,female,False,4,1,2,4,3,4,4,4,4,4,3,4,True,3,3,5,3,2,4,-1,3,5,5,4,5,4,4,slayer_taiwan,0,1,0,0,0,1,0,1
570eb7b783a73509d0e04cc5,570eb7b783a73509d0e04cc5,taichung_city,zh_TW,taiwanese,49,female,False,5,3,3,3,3,2,3,4,4,4,1,2,True,4,3,3,3,3,3,-1,3,2,1,2,4,2,3,slayer_taiwan,1,0,0,0,0,0,0,0
570eb75f83a73509d0e030fd,570eb75f83a73509d0e030fd,taichung_city,zh_TW,taiwanese,21,female,False,4,1,4,3,4,4,3,4,3,3,3,4,True,3,3,3,2,3,3,-1,3,3,3,3,3,2,3,slayer_taiwan,0,1,0,0,0,0,0,0
570eb75983a73509d0e02f0e,570eb75983a73509d0e02f0e,taichung_city,en,taiwanese,16,female,False,4,1,5,4,2,4,2,4,4,2,3,5,True,3,2,3,4,2,2,-1,4,2,1,5,3,2,1,slayer_taiwan,0,1,0,0,0,0,0,0
570eb78f83a73509d0e0405a,570eb78f83a73509d0e0405a,taipei_city,en,taiwanese,45,male,False,4,4,4,4,2,2,4,2,2,3,1,3,False,2,2,4,2,2,2,-1,2,2,4,2,2,2,1,slayer_taiwan,0,0,0,0,1,0,0,1
570eb77b83a73509d0e03a5d,570eb77b83a73509d0e03a5d,taipei_city,en,taiwanese,12,male,False,5,2,5,3,4,4,3,2,2,2,3,5,False,2,4,5,4,2,4,-1,5,5,5,5,4,5,4,slayer_taiwan,1,1,1,1,0,0,0,0
570eb78b83a73509d0e03f14,570eb78b83a73509d0e03f14,taipei_city,en,taiwanese,14,male,False,5,4,5,2,4,4,2,4,4,2,2,4,False,4,2,3,3,3,2,-1,2,1,2,3,4,2,1,slayer_taiwan,0,1,1,0,0,0,0,0
570eb79c83a73509d0e0442a,570eb79c83a73509d0e0442a,taipei_city,en,taiwanese,12,male,False,3,2,3,2,4,3,3,2,4,2,3,4,False,3,3,3,2,3,3,-1,5,5,5,5,5,5,3,slayer_taiwan,0,1,0,0,0,0,0,0
570eb73983a73509d0e0244a,570eb73983a73509d0e0244a,taipei_city,zh_TW,taiwanese,10,female,False,3,3,3,3,3,3,3,3,3,3,2,3,False,3,3,3,4,3,3,-1,2,2,3,2,2,2,1,slayer_taiwan,1,0,0,0,0,0,0,0
570eb78483a73509d0e03ce0,570eb78483a73509d0e03ce0,taipei_city,en,taiwanese,14,male,False,4,3,3,4,2,2,5,4,4,5,4,5,False,5,2,3,5,4,2,-1,3,4,4,5,4,4,1,slayer_taiwan,0,0,0,0,0,0,0,1
570eb76483a73509d0e032af,570eb76483a73509d0e032af,taipei_city,en,taiwanese,14,female,False,2,3,2,2,4,4,4,3,4,2,3,2,False,3,2,3,3,2,2,-1,4,2,2,2,4,3,1,slayer_taiwan,0,1,0,0,0,0,0,0
570eb71d83a73509d0e01b5b,570eb71d83a73509d0e01b5b,taipei_city,en,taiwanese,29,male,False,4,2,4,4,3,4,2,4,3,3,2,4,False,3,2,3,3,2,2,-1,4,4,4,4,5,4,1,slayer_taiwan,0,1,0,0,0,0,0,1
570eb78583a73509d0e03d06,570eb78583a73509d0e03d06,taipei_city,zh_TW,taiwanese,18,female,False,4,2,4,3,3,4,3,2,3,3,1,5,False,4,3,4,4,2,3,-1,3,4,4,5,5,3,4,slayer_taiwan,0,1,0,1,0,0,1,0
570eb76b83a73509d0e034f8,570eb76b83a73509d0e034f8,taipei_city,en,taiwanese,24,female,False,4,2,4,3,3,4,3,4,3,4,3,4,False,3,3,4,3,2,3,-1,4,2,3,3,4,3,1,slayer_taiwan,1,1,0,0,0,0,0,0
570eb75783a73509d0e02e5d,570eb75783a73509d0e02e5d,taipei_city,en,taiwanese,21,female,False,3,2,3,2,2,3,2,4,4,4,3,3,False,1,3,2,3,2,4,-1,2,2,3,2,2,2,1,slayer_taiwan,0,0,0,0,0,0,0,1
570eb77183a73509d0e036f2,570eb77183a73509d0e036f2,taipei_city,en,taiwanese,17,male,False,4,1,5,3,2,5,3,2,3,2,3,4,False,2,4,4,3,3,3,-1,3,5,2,5,5,3,1,slayer_taiwan,0,1,0,1,0,0,0,0
570eb7b083a73509d0e04a2d,570eb7b083a73509d0e04a2d,taipei_city,zh_TW,taiwanese,24,female,False,4,1,3,4,2,4,4,4,2,4,3,4,False,3,2,4,3,3,3,-1,4,2,3,3,4,2,1,slayer_taiwan,0,1,0,0,1,0,0,0
570eb7bc83a73509d0e04e49,570eb7bc83a73509d0e04e49,taipei_city,en,taiwanese,8,female,False,3,3,3,3,3,3,3,3,3,3,3,5,False,5,3,4,5,5,5,-1,5,5,3,5,5,5,4,slayer_taiwan,0,1,0,0,0,0,0,0
570eb77b83a73509d0e03a30,570eb77b83a73509d0e03a30,taipei_city,en,taiwanese,10,female,False,4,2,5,3,5,4,4,5,5,2,2,5,False,4,3,3,5,2,3,-1,4,5,3,5,4,3,4,slayer_taiwan,0,0,0,1,0,0,0,0
570eb79e83a73509d0e044cc,570eb79e83a73509d0e044cc,taipei_city,en,taiwanese,11,female,False,5,1,5,1,5,5,5,1,1,3,5,1,False,5,3,5,3,3,3,-1,3,3,5,1,3,3,1,slayer_taiwan,0,1,0,0,0,0,0,0
570eb79383a73509d0e04192,570eb79383a73509d0e04192,taipei_city,en,taiwanese,19,male,False,3,1,4,5,3,4,4,4,5,3,4,4,False,2,3,2,2,2,2,-1,2,5,4,5,4,5,5,slayer_taiwan,0,0,0,1,1,0,1,0
570eb79083a73509d0e040b9,570eb79083a73509d0e040b9,taipei_city,zh_TW,taiwanese,36,male,False,4,3,3,4,4,4,4,3,2,3,3,4,False,4,2,4,3,4,2,-1,4,5,5,5,5,4,1,slayer_taiwan,1,1,1,1,0,0,1,0
570eb79d83a73509d0e04489,570eb79d83a73509d0e04489,taipei_city,en,taiwanese,6,female,False,5,1,4,2,2,3,4,4,2,3,2,2,False,3,5,4,4,1,4,-1,4,1,2,1,4,1,1,slayer_taiwan,0,0,1,0,0,0,0,0
570eb7a583a73509d0e046ed,570eb7a583a73509d0e046ed,taipei_city,en,taiwanese,16,female,False,3,3,4,2,4,3,3,2,3,4,2,4,False,3,3,4,2,3,3,-1,3,2,2,3,3,2,1,slayer_taiwan,0,1,0,0,0,0,0,0
570eb73183a73509d0e02191,570eb73183a73509d0e02191,taipei_city,en,taiwanese,34,male,False,4,2,4,4,5,2,4,5,4,4,3,3,False,2,2,2,5,4,2,-1,3,3,3,5,5,4,1,slayer_taiwan,1,1,0,0,1,0,0,1
570eb78a83a73509d0e03edc,570eb78a83a73509d0e03edc,taipei_city,en,taiwanese,8,female,False,4,1,5,2,4,1,4,2,2,3,3,4,False,4,3,4,3,1,4,-1,5,3,5,5,5,4,1,slayer_taiwan,0,1,0,0,0,0,0,0
570eb73a83a73509d0e02478,570eb73a83a73509d0e02478,taipei_city,en,taiwanese,39,male,False,4,1,5,2,5,2,4,1,4,4,4,5,False,3,4,5,5,3,4,-1,5,1,1,4,5,1,1,slayer_taiwan,1,0,0,0,1,0,0,0
570eb77383a73509d0e037be,570eb77383a73509d0e037be,taipei_city,en,taiwanese,18,male,False,4,3,5,3,4,2,4,2,2,4,1,4,False,2,2,2,4,2,3,-1,4,5,4,4,5,3,4,slayer_taiwan,0,1,0,1,0,0,0,0
570eb77c83a73509d0e03ab6,570eb77c83a73509d0e03ab6,taipei_city,en,taiwanese,15,male,False,2,5,5,3,3,4,3,4,3,4,3,4,False,3,2,3,2,2,2,-1,4,4,4,5,4,4,3,slayer_taiwan,0,1,0,1,0,0,0,0
570eb79d83a73509d0e0449a,570eb79d83a73509d0e0449a,taipei_city,en,taiwanese,24,female,False,5,1,4,4,2,2,2,5,4,4,4,4,False,4,5,4,2,3,5,-1,4,3,2,5,5,5,3,slayer_taiwan,0,1,0,0,1,0,0,1
570eb73183a73509d0e021ae,570eb73183a73509d0e021ae,taipei_city,zh_TW,taiwanese,26,male,False,2,4,3,5,1,4,3,5,4,5,2,2,False,4,2,2,2,2,2,-1,4,2,3,3,4,3,2,slayer_taiwan,0,1,0,0,0,0,0,0
570eb73183a73509d0e021b5,570eb73183a73509d0e021b5,taipei_city,en,taiwanese,12,male,False,5,1,5,2,5,2,4,3,3,3,3,5,False,4,2,4,1,3,3,-1,3,3,3,3,3,4,1,slayer_taiwan,0,1,0,0,0,0,0,1
570eb77b83a73509d0e03a35,570eb77b83a73509d0e03a35,taipei_city,en,taiwanese,25,male,False,4,5,4,3,4,4,2,3,4,3,4,4,False,2,3,4,3,3,2,-1,3,3,4,4,4,4,4,slayer_taiwan,0,0,0,1,0,1,0,0
570eb7ac83a73509d0e04942,570eb7ac83a73509d0e04942,taipei_city,en,taiwanese,32,female,False,4,2,4,4,4,4,2,4,4,2,3,5,False,4,3,4,4,2,3,-1,4,5,4,5,5,4,3,slayer_taiwan,0,1,0,1,1,0,0,1
570eb78a83a73509d0e03eb5,570eb78a83a73509d0e03eb5,taipei_city,en,american,28,female,False,2,4,3,3,4,3,3,4,4,4,3,2,False,2,2,2,3,4,2,-1,3,2,2,4,4,2,3,slayer_taiwan,0,1,0,1,0,0,0,1
570eb78a83a73509d0e03edf,570eb78a83a73509d0e03edf,taipei_city,en,taiwanese,16,female,False,4,1,3,2,3,4,2,4,2,2,3,5,False,4,3,3,4,3,4,-1,5,5,3,5,5,4,2,slayer_taiwan,0,1,0,0,0,0,0,1
570eb72283a73509d0e01c95,570eb72283a73509d0e01c95,taipei_city,en,taiwanese,22,female,False,3,1,4,4,4,2,5,4,2,4,4,5,False,3,1,2,1,3,3,-1,4,3,3,4,3,4,3,slayer_taiwan,0,1,0,0,0,0,0,1
570eb73b83a73509d0e024dd,570eb73b83a73509d0e024dd,taipei_city,zh_TW,taiwanese,8,female,False,4,2,5,1,4,2,5,4,2,2,3,4,False,4,5,5,5,5,5,-1,3,3,3,3,5,4,1,slayer_taiwan,0,0,0,0,0,0,1,0
570eb76883a73509d0e03412,570eb76883a73509d0e03412,taipei_city,en,taiwanese,9,male,False,4,1,5,1,5,5,4,5,1,1,2,5,False,4,3,1,5,3,4,-1,5,5,3,5,5,4,1,slayer_taiwan,0,1,0,0,0,0,0,0
570eb79883a73509d0e0432f,570eb79883a73509d0e0432f,taichung_city,en,taiwanese,17,female,False,4,1,5,5,4,4,2,4,4,4,5,2,False,3,1,2,3,2,3,-1,4,3,3,4,4,3,3,slayer_taiwan,0,1,1,0,1,1,1,0
570eb73183a73509d0e0217f,570eb73183a73509d0e0217f,taichung_city,zh_TW,taiwanese,11,female,False,4,2,3,3,2,5,3,4,3,3,3,4,False,2,4,3,2,2,3,-1,5,4,5,5,5,5,2,slayer_taiwan,0,1,0,0,0,0,0,0
570eb79a83a73509d0e043ad,570eb79a83a73509d0e043ad,taichung_city,en,taiwanese,36,female,False,4,2,4,4,4,4,2,4,4,4,3,5,False,5,1,3,4,4,3,-1,4,5,5,5,5,4,1,slayer_taiwan,0,1,0,0,0,0,0,0
570eb78a83a73509d0e03ed3,570eb78a83a73509d0e03ed3,taichung_city,en,taiwanese,14,male,False,5,5,5,5,5,5,5,5,5,5,2,5,False,3,5,5,5,3,3,-1,5,5,5,5,5,5,5,slayer_taiwan,0,1,0,1,0,0,1,0
570eb75f83a73509d0e030f7,570eb75f83a73509d0e030f7,taichung_city,zh_TW,chinese,21,male,False,3,1,3,3,1,3,2,4,4,3,2,5,False,2,1,3,2,1,1,-1,4,4,5,4,4,4,1,slayer_taiwan,0,1,0,0,0,0,0,0
570eb7ad83a73509d0e04969,570eb7ad83a73509d0e04969,taichung_city,en,taiwanese,25,female,False,4,1,3,4,1,5,3,4,3,2,4,5,False,3,4,5,5,2,3,-1,3,5,5,5,4,4,5,slayer_taiwan,0,1,0,0,1,0,0,1
570eb72c83a73509d0e01fe5,570eb72c83a73509d0e01fe5,taichung_city,en,taiwanese,55,female,False,3,4,2,4,2,5,2,4,3,2,2,3,False,4,3,5,1,3,3,-1,4,3,4,4,3,2,2,slayer_taiwan,0,1,0,0,1,0,0,0
570eb73a83a73509d0e02490,570eb73a83a73509d0e02490,taichung_city,en,taiwanese,17,male,False,1,1,5,1,5,2,5,2,5,5,5,3,False,5,5,5,5,5,5,-1,5,5,5,5,5,5,1,slayer_taiwan,0,1,1,1,0,0,1,0
