,_id,metadata.location,metadata.language,answers.nationality,answers.age,answers.sex,answers.hearing_impairments,answers.personality.trusting,answers.personality.artistic,answers.personality.imagination,answers.personality.reserved,answers.personality.outgoing,answers.personality.lazy,answers.personality.stress,answers.personality.nervous,answers.personality.fault,answers.personality.thorough,answers.musical_expertise,answers.concentration,critical_reaction,control_power,control_like_dislike,control_tension,control_engagement,control_activity,control_positivity,control_familiarity,song_power,song_like_dislike,song_tension,song_engagement,song_activity,song_positivity,song_familiarity,song,answers.musicpref.hiphop,answers.musicpref.jazz,answers.musicpref.classical,answers.musicpref.dance,answers.musicpref.rock,answers.musicpref.folk,answers.musicpref.world,answers.musicpref.pop
570eb79a83a73509d0e04398,570eb79a83a73509d0e04398,taipei_city,zh_TW,taiwanese,23,female,False,2,2,2,2,5,2,1,5,5,2,2,4,True,2,2,2,1,3,3,-1,4,5,4,4,4,4,5,someone_middle,0,0,0,0,0,0,0,1
570eb73483a73509d0e022b6,570eb73483a73509d0e022b6,taipei_city,en,taiwanese,34,female,False,4,1,4,4,4,2,2,5,5,4,3,3,True,3,3,4,1,3,4,-1,4,5,4,5,4,2,5,someone_middle,0,0,1,0,1,0,0,1
570eb79e83a73509d0e044db,570eb79e83a73509d0e044db,taipei_city,en,taiwanese,24,male,False,4,1,5,4,2,3,4,2,5,4,4,4,True,2,3,4,3,2,3,-1,4,5,4,5,4,5,4,someone_middle,0,0,0,0,1,0,1,1
570eb72883a73509d0e01e95,570eb72883a73509d0e01e95,taipei_city,en,taiwanese,18,male,False,5,2,5,2,4,4,4,4,2,4,4,4,True,1,1,2,5,5,1,-1,2,4,5,5,5,5,2,someone_middle,0,0,1,0,0,0,0,1
570eb78183a73509d0e03c28,570eb78183a73509d0e03c28,taipei_city,zh_TW,taiwanese,24,male,False,3,3,3,4,1,5,2,5,4,2,1,5,True,1,3,4,2,3,3,-1,3,5,5,4,3,3,5,someone_middle,0,0,0,0,1,0,0,1
570eb7a083a73509d0e045af,570eb7a083a73509d0e045af,taipei_city,zh_TW,taiwanese,11,female,False,4,5,3,2,3,4,3,3,2,2,3,5,True,3,3,5,4,5,3,-1,4,5,5,5,3,5,4,someone_middle,0,0,0,0,0,0,0,1
570eb75e83a73509d0e0308f,570eb75e83a73509d0e0308f,taipei_city,en,taiwanese,24,female,False,4,2,4,4,2,4,2,5,3,3,2,3,True,3,3,3,2,2,3,-1,4,5,4,4,4,4,4,someone_middle,0,0,0,0,0,0,0,1
570eb79e83a73509d0e044ff,570eb79e83a73509d0e044ff,taipei_city,en,taiwanese,15,male,False,5,3,5,3,5,5,5,5,1,3,1,5,True,1,3,3,3,2,3,-1,1,5,5,5,3,4,4,someone_middle,0,0,0,0,1,0,0,0
570eb73583a73509d0e022d6,570eb73583a73509d0e022d6,taipei_city,en,taiwanese,39,female,False,2,2,4,4,2,2,1,4,4,4,1,5,True,2,1,2,1,2,2,-1,2,5,4,5,5,4,1,someone_middle,0,0,1,0,0,0,0,1
570eb74b83a73509d0e02a00,570eb74b83a73509d0e02a00,taipei_city,en,taiwanese,14,female,False,5,2,4,3,5,4,5,4,2,4,3,4,True,3,3,4,4,4,4,-1,4,4,4,5,4,5,1,someone_middle,0,0,0,0,0,0,0,1
570eb77a83a73509d0e039bc,570eb77a83a73509d0e039bc,taipei_city,en,taiwanese,15,female,False,4,1,3,2,4,5,4,4,3,2,3,4,True,3,3,3,4,3,4,-1,4,5,4,4,4,2,5,someone_middle,1,0,0,1,0,0,0,1
570eb7bb83a73509d0e04dff,570eb7bb83a73509d0e04dff,taipei_city,zh_TW,taiwanese,5,male,False,3,3,3,3,3,3,3,3,3,3,1,5,True,1,1,3,5,3,5,-1,1,5,5,5,1,5,3,someone_middle,0,0,0,0,1,0,0,0
570eb7a083a73509d0e0456f,570eb7a083a73509d0e0456f,taipei_city,en,taiwanese,40,female,False,3,2,2,4,4,4,4,4,3,3,2,4,True,5,2,3,2,4,2,-1,3,4,4,4,3,3,1,someone_middle,0,0,1,0,0,0,0,0
570eb7b983a73509d0e04d4c,570eb7b983a73509d0e04d4c,taipei_city,en,taiwanese,26,male,False,4,2,5,3,3,5,5,4,3,4,3,3,True,5,1,3,3,1,3,-1,3,3,4,3,3,3,5,someone_middle,1,1,0,1,1,1,0,1
570eb76283a73509d0e031e2,570eb76283a73509d0e031e2,taipei_city,en,taiwanese,30,female,False,4,3,4,4,3,4,4,4,3,4,1,4,True,3,3,3,2,2,3,-1,4,5,5,5,4,5,1,someone_middle,0,0,1,0,0,0,0,1
570eb78b83a73509d0e03f24,570eb78b83a73509d0e03f24,taipei_city,en,taiwanese,21,female,True,4,3,4,3,4,1,2,5,4,3,3,5,True,5,3,3,3,2,2,-1,5,5,5,5,5,5,4,someone_middle,1,0,0,0,0,0,0,0
570eb72283a73509d0e01c9d,570eb72283a73509d0e01c9d,taipei_city,en,taiwanese,17,male,False,4,4,5,3,3,3,4,4,1,4,2,3,True,4,4,3,3,4,3,-1,3,5,5,5,3,2,1,someone_middle,0,0,0,0,0,0,0,1
570eb79383a73509d0e04180,570eb79383a73509d0e04180,taipei_city,en,taiwanese,18,male,False,4,3,4,4,3,4,4,5,5,4,1,2,True,2,5,2,5,3,4,-1,1,5,5,5,2,4,5,someone_middle,0,1,0,0,0,1,0,1
570eb77783a73509d0e03906,570eb77783a73509d0e03906,taipei_city,en,taiwanese,13,male,False,4,2,4,4,3,3,4,3,3,5,3,4,True,3,3,3,4,4,3,-1,3,5,4,4,4,4,2,someone_middle,0,0,0,0,0,0,0,1
570eb79983a73509d0e04374,570eb79983a73509d0e04374,taipei_city,en,taiwanese,8,female,False,3,2,4,3,3,2,3,2,4,3,2,5,True,5,5,5,5,5,5,-1,5,5,5,4,5,5,1,someone_middle,0,0,1,0,0,0,0,0
570eb7aa83a73509d0e048c4,570eb7aa83a73509d0e048c4,taipei_city,zh_TW,taiwanese,43,male,False,3,2,5,4,4,4,2,4,4,3,5,5,True,3,3,4,4,2,4,-1,2,4,4,5,3,4,4,someone_middle,0,0,0,0,0,0,0,1
570eb77783a73509d0e038d6,570eb77783a73509d0e038d6,taipei_city,en,taiwanese,42,male,False,4,2,4,2,4,4,4,4,4,4,2,4,True,2,4,4,2,4,4,-1,4,3,4,4,4,4,4,someone_middle,0,0,1,0,0,0,0,0
570eb78183a73509d0e03c2e,570eb78183a73509d0e03c2e,taipei_city,en,taiwanese,40,female,False,5,4,3,4,3,5,4,4,2,4,1,4,True,3,3,3,3,3,4,-1,3,4,3,4,3,4,3,someone_middle,0,0,1,0,0,1,0,0
570eb7a183a73509d0e045e5,570eb7a183a73509d0e045e5,taipei_city,en,taiwanese,18,male,False,3,3,5,3,3,5,3,3,3,3,1,4,True,2,5,4,5,3,4,-1,1,5,5,5,4,3,5,someone_middle,0,0,0,1,1,0,0,1
570eb76a83a73509d0e03481,570eb76a83a73509d0e03481,taipei_city,en,taiwanese,31,male,False,4,2,3,5,1,4,3,4,3,2,3,4,True,4,3,4,3,2,4,-1,2,5,5,4,2,4,5,someone_middle,0,0,1,0,0,0,0,1
570eb7ab83a73509d0e048dd,570eb7ab83a73509d0e048dd,taipei_city,zh_TW,taiwanese,15,male,False,3,2,5,4,1,5,2,5,3,4,1,5,True,3,3,3,1,2,3,-1,4,3,1,2,3,4,5,someone_middle,0,0,0,0,0,1,0,0
570eb76c83a73509d0e03532,570eb76c83a73509d0e03532,taipei_city,zh_TW,taiwanese,11,female,False,4,3,3,4,2,2,3,5,4,4,1,3,True,2,3,4,3,4,3,-1,5,3,4,3,4,3,4,someone_middle,0,0,0,0,0,0,0,1
570eb72283a73509d0e01cd1,570eb72283a73509d0e01cd1,taichung_city,zh_TW,taiwanese,41,female,False,5,3,4,2,2,2,2,4,2,2,1,4,True,1,3,4,4,3,4,-1,1,5,4,4,5,5,1,someone_middle,0,0,0,0,0,0,0,1
570eb75483a73509d0e02d2f,570eb75483a73509d0e02d2f,taichung_city,zh_TW,taiwanese,29,male,False,4,1,4,3,3,5,4,2,2,3,3,3,True,2,2,4,2,2,3,-1,3,4,4,4,4,4,4,someone_middle,0,1,0,0,0,0,1,1
570eb79a83a73509d0e043d6,570eb79a83a73509d0e043d6,taichung_city,en,taiwanese,29,male,False,4,1,4,4,3,3,2,2,2,3,3,4,True,3,3,5,2,3,5,-1,2,5,5,5,4,5,5,someone_middle,0,0,0,0,0,0,0,1
570eb77e83a73509d0e03b40,570eb77e83a73509d0e03b40,taichung_city,en,taiwanese,16,female,False,2,2,3,4,2,4,3,4,4,4,3,2,True,1,3,3,1,2,3,-1,3,3,3,2,3,3,3,someone_middle,0,0,0,0,1,0,0,1
570eb74483a73509d0e027b0,570eb74483a73509d0e027b0,taichung_city,en,taiwanese,13,female,False,5,3,5,4,1,3,4,3,5,4,4,4,True,4,5,4,5,4,4,-1,4,5,5,5,5,5,3,someone_middle,0,0,1,0,0,1,0,1
570eb75c83a73509d0e02fc4,570eb75c83a73509d0e02fc4,taichung_city,en,taiwanese,29,female,False,4,1,4,4,4,4,2,4,4,4,3,4,True,4,3,3,3,3,2,-1,4,5,4,4,3,2,5,someone_middle,0,1,0,0,0,0,0,0
570eb74d83a73509d0e02acf,570eb74d83a73509d0e02acf,taipei_city,en,taiwanese,9,male,False,1,1,1,1,1,1,1,1,1,1,5,5,True,3,3,3,5,5,5,-1,5,3,3,4,5,5,3,someone_middle,0,0,0,0,0,0,0,1
570eb79b83a73509d0e043e0,570eb79b83a73509d0e043e0,taipei_city,zh_TW,taiwanese,12,male,False,5,5,5,5,5,4,2,5,4,2,2,5,True,5,5,5,5,5,5,-1,5,5,5,5,5,5,1,someone_middle,0,0,0,0,0,0,0,1
570eb7ae83a73509d0e049c3,570eb7ae83a73509d0e049c3,taipei_city,en,taiwanese,27,female,False,4,3,4,3,3,3,4,4,2,4,2,3,False,3,3,4,2,3,3,-1,2,4,5,4,4,4,3,someone_middle,0,1,1,0,0,0,0,1
570eb78c83a73509d0e03f72,570eb78c83a73509d0e03f72,taipei_city,en,taiwanese,24,female,False,4,1,3,4,3,4,4,4,3,4,3,5,False,1,4,4,5,3,3,-1,5,5,5,5,5,4,4,someone_middle,0,0,0,0,0,0,0,1
570eb77583a73509d0e0386b,570eb77583a73509d0e0386b,taipei_city,en,taiwanese,18,female,False,4,1,4,3,2,2,4,2,2,4,3,4,False,4,4,4,5,4,4,-1,2,4,4,4,3,3,5,someone_middle,0,0,1,1,0,0,0,1
570eb77283a73509d0e03777,570eb77283a73509d0e03777,taipei_city,en,taiwanese,23,male,False,4,2,4,1,1,5,2,5,2,2,2,4,False,4,3,3,4,3,3,-1,1,5,5,5,4,5,1,someone_middle,0,0,0,1,1,1,1,1
570eb73d83a73509d0e025a7,570eb73d83a73509d0e025a7,taipei_city,en,taiwanese,28,female,False,4,1,5,2,5,4,2,4,4,4,1,3,False,2,3,4,2,3,3,-1,4,5,4,5,4,5,4,someone_middle,0,0,0,0,0,0,0,1
570eb73c83a73509d0e0254b,570eb73c83a73509d0e0254b,taipei_city,en,taiwanese,12,male,False,4,3,3,2,4,3,3,2,3,4,2,5,False,3,3,4,4,2,3,-1,4,5,5,5,4,5,5,someone_middle,0,0,0,0,1,0,0,0
570eb76683a73509d0e03325,570eb76683a73509d0e03325,taipei_city,zh_TW,taiwanese,13,male,True,3,3,3,1,3,3,3,3,3,3,3,4,False,5,3,5,3,2,4,-1,4,5,5,5,4,4,4,someone_middle,0,0,1,0,0,0,0,0
570eb73e83a73509d0e025e3,570eb73e83a73509d0e025e3,taipei_city,zh_TW,taiwanese,11,female,False,5,5,5,2,5,4,2,5,3,4,1,5,False,4,5,4,5,3,5,-1,4,5,5,5,2,5,3,someone_middle,0,0,0,0,0,0,0,1
570eb73b83a73509d0e024cc,570eb73b83a73509d0e024cc,taipei_city,en,taiwanese,19,female,False,5,3,3,4,3,4,3,4,3,2,1,5,False,4,2,3,3,3,3,-1,5,5,5,5,5,5,5,someone_middle,0,0,1,0,0,0,0,1
570eb7bf83a73509d0e04f10,570eb7bf83a73509d0e04f10,taipei_city,en,taiwanese,11,male,False,4,2,4,4,4,2,3,5,1,3,2,4,False,1,4,4,3,2,3,-1,3,5,4,4,4,4,4,someone_middle,0,0,1,0,0,0,0,0
570eb72383a73509d0e01ce3,570eb72383a73509d0e01ce3,taipei_city,zh_TW,taiwanese,10,male,False,2,3,5,1,5,3,5,1,5,5,3,5,False,1,1,5,4,5,4,-1,5,5,5,5,5,5,1,someone_middle,0,0,0,0,1,0,0,0
570eb78d83a73509d0e03fcb,570eb78d83a73509d0e03fcb,taipei_city,en,taiwanese,18,male,False,5,3,5,4,2,4,4,5,3,2,2,5,False,4,5,4,5,3,4,-1,4,4,3,4,5,4,1,someone_middle,1,1,0,0,1,0,0,1
570eb79483a73509d0e041b9,570eb79483a73509d0e041b9,taipei_city,zh_TW,taiwanese,13,female,False,5,1,4,2,4,2,5,2,2,4,4,4,False,4,4,4,4,3,4,-1,5,5,5,5,5,5,2,someone_middle,0,0,1,0,0,0,0,1
570eb7a883a73509d0e04809,570eb7a883a73509d0e04809,taipei_city,zh_TW,taiwanese,27,male,False,5,3,4,4,5,4,4,2,2,3,2,4,False,4,3,4,2,4,4,-1,4,4,5,5,5,5,4,someone_middle,0,0,0,0,1,1,0,1
570eb7a583a73509d0e04701,570eb7a583a73509d0e04701,taipei_city,en,taiwanese,21,male,False,5,2,5,4,2,4,4,4,2,4,2,4,False,4,4,4,4,2,3,-1,2,5,4,5,4,2,5,someone_middle,0,0,0,0,0,0,0,1
570eb75183a73509d0e02c4a,570eb75183a73509d0e02c4a,taipei_city,en,taiwanese,11,male,False,4,1,4,2,3,2,4,2,3,3,4,4,False,4,4,3,3,4,5,-1,4,4,5,4,5,5,1,someone_middle,0,0,1,0,1,0,0,1
570eb77883a73509d0e0391e,570eb77883a73509d0e0391e,taipei_city,en,taiwanese,11,male,False,4,4,3,3,2,3,1,3,3,3,1,3,False,2,1,3,2,3,3,-1,3,3,3,2,3,3,1,someone_middle,0,0,0,0,0,0,0,1
570eb72483a73509d0e01d7e,570eb72483a73509d0e01d7e,taipei_city,en,taiwanese,11,male,True,2,2,5,3,2,2,2,2,5,5,3,4,False,4,3,3,3,3,5,-1,4,4,4,5,3,5,1,someone_middle,0,0,0,0,1,0,0,0
570eb78183a73509d0e03c2c,570eb78183a73509d0e03c2c,taipei_city,en,taiwanese,26,male,False,4,2,4,3,4,4,3,4,4,5,2,5,False,3,4,4,4,3,4,-1,3,5,4,5,4,5,5,someone_middle,0,0,0,0,0,0,0,1
570eb76b83a73509d0e03504,570eb76b83a73509d0e03504,taipei_city,en,taiwanese,11,female,False,3,1,4,2,3,4,2,3,2,2,3,5,False,4,4,5,1,1,2,-1,5,5,5,5,4,5,1,someone_middle,0,0,1,0,0,0,0,0
570eb77883a73509d0e03921,570eb77883a73509d0e03921,taipei_city,zh_TW,taiwanese,7,female,False,3,3,3,1,4,4,3,4,3,2,1,5,False,5,5,5,5,4,5,-1,5,4,5,5,5,5,1,someone_middle,0,0,0,0,0,0,0,1
570eb79b83a73509d0e043e6,570eb79b83a73509d0e043e6,taipei_city,en,taiwanese,15,male,False,1,2,5,4,4,4,5,1,3,5,2,4,False,5,4,4,3,5,4,-1,5,5,5,4,5,5,1,someone_middle,0,0,1,0,0,0,0,1
570eb7ae83a73509d0e04988,570eb7ae83a73509d0e04988,taipei_city,en,taiwanese,22,male,False,3,2,4,3,2,5,4,2,3,2,3,4,False,5,3,3,3,3,3,-1,5,3,4,4,4,4,1,someone_middle,0,0,1,0,1,0,0,1
570eb72883a73509d0e01eab,570eb72883a73509d0e01eab,taipei_city,en,taiwanese,23,male,False,4,2,4,4,2,4,3,4,4,2,4,5,False,2,2,3,5,4,2,-1,1,5,4,5,5,5,2,someone_middle,0,0,0,1,0,0,0,1
570eb74283a73509d0e026fe,570eb74283a73509d0e026fe,taipei_city,zh_TW,taiwanese,38,male,False,5,3,5,4,2,4,4,2,2,4,1,5,False,5,1,3,5,2,2,-1,1,5,5,5,4,5,1,someone_middle,0,0,0,0,0,0,0,1
570eb76f83a73509d0e03620,570eb76f83a73509d0e03620,taipei_city,en,taiwanese,18,female,False,3,2,3,3,3,4,3,4,4,3,3,3,False,3,3,3,2,3,3,-1,4,4,3,3,3,4,5,someone_middle,0,0,0,0,1,0,0,1
570eb76483a73509d0e032b0,570eb76483a73509d0e032b0,taipei_city,en,taiwanese,21,female,False,5,1,5,4,4,5,4,4,4,4,3,5,False,3,5,4,4,2,4,-1,5,5,5,5,5,5,5,someone_middle,1,1,1,1,1,1,1,1
570eb78d83a73509d0e03fb2,570eb78d83a73509d0e03fb2,taipei_city,en,taiwanese,8,female,False,4,2,5,2,5,3,4,2,3,3,3,5,False,4,3,3,3,3,3,-1,5,5,5,5,5,5,5,someone_middle,0,0,0,0,0,0,0,1
570eb75d83a73509d0e0304d,570eb75d83a73509d0e0304d,taipei_city,en,taiwanese,9,male,False,5,1,5,3,5,1,5,1,1,2,4,5,False,3,3,1,4,5,2,-1,3,5,5,3,3,5,3,someone_middle,0,0,0,0,1,0,0,1
570eb73883a73509d0e023ff,570eb73883a73509d0e023ff,taipei_city,en,taiwanese,11,male,False,5,2,4,3,3,4,5,3,5,3,4,5,False,4,4,5,5,5,4,-1,5,5,5,5,5,5,2,someone_middle,0,0,1,0,0,0,0,0
570eb7b783a73509d0e04c97,570eb7b783a73509d0e04c97,taipei_city,en,british,32,male,False,4,1,5,1,5,2,4,1,3,5,4,1,False,4,3,4,1,2,2,-1,4,2,4,1,3,4,4,someone_middle,1,1,0,0,0,0,0,0
570eb7bf83a73509d0e04f5b,570eb7bf83a73509d0e04f5b,taipei_city,zh_TW,taiwanese,23,female,False,3,2,5,4,4,4,4,4,4,3,5,4,False,4,1,1,2,3,2,-1,4,4,4,4,4,4,1,someone_middle,0,0,0,0,0,0,0,1
570eb78483a73509d0e03cd8,570eb78483a73509d0e03cd8,taipei_city,en,taiwanese,16,female,False,4,2,2,4,2,4,2,4,2,4,3,4,False,5,2,3,1,1,3,-1,1,5,5,5,3,5,1,someone_middle,0,0,1,0,0,0,0,0
570eb75983a73509d0e02edd,570eb75983a73509d0e02edd,taipei_city,zh_TW,taiwanese,42,female,False,5,2,4,2,2,2,1,4,1,2,1,5,False,5,4,3,4,5,3,-1,3,5,5,5,4,5,3,someone_middle,0,0,0,0,0,0,1,0
570eb78183a73509d0e03c19,570eb78183a73509d0e03c19,taipei_city,zh_TW,taiwanese,7,female,False,5,1,4,4,2,2,2,2,4,5,2,5,False,4,4,5,4,3,4,-1,3,5,5,5,3,5,3,someone_middle,0,0,1,0,0,0,0,0
570eb73783a73509d0e02390,570eb73783a73509d0e02390,taichung_city,en,taiwanese,17,female,False,4,3,2,4,2,3,4,4,4,4,2,4,False,4,4,4,3,2,5,-1,2,5,5,5,3,4,4,someone_middle,0,0,0,0,0,0,0,1
570eb72383a73509d0e01d02,570eb72383a73509d0e01d02,taichung_city,zh_TW,taiwanese,25,female,False,1,1,1,5,1,5,1,5,5,1,1,5,False,1,1,1,5,3,1,-1,2,2,2,5,3,2,4,someone_middle,0,0,1,0,0,0,0,0
570eb7a783a73509d0e0477f,570eb7a783a73509d0e0477f,taichung_city,en,taiwanese,20,male,False,4,1,4,2,3,3,4,2,3,4,2,5,False,4,1,2,2,1,1,-1,3,5,5,5,4,3,5,someone_middle,0,0,0,0,0,0,0,1
570eb74883a73509d0e02915,570eb74883a73509d0e02915,taichung_city,en,taiwanese,19,female,False,4,2,3,4,2,4,2,5,4,4,3,2,False,4,2,3,4,3,2,-1,2,5,4,5,3,4,4,someone_middle,0,0,0,0,0,0,0,1
570eb73083a73509d0e02146,570eb73083a73509d0e02146,taichung_city,en,taiwanese,27,female,False,4,5,2,3,3,4,4,5,3,3,1,4,False,1,5,4,4,4,4,-1,4,5,5,5,5,4,4,someone_middle,0,0,0,0,0,0,0,1
570eb7ab83a73509d0e0490a,570eb7ab83a73509d0e0490a,taichung_city,en,taiwanese,75,female,False,3,3,3,3,3,3,3,3,3,3,1,5,False,1,3,5,1,1,5,-1,1,2,5,5,5,5,1,someone_middle,0,0,0,0,0,0,0,0
570eb78383a73509d0e03c8f,570eb78383a73509d0e03c8f,taichung_city,zh_TW,chinese,17,female,False,3,1,5,4,2,5,4,2,2,2,4,5,False,3,2,4,1,2,2,-1,5,5,5,5,4,5,4,someone_middle,0,0,0,0,0,0,0,1
570eb73683a73509d0e02341,570eb73683a73509d0e02341,taichung_city,en,taiwanese,26,female,False,2,2,4,2,3,5,2,5,5,5,5,5,False,1,1,1,2,1,1,-1,5,5,5,5,5,5,5,someone_middle,0,0,0,0,0,0,0,1
570eb76183a73509d0e031bb,570eb76183a73509d0e031bb,taichung_city,en,singaporean,26,male,False,2,2,4,3,2,5,2,4,5,3,3,2,False,5,2,3,2,2,3,-1,3,5,4,5,3,2,5,someone_middle,0,0,0,0,0,0,0,1
570eb79783a73509d0e042e1,570eb79783a73509d0e042e1,taichung_city,en,taiwanese,17,female,False,3,1,5,1,2,5,3,3,4,3,1,4,False,3,4,3,2,2,5,-1,2,5,3,5,3,1,5,someone_middle,0,0,1,0,0,1,0,1
570eb75d83a73509d0e0302f,570eb75d83a73509d0e0302f,taichung_city,zh_TW,taiwanese,42,male,False,5,2,5,1,5,4,5,2,2,4,5,5,False,4,3,4,3,2,4,-1,3,5,5,5,4,5,5,someone_middle,1,0,1,1,1,0,0,1
570eb79c83a73509d0e04476,570eb79c83a73509d0e04476,taichung_city,en,taiwanese,22,female,False,4,2,4,4,4,4,4,4,4,4,1,2,False,3,3,2,2,3,3,-1,2,4,4,4,3,2,5,someone_middle,0,0,0,0,0,0,0,1
570eb74883a73509d0e02949,570eb74883a73509d0e02949,taichung_city,en,taiwanese,11,female,False,5,4,3,5,1,2,2,5,1,4,3,3,False,2,2,3,1,1,3,-1,4,4,4,4,4,4,3,someone_middle,0,0,1,0,0,0,0,0
570eb7aa83a73509d0e048ab,570eb7aa83a73509d0e048ab,taichung_city,en,taiwanese,16,male,False,2,1,4,4,3,5,2,3,4,2,3,3,False,2,3,3,3,3,3,-1,3,3,3,3,3,3,1,someone_middle,0,0,0,0,0,0,1,1
570eb78783a73509d0e03dd6,570eb78783a73509d0e03dd6,taichung_city,en,taiwanese,16,female,False,4,1,5,2,5,5,4,4,4,2,4,4,False,3,2,4,3,2,3,-1,2,5,5,5,4,4,5,someone_middle,0,0,0,0,1,0,0,1
570eb77283a73509d0e03748,570eb77283a73509d0e03748,taichung_city,en,taiwanese,16,female,False,4,4,4,2,4,4,3,2,3,4,3,4,False,4,4,3,2,3,3,-1,3,4,4,4,4,4,5,someone_middle,0,0,0,0,0,0,0,1
570eb72883a73509d0e01e71,570eb72883a73509d0e01e71,taichung_city,zh_TW,taiwanese,17,male,False,5,2,4,4,2,2,3,5,2,1,2,3,False,4,1,1,2,4,1,-1,4,4,4,4,4,4,4,someone_middle,0,1,1,0,0,0,0,1
570eb75d83a73509d0e03040,570eb75d83a73509d0e03040,taichung_city,zh_TW,taiwanese,20,female,False,3,3,3,4,2,5,3,3,4,2,1,3,False,3,3,3,2,2,3,-1,3,5,4,3,3,2,4,someone_middle,0,0,0,0,1,0,0,1
